batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-019,8,552,P2,verify_directory_fit_before_any_approval,https://www.webmasterworld.com/,webmasterworld.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:552,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:59:43.588Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-019,9,554,P2,verify_directory_fit_before_any_approval,https://www.weebly.com/,weebly.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:554,403,no,https://www.weebly.com/,weebly.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T12:59:54.316Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-019,10,555,P2,verify_directory_fit_before_any_approval,https://wefunder.com/,wefunder.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:555,403,no,https://wefunder.com/,wefunder.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T12:59:56.243Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-019,11,557,P2,verify_directory_fit_before_any_approval,https://www.wellness.com/,wellness.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:557,403,no,https://www.wellness.com/,wellness.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-28T12:59:59.355Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-019,12,558,P2,verify_directory_fit_before_any_approval,https://whatlaunchedtoday.com/,whatlaunchedtoday.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:558,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T13:00:02.077Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-019,13,560,P2,verify_directory_fit_before_any_approval,https://www.where2go.com/,where2go.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:560,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T13:00:02.549Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-019,14,566,P2,verify_directory_fit_before_any_approval,https://wordpress.com/,wordpress.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:566,200,yes,https://wordpress.com/zh-cn/,wordpress.com,1,3,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T13:00:12.705Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-019,15,569,P2,verify_directory_fit_before_any_approval,https://www.yellowpagesgoesgreen.org/,yellowpagesgoesgreen.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; final domain changed to yellowpagesdirectory.com; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:569,403,no,https://www.yellowpagesdirectory.com/,yellowpagesdirectory.com,0,0,no,no,yes,no,no,yes,yes,no,no,HTTP 403,2026-05-28T13:00:14.619Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-019,16,570,P2,verify_directory_fit_before_any_approval,https://www.yogatrail.com/,yogatrail.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; final domain changed to buzzwoo.de,,login/register or OAuth signal found,yes,review_row:570,200,yes,https://www.buzzwoo.de/projekte-kunden/yogatrail,buzzwoo.de,0,0,yes,no,no,yes,no,yes,no,no,no,,2026-05-28T13:00:18.446Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-019,17,579,P2,verify_directory_fit_before_any_approval,https://zapier.com/developer,zapier.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; 1 form(s), 0 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:579,200,yes,https://zapier.com/developer-platform,zapier.com,1,0,yes,no,yes,yes,yes,yes,no,yes,no,,2026-05-28T13:00:22.298Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-019,18,571,P2,verify_directory_fit_before_any_approval,https://your-product.com/,your-product.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,medium,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found; evidence: directory/listing marketplace text signal found",,"no submit path, submit button, or form signal found",yes,review_row:571,200,yes,https://your-product.com/de/,your-product.com,0,0,no,no,yes,no,no,no,no,no,no,,2026-05-28T13:00:23.911Z,,,,,,,,,,,,,,,0,,
