batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p2-reclass-005,1,3,P2,verify_directory_fit_before_any_approval,https://www.2findlocal.com/,2findlocal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 1 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:3,200,yes,https://www.2findlocal.com/,2findlocal.com,1,6,yes,no,yes,no,no,yes,no,yes,no,,2026-05-22T10:05:15.087Z
p2-reclass-005,2,4,P2,verify_directory_fit_before_any_approval,https://www.4shared.com/,4shared.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:4,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:05:17.005Z
p2-reclass-005,3,5,P2,verify_directory_fit_before_any_approval,https://500px.com/,500px.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:5,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:05:27.518Z
p2-reclass-005,4,56,P2,verify_directory_fit_before_any_approval,https://about.me/,about.me,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:56,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:05:27.889Z
p2-reclass-005,5,59,P2,verify_directory_fit_before_any_approval,https://activerain.com/,activerain.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:59,403,no,https://activerain.com/,activerain.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-22T10:05:38.036Z
p2-reclass-005,6,71,P2,verify_directory_fit_before_any_approval,https://aiforme.wiki/,aiforme.wiki,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:71,200,yes,https://aiforme.wiki/cgi-sys/suspendedpage.cgi,aiforme.wiki,0,0,no,no,no,no,no,no,yes,no,no,,2026-05-22T10:05:39.142Z
p2-reclass-005,7,80,P2,verify_directory_fit_before_any_approval,https://aitoolsguide.com/,aitoolsguide.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:80,200,yes,https://aitoolsguide.com/,aitoolsguide.com,1,2,yes,no,yes,no,no,no,yes,yes,no,,2026-05-22T10:05:49.299Z
p2-reclass-005,8,95,P2,verify_directory_fit_before_any_approval,https://apitracker.io/mcp-servers,apitracker.io,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:95,403,no,https://apitracker.io/mcp-servers,apitracker.io,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-22T10:06:00.868Z
p2-reclass-005,9,100,P2,verify_directory_fit_before_any_approval,https://www.artstation.com/,artstation.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:100,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:06:05.764Z
p2-reclass-005,10,101,P2,verify_directory_fit_before_any_approval,https://www.athlinks.com/,athlinks.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:101,200,yes,https://www.athlinks.com/,athlinks.com,0,0,no,no,no,no,no,yes,yes,no,no,,2026-05-22T10:06:16.267Z
p2-reclass-005,11,111,P2,verify_directory_fit_before_any_approval,https://bandcamp.com/,bandcamp.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:111,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:06:19.532Z
p2-reclass-005,12,114,P2,verify_directory_fit_before_any_approval,https://www.behance.net/,behance.net,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:114,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:06:20.203Z
p2-reclass-005,13,126,P2,verify_directory_fit_before_any_approval,https://www.bizsugar.com/,bizsugar.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 3 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:126,200,yes,https://bizsugar.com/,bizsugar.com,3,3,yes,no,yes,no,no,yes,no,yes,no,,2026-05-22T10:06:39.930Z
p2-reclass-005,14,142,P2,verify_directory_fit_before_any_approval,https://www.blogarama.com/,blogarama.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:142,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:06:48.342Z
p2-reclass-005,15,146,P2,verify_directory_fit_before_any_approval,https://www.blogger.com/,blogger.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:146,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:06:59.790Z
p2-reclass-005,16,169,P2,verify_directory_fit_before_any_approval,https://businesshunt.co/,businesshunt.co,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:169,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:07:16.073Z
p2-reclass-005,17,172,P2,verify_directory_fit_before_any_approval,https://www.cabinetm.com/,cabinetm.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; final domain changed to cabinetmsd.my.canva.site,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:172,200,yes,https://cabinetmsd.my.canva.site/,cabinetmsd.my.canva.site,0,0,no,no,no,no,no,yes,no,no,no,,2026-05-22T10:07:19.755Z
p2-reclass-005,18,173,P2,verify_directory_fit_before_any_approval,https://www.calameo.com/,calameo.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:173,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:07:22.608Z
p2-reclass-005,19,202,P2,verify_directory_fit_before_any_approval,https://www.cuspera.com/,cuspera.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:202,200,yes,https://www.cuspera.com/,cuspera.com,0,2,yes,no,yes,no,no,yes,yes,no,no,,2026-05-22T10:07:43.468Z
p2-reclass-005,20,216,P2,verify_directory_fit_before_any_approval,https://www.directory.ldmstudio.com/,directory.ldmstudio.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_possible_submit_form,needs_manual_check,medium,approved,manual_confirm_public_free_submit_form_before_approval,"form, submit signal, and directory/listing signal found; evidence: 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; if manually confirmed, use approved with reviewer notes",,"form, submit signal, and directory/listing signal found",yes,review_row:216,200,yes,https://www.directory.ldmstudio.com/,directory.ldmstudio.com,1,2,yes,no,yes,no,no,no,no,no,no,,2026-05-22T10:07:47.553Z
p2-reclass-005,21,217,P2,verify_directory_fit_before_any_approval,https://disqus.com/,disqus.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:217,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:07:48.925Z
p2-reclass-005,22,224,P2,verify_directory_fit_before_any_approval,https://ecosystem.hubspot.com/marketplace,ecosystem.hubspot.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:224,200,yes,https://ecosystem.hubspot.com/marketplace,ecosystem.hubspot.com,0,0,no,no,yes,no,no,no,yes,no,no,,2026-05-22T10:08:00.647Z
