batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-018,8,P2,37,507,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: fitness/social club platform; club creation requires Strava account and is for athletic communities, not product/business directory backlinks.",codex,,strava.com,free,en,social_fitness_platform,needs_manual_review,https://www.strava.com/,strava.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 248:url; directory-submissions-external-links.md:250,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,9,P2,37,508,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: website builder/hosting product, not a directory or listing submission target.",codex,,strikingly.com,free,en,website_builder_platform,needs_manual_review,https://www.strikingly.com/,strikingly.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 249:url; directory-submissions-external-links.md:251,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,10,P2,37,511,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: newsletter/blog publishing platform requiring account/publication creation; not a structured product/startup directory submission.,codex,,substack.com,free,en,content_publishing_platform,needs_manual_review,https://substack.com/,substack.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 121:url; directory-submissions-external-links.md:123,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,11,P2,37,512,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: India local services/business lead marketplace, not general SaaS; provider listing requires account/verification and is only relevant to local service professionals.",codex,,sulekha.com,free,en,vertical_local_services_directory_auth_required,needs_manual_review,https://www.sulekha.com/,sulekha.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 251:url; directory-submissions-external-links.md:253,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,12,P2,37,517,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: product/company website for AI contact center (taalk.ai) or unrelated domain, not a public directory submission surface.",codex,,taalk.com,paid,en,product_site_not_directory,needs_manual_review,https://taalk.com/,taalk.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 123:url; directory-submissions-external-links.md:125,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,13,P2,37,518,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: education-resource marketplace requiring seller account and original teaching resources; not appropriate for generic product/SaaS backlink submission.,codex,,teacherspayteachers.com,paid,en,vertical_marketplace_not_directory,needs_manual_review,https://www.teacherspayteachers.com/,teacherspayteachers.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 252:url; directory-submissions-external-links.md:254,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,14,P2,37,519,reject_not_submit,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: tech media/reviews site with no verified public product submit/listing form; outreach/editorial only, not directory submission.",codex,,tech.co,unknown,en,media_site_no_submit,needs_manual_review,https://tech.co/,tech.co,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 124:url; directory-submissions-external-links.md:126,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,15,P2,37,528,approved,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: SaaS directory explicitly invites users to submit a SaaS company; approve for real SaaS products, keep non-executable needs_scout until form mapping.",codex,https://thesaasdirectory.com/submit,thesaasdirectory.com,free,en,saas_directory,needs_manual_review,https://thesaasdirectory.com/,thesaasdirectory.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 127:url; directory-submissions-external-links.md:129,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,16,P2,37,532,reject_paid,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: launch/listing surface appears paid or gated from available evidence; exclude from free automated queue unless a free path is later verified.,codex,,todaylaunches.com,paid,en,startup_launch_directory_paid_or_gated,needs_manual_review,https://todaylaunches.com/,todaylaunches.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 129:url; directory-submissions-external-links.md:131,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,17,P2,37,538,approved,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: tool directory with public submit/add tool flow; approve for relevant online tools only and keep non-executable until scouted.,codex,https://toolsfine.com/submit,toolsfine.com,free,en,tool_directory,needs_manual_review,https://toolsfine.com/,toolsfine.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 131:url; directory-submissions-external-links.md:133,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,18,P2,37,540,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: verified startup revenue database/marketplace; free listing exists but requires email dashboard plus read-only payment-provider API verification, so assisted only.",codex,,trustmrr.com,free,en,startup_marketplace_auth_verification_required,needs_manual_review,https://trustmrr.com/,trustmrr.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 133:url; directory-submissions-external-links.md:135,,,,,,,,,,,,,,,,,0,,
