batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p2-005,401,529,P2,verify_directory_fit_before_any_approval,http://www.thinkgrowgiggle.com/2020/07/10-best-mentor-texts-to-use-for-reading.html,thinkgrowgiggle.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:529,200,yes,http://www.thinkgrowgiggle.com/2020/07/10-best-mentor-texts-to-use-for-reading.html,thinkgrowgiggle.com,3,2,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:36:28.667Z
p2-005,402,530,P2,verify_directory_fit_before_any_approval,https://threewood.jp/hpgen/HPB/entries/25.html,threewood.jp,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:530,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:36:33.435Z
p2-005,403,533,P2,verify_directory_fit_before_any_approval,https://tonypolecastro.com/at204,tonypolecastro.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 4 form(s), 32 input/select/textarea fields; submit/add/list/publish button text signal found",,login/register or OAuth signal found,yes,review_row:533,200,yes,https://tonypolecastro.com/at204/,tonypolecastro.com,4,32,yes,no,no,yes,no,yes,no,no,no,,2026-05-22T08:36:43.439Z
p2-005,404,534,P2,verify_directory_fit_before_any_approval,https://tonypolecastro.com/guitar-notes-for-beginners/comment-page-12,tonypolecastro.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 4 form(s), 32 input/select/textarea fields; submit/add/list/publish button text signal found",,login/register or OAuth signal found,yes,review_row:534,200,yes,https://tonypolecastro.com/guitar-notes-for-beginners/comment-page-12/,tonypolecastro.com,4,32,yes,no,no,yes,no,yes,no,no,no,,2026-05-22T08:36:50.156Z
p2-005,405,545,P2,verify_directory_fit_before_any_approval,https://url/,url,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:545,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:36:52.630Z
p2-005,406,546,P2,verify_directory_fit_before_any_approval,https://www.visitrichmond.co.uk/blog/read/2024/03/english-tourism-week-2024-gardens-and-parks-b48,visitrichmond.co.uk,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:546,200,yes,https://www.visitrichmond.co.uk/blog/read/2024/03/english-tourism-week-2024-gardens-and-parks-b48,visitrichmond.co.uk,2,5,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:36:57.156Z
p2-005,407,547,P2,verify_directory_fit_before_any_approval,http://www.w3.org/2000/svg,w3.org,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:547,200,yes,https://www.w3.org/2000/svg,w3.org,0,0,no,no,no,no,no,no,no,no,no,,2026-05-22T08:37:01.289Z
p2-005,408,548,P2,verify_directory_fit_before_any_approval,https://wallhaven.cc/user/lauralehman,wallhaven.cc,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:548,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:37:03.315Z
p2-005,409,556,P2,verify_directory_fit_before_any_approval,https://www.weirdsciencedccomics.com/2022/02/batmancatwoman-10-review.html,weirdsciencedccomics.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:556,200,yes,https://www.weirdsciencedccomics.com/2022/02/batmancatwoman-10-review.html,weirdsciencedccomics.com,1,2,yes,no,yes,no,no,yes,no,yes,no,,2026-05-22T08:37:13.326Z
p2-005,410,561,P2,verify_directory_fit_before_any_approval,https://whimsysoul.com/napa-valley-wine-train,whimsysoul.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:561,403,no,https://whimsysoul.com/napa-valley-wine-train,whimsysoul.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:37:16.329Z
p2-005,411,562,P2,verify_directory_fit_before_any_approval,https://wiki.alumni.net/wiki/User:MincEdlate33363909,wiki.alumni.net,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 7 input/select/textarea fields; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:562,200,yes,https://wiki.alumni.net/wiki/User:MincEdlate33363909,wiki.alumni.net,1,7,no,no,yes,yes,no,yes,yes,no,no,,2026-05-22T08:37:17.684Z
p2-005,412,563,P2,verify_directory_fit_before_any_approval,https://www.wonderfulmalaysia.com/food/best-wet-markets-kuala-lumpur.htm,wonderfulmalaysia.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:563,200,yes,https://www.wonderfulmalaysia.com/food/best-wet-markets-kuala-lumpur.htm,wonderfulmalaysia.com,2,10,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T08:37:19.743Z
p2-005,413,564,P2,verify_directory_fit_before_any_approval,https://www.wonderfulmalaysia.com/tips/heading-to-malaysia-the-superstitions-you-ought-to-know.htm,wonderfulmalaysia.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:564,200,yes,https://www.wonderfulmalaysia.com/tips/heading-to-malaysia-the-superstitions-you-ought-to-know.htm,wonderfulmalaysia.com,2,10,yes,no,yes,no,no,yes,yes,yes,no,,2026-05-22T08:37:23.383Z
p2-005,414,565,P2,verify_directory_fit_before_any_approval,https://www.wonderfulmalaysia.com/tips/sport-activities-on-a-vacation-in-malaysia.htm,wonderfulmalaysia.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:565,200,yes,https://www.wonderfulmalaysia.com/tips/sport-activities-on-a-vacation-in-malaysia.htm,wonderfulmalaysia.com,2,10,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T08:37:24.929Z
p2-005,415,567,P2,verify_directory_fit_before_any_approval,https://xxx.com/,xxx.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:567,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:37:27.040Z
