batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-029,8,353,P2,verify_directory_fit_before_any_approval,https://www.makeupsavvy.co.uk/2019/12/best-budget-concealers-for-pale-skin-2019.html,makeupsavvy.co.uk,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2019/12/best-budget-concealers-for-pale-skin-2019.html) looks like a source article, profile, forum, comment, or issue page; evidence: Cloudflare/human verification signal found; 1 form(s), 1 input/select/textarea fields; directory/listing marketplace text signal found",,"URL path (/2019/12/best-budget-concealers-for-pale-skin-2019.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:353,200,yes,https://www.makeupsavvy.co.uk/2019/12/best-budget-concealers-for-pale-skin-2019.html,makeupsavvy.co.uk,1,1,no,no,yes,no,no,no,yes,no,no,,2026-05-28T14:41:13.477Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-029,9,354,P2,verify_directory_fit_before_any_approval,https://www.mangoandsalt.com/2023/05/04/galgos-podencos-tout-savoir-adoption-levriers-despagne,mangoandsalt.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2023/05/04/galgos-podencos-tout-savoir-adoption-levriers-despagne) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; CAPTCHA signal found; 2 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2023/05/04/galgos-podencos-tout-savoir-adoption-levriers-despagne) looks like a source article, profile, forum, comment, or issue page",yes,review_row:354,200,yes,https://www.mangoandsalt.com/2023/05/04/galgos-podencos-tout-savoir-adoption-levriers-despagne/,mangoandsalt.com,2,12,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T14:41:16.296Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-029,10,355,P2,verify_directory_fit_before_any_approval,https://www.mangoandsalt.com/2024/07/11/collection-de-chaussures-barefoot-avis-conseils-2,mangoandsalt.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2024/07/11/collection-de-chaussures-barefoot-avis-conseils-2) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; CAPTCHA signal found; 2 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2024/07/11/collection-de-chaussures-barefoot-avis-conseils-2) looks like a source article, profile, forum, comment, or issue page",yes,review_row:355,200,yes,https://www.mangoandsalt.com/2024/07/11/collection-de-chaussures-barefoot-avis-conseils-2/,mangoandsalt.com,2,12,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T14:41:20.480Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-029,11,356,P2,verify_directory_fit_before_any_approval,https://www.manilashopper.com/2014/11/the-stoneware-pottery-shop-in-cagayan.html,manilashopper.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2014/11/the-stoneware-pottery-shop-in-cagayan.html) looks like a source article, profile, forum, comment, or issue page; evidence: fetch failed",,"URL path (/2014/11/the-stoneware-pottery-shop-in-cagayan.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:356,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T14:41:21.379Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-029,12,359,P2,verify_directory_fit_before_any_approval,https://mastodon.social/@rstevens/112532171747034727,mastodon.social,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:359,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T14:41:31.921Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-029,13,362,P2,verify_directory_fit_before_any_approval,https://www.michaelgeist.ca/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications,michaelgeist.ca,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; CAPTCHA signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications) looks like a source article, profile, forum, comment, or issue page",yes,review_row:362,200,yes,https://www.michaelgeist.ca/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications/,michaelgeist.ca,2,7,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T14:41:42.457Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-029,14,367,P2,verify_directory_fit_before_any_approval,https://www.moonsoap.com/hpgen/HPB/entries/8.html,moonsoap.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:367,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-28T14:41:48.614Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-029,15,368,P2,verify_directory_fit_before_any_approval,https://multichain.com/qa/user/parrotcatsup3,multichain.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: login/register signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; HTTP 404",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:368,404,no,https://multichain.com/qa/user/parrotcatsup3,multichain.com,1,2,yes,no,no,yes,no,no,no,no,no,HTTP 404,2026-05-28T14:42:03.628Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-029,16,369,P2,verify_directory_fit_before_any_approval,https://mummyfever.co.uk/family-skiing-in-bulgaria,mummyfever.co.uk,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:369,200,yes,https://mummyfever.co.uk/family-skiing-in-bulgaria/,mummyfever.co.uk,3,17,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:42:05.734Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-029,17,370,P2,verify_directory_fit_before_any_approval,https://mummyfever.co.uk/the-best-youtube-home-workouts,mummyfever.co.uk,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:370,200,yes,https://mummyfever.co.uk/the-best-youtube-home-workouts/,mummyfever.co.uk,3,17,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:42:10.685Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-029,18,372,P2,verify_directory_fit_before_any_approval,https://musthavemom.com/how-to-get-a-designer-look-without-the-interior-decorator-price-tag,musthavemom.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:372,200,yes,https://musthavemom.com/how-to-get-a-designer-look-without-the-interior-decorator-price-tag/,musthavemom.com,3,6,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T14:42:14.205Z,,,,,,,,,,,,,,,0,,
