batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p2-006,1,2,P2,verify_directory_fit_before_any_approval,https://www.1888pressrelease.com/,1888pressrelease.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,"payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:2,200,yes,https://www.1888pressrelease.com/,1888pressrelease.com,1,1,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T04:44:13.362Z,,,,,,,,,,,,,,,0,,
p2-006,2,3,P2,verify_directory_fit_before_any_approval,https://www.2findlocal.com/,2findlocal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:3,200,yes,https://www.2findlocal.com/,2findlocal.com,1,6,yes,no,yes,no,no,yes,yes,yes,no,,2026-05-28T04:44:15.573Z,,,,,,,,,,,,,,,0,,
p2-006,3,4,P2,verify_directory_fit_before_any_approval,https://www.4shared.com/,4shared.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:4,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:44:17.914Z,,,,,,,,,,,,,,,0,,
p2-006,4,5,P2,verify_directory_fit_before_any_approval,https://500px.com/,500px.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:5,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:44:28.572Z,,,,,,,,,,,,,,,0,,
p2-006,5,56,P2,verify_directory_fit_before_any_approval,https://about.me/,about.me,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:56,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:44:29.046Z,,,,,,,,,,,,,,,0,,
p2-006,6,59,P2,verify_directory_fit_before_any_approval,https://activerain.com/,activerain.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:59,403,no,https://activerain.com/,activerain.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-28T04:44:39.239Z,,,,,,,,,,,,,,,0,,
p2-006,7,71,P2,verify_directory_fit_before_any_approval,https://aiforme.wiki/,aiforme.wiki,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:71,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:44:40.643Z,,,,,,,,,,,,,,,0,,
p2-006,8,73,P2,verify_directory_fit_before_any_approval,https://ainavhub.com/,ainavhub.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 2 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:73,200,yes,https://ainavhub.com/,ainavhub.com,2,3,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T04:44:45.018Z,,,,,,,,,,,,,,,0,,
p2-006,9,77,P2,verify_directory_fit_before_any_approval,https://aitoolly.com/,aitoolly.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:77,200,yes,https://aitoolly.com/,aitoolly.com,1,1,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T04:44:47.220Z,,,,,,,,,,,,,,,0,,
p2-006,10,80,P2,verify_directory_fit_before_any_approval,https://aitoolsguide.com/,aitoolsguide.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:80,200,yes,https://aitoolsguide.com/,aitoolsguide.com,1,2,yes,no,yes,no,no,no,yes,yes,no,,2026-05-28T04:44:53.346Z,,,,,,,,,,,,,,,0,,
p2-006,11,82,P2,verify_directory_fit_before_any_approval,https://www.allmenus.com/,allmenus.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:82,200,yes,https://www.allmenus.com/,allmenus.com,0,0,no,no,no,no,no,no,no,no,no,,2026-05-28T04:44:56.512Z,,,,,,,,,,,,,,,0,,
