batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-033,8,484,P2,verify_directory_fit_before_any_approval,https://slice.uccs.edu/?p=804,slice.uccs.edu,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:484,403,no,https://slice.uccs.edu/?p=804,slice.uccs.edu,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T14:54:22.427Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-033,9,486,P2,verify_directory_fit_before_any_approval,https://snipplr.com/users/mcleanross?language=all,snipplr.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/users/mcleanross) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found; 1 form(s), 2 input/select/textarea fields",,"URL path (/users/mcleanross) looks like a source article, profile, forum, comment, or issue page",yes,review_row:486,200,yes,https://snipplr.com/users/mcleanross?language=all,snipplr.com,1,2,no,no,no,yes,no,yes,no,no,no,,2026-05-28T14:54:26.879Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-033,10,487,P2,verify_directory_fit_before_any_approval,https://soccernet.ng/2024/03/were-looking-forward-to-it-atalantas-lookman-pumped-ahead-of-nigerias-jollof-derby-against-ghana.html,soccernet.ng,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2024/03/were-looking-forward-to-it-atalantas-lookman-pumped-ahead-of-nigerias-jollof-derby-against-ghana.html) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 5 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/2024/03/were-looking-forward-to-it-atalantas-lookman-pumped-ahead-of-nigerias-jollof-derby-against-ghana.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:487,200,yes,https://soccernet.ng/2024/03/were-looking-forward-to-it-atalantas-lookman-pumped-ahead-of-nigerias-jollof-derby-against-ghana.html,soccernet.ng,5,11,yes,no,no,no,no,yes,yes,no,no,,2026-05-28T14:54:28.660Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-033,11,493,P2,verify_directory_fit_before_any_approval,https://www.speechandlanguagekids.com/week-7-summer-speech-challenge,speechandlanguagekids.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:493,200,yes,https://www.speechandlanguagekids.com/week-7-summer-speech-challenge/,speechandlanguagekids.com,3,7,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T14:54:33.250Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-033,12,495,P2,verify_directory_fit_before_any_approval,https://squatuniversity.com/2015/12/01/the-squat-fix-hip-mobility-pt-1/comment-page-2,squatuniversity.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2015/12/01/the-squat-fix-hip-mobility-pt-1/comment-page-2) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found; 7 form(s), 29 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2015/12/01/the-squat-fix-hip-mobility-pt-1/comment-page-2) looks like a source article, profile, forum, comment, or issue page",yes,review_row:495,200,yes,https://squatuniversity.com/2015/12/01/the-squat-fix-hip-mobility-pt-1/comment-page-2/,squatuniversity.com,7,29,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T14:54:43.871Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-033,13,496,P2,verify_directory_fit_before_any_approval,https://squatuniversity.com/2016/04/07/how-to-perfect-the-front-squat/comment-page-4,squatuniversity.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2016/04/07/how-to-perfect-the-front-squat/comment-page-4) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; 7 form(s), 29 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2016/04/07/how-to-perfect-the-front-squat/comment-page-4) looks like a source article, profile, forum, comment, or issue page",yes,review_row:496,200,yes,https://squatuniversity.com/2016/04/07/how-to-perfect-the-front-squat/comment-page-4/,squatuniversity.com,7,29,yes,no,yes,no,no,yes,no,no,no,,2026-05-28T14:54:47.069Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-033,14,498,P2,verify_directory_fit_before_any_approval,https://www.stampstampede.org/society-stampers/groups/sprunki-game-1453889805/members,stampstampede.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found",,login/register or OAuth signal found,yes,review_row:498,200,yes,https://www.stampstampede.org/society-stampers/groups/sprunki-game-1453889805/members/,stampstampede.org,1,3,yes,no,no,yes,no,yes,yes,yes,no,,2026-05-28T14:54:49.514Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-033,15,506,P2,verify_directory_fit_before_any_approval,https://www.steffisrecipes.com/2020/04/idli-kurma.html,steffisrecipes.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2020/04/idli-kurma.html) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2020/04/idli-kurma.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:506,200,yes,https://www.steffisrecipes.com/2020/04/idli-kurma.html,steffisrecipes.com,0,1,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:54:55.339Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-033,16,509,P2,verify_directory_fit_before_any_approval,https://stylelovely.com/diybalamoda/2016/01/diy-recicla-un-jersey,stylelovely.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/diybalamoda/2016/01/diy-recicla-un-jersey) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; 3 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/diybalamoda/2016/01/diy-recicla-un-jersey) looks like a source article, profile, forum, comment, or issue page",yes,review_row:509,200,yes,https://stylelovely.com/diybalamoda/2016/01/diy-recicla-un-jersey,stylelovely.com,3,18,yes,no,yes,no,no,yes,no,no,no,,2026-05-28T14:54:59.440Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-033,17,510,P2,verify_directory_fit_before_any_approval,https://stylishpetite.com/2023/07/high-tea-at-langham-hotel-pasadena.html,stylishpetite.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2023/07/high-tea-at-langham-hotel-pasadena.html) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 20 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2023/07/high-tea-at-langham-hotel-pasadena.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:510,200,yes,https://stylishpetite.com/2023/07/high-tea-at-langham-hotel-pasadena.html,stylishpetite.com,3,20,yes,no,yes,no,no,yes,yes,no,no,,2026-05-28T14:55:01.916Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-033,18,513,P2,verify_directory_fit_before_any_approval,http://www.superstore.co.jp/wp-includes/fonts/diary.cgi?mode=comment&no=116,superstore.co.jp,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; HTTP 404,,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:513,404,no,http://www.superstore.co.jp/wp-includes/fonts/diary.cgi?mode=comment&no=116,superstore.co.jp,0,0,yes,no,no,no,no,yes,yes,no,no,HTTP 404,2026-05-28T14:55:06.953Z,,,,,,,,,,,,,,,0,,
