batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-020,8,547,P2,verify_directory_fit_before_any_approval,http://www.w3.org/2000/svg,w3.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:547,200,yes,https://www.w3.org/2000/svg,w3.org,0,0,no,no,no,no,no,no,no,no,no,,2026-05-28T13:06:55.757Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,9,57,P2,verify_directory_fit_before_any_approval,https://abracomex.org/aula-inaugural-graduacao-servicos-juridicos-online,abracomex.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 1 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:57,200,yes,https://abracomex.org/aula-inaugural-graduacao-servicos-juridicos-online/,abracomex.org,1,7,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T13:06:59.405Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,10,58,P2,verify_directory_fit_before_any_approval,https://accounts.google.com/,accounts.google.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:58,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T13:07:04.829Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,11,61,P2,verify_directory_fit_before_any_approval,https://advicefromatwentysomething.com/3-simple-ways-to-reconnect-with-your-creativity,advicefromatwentysomething.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:61,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T13:07:15.572Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,12,89,P2,verify_directory_fit_before_any_approval,https://www.anspblog.org/fin-to-limb-to-art,anspblog.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:89,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T13:07:17.091Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,13,93,P2,verify_directory_fit_before_any_approval,https://api.indexnow.org/indexnow,api.indexnow.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 400; evidence: HTTP 400,,HTTP 400,yes,review_row:93,400,no,https://api.indexnow.org/indexnow,api.indexnow.org,0,0,no,no,no,no,no,no,no,no,no,HTTP 400,2026-05-28T13:07:19.422Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,14,97,P2,verify_directory_fit_before_any_approval,https://www.arlindovsky.net/2022/06/calendarizacao-da-mobilidade-por-doenca,arlindovsky.net,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2022/06/calendarizacao-da-mobilidade-por-doenca) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; 4 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2022/06/calendarizacao-da-mobilidade-por-doenca) looks like a source article, profile, forum, comment, or issue page",yes,review_row:97,200,yes,https://www.arlindovsky.net/2022/06/calendarizacao-da-mobilidade-por-doenca,arlindovsky.net,4,24,yes,no,yes,no,no,yes,no,no,no,,2026-05-28T13:07:21.437Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,15,98,P2,verify_directory_fit_before_any_approval,https://www.arlindovsky.net/2024/05/e-depois-de-abril-paulo-prudencio,arlindovsky.net,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2024/05/e-depois-de-abril-paulo-prudencio) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; 4 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/2024/05/e-depois-de-abril-paulo-prudencio) looks like a source article, profile, forum, comment, or issue page",yes,review_row:98,200,yes,https://www.arlindovsky.net/2024/05/e-depois-de-abril-paulo-prudencio,arlindovsky.net,4,24,yes,no,no,no,no,yes,no,no,no,,2026-05-28T13:07:26.026Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,16,102,P2,verify_directory_fit_before_any_approval,https://athomeinthefuture.com/2022/03/design-decorate-perfect-backyard,athomeinthefuture.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2022/03/design-decorate-perfect-backyard) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2022/03/design-decorate-perfect-backyard) looks like a source article, profile, forum, comment, or issue page",yes,review_row:102,200,yes,https://athomeinthefuture.com/2022/03/design-decorate-perfect-backyard/,athomeinthefuture.com,1,1,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T13:07:28.517Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,17,107,P2,verify_directory_fit_before_any_approval,https://www.bakerella.com/16-sweet-easter-treats,bakerella.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 5 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:107,200,yes,https://www.bakerella.com/16-sweet-easter-treats/,bakerella.com,5,24,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T13:07:32.946Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,18,108,P2,verify_directory_fit_before_any_approval,https://www.bakerella.com/sweets-for-the-season,bakerella.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 5 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:108,200,yes,https://www.bakerella.com/sweets-for-the-season/,bakerella.com,5,24,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T13:07:41.590Z,,,,,,,,,,,,,,,0,,
