batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p2-004,301,330,P2,verify_directory_fit_before_any_approval,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:330,200,yes,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,1,3,yes,no,yes,no,no,yes,no,no,no,,2026-05-22T08:36:28.612Z
p2-004,302,334,P2,verify_directory_fit_before_any_approval,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian,learnalanguage.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; 2 form(s), 8 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:334,200,yes,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian/,learnalanguage.com,2,8,yes,no,yes,yes,no,no,no,no,no,,2026-05-22T08:36:30.617Z
p2-004,303,335,P2,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/best-time-to-visit-tanzania,lilistravelplans.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:335,200,yes,https://www.lilistravelplans.com/best-time-to-visit-tanzania/,lilistravelplans.com,4,15,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:36:34.687Z
p2-004,304,336,P2,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania,lilistravelplans.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:336,200,yes,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania/,lilistravelplans.com,4,15,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:36:41.730Z
p2-004,305,337,P2,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania,lilistravelplans.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:337,200,yes,https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania/,lilistravelplans.com,4,15,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:36:44.002Z
p2-004,306,342,P2,verify_directory_fit_before_any_approval,https://loveandmarriageblog.com/beach-water-cocktail,loveandmarriageblog.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:342,403,no,https://loveandmarriageblog.com/beach-water-cocktail,loveandmarriageblog.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-22T08:36:45.541Z
p2-004,307,343,P2,verify_directory_fit_before_any_approval,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life,lovestrategies.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 30 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:343,200,yes,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life/,lovestrategies.com,3,30,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:36:48.337Z
p2-004,308,344,P2,verify_directory_fit_before_any_approval,https://lovestrategies.com/types-of-guys-who-stay-single,lovestrategies.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 30 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:344,200,yes,https://lovestrategies.com/types-of-guys-who-stay-single/,lovestrategies.com,3,30,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:36:53.595Z
p2-004,309,345,P2,verify_directory_fit_before_any_approval,https://www.madrimasd.org/blogs/astrofisica/2022/05/20/134942,madrimasd.org,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 3 form(s), 13 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:345,200,yes,https://www.madrimasd.org/blogs/astrofisica/2022/05/20/134942,madrimasd.org,3,13,yes,no,yes,no,no,yes,no,no,no,,2026-05-22T08:36:54.350Z
p2-004,310,346,P2,verify_directory_fit_before_any_approval,https://www.madrimasd.org/blogs/matematicas/2024/02/11/150483,madrimasd.org,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 2 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:346,200,yes,https://www.madrimasd.org/blogs/matematicas/2024/02/11/150483,madrimasd.org,2,11,yes,no,yes,no,no,yes,no,no,no,,2026-05-22T08:36:56.730Z
p2-004,311,347,P2,verify_directory_fit_before_any_approval,https://www.mae.gov.bi/en/an-audience-with-the-iom-head-of-the-mission-in-burundi,mae.gov.bi,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 9 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:347,200,yes,https://www.mae.gov.bi/en/an-audience-with-the-iom-head-of-the-mission-in-burundi/,mae.gov.bi,3,9,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:36:57.386Z
