batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-021,8,118,P2,verify_directory_fit_before_any_approval,https://www.betterreading.com.au/news/awards/breaking-news-announcing-the-2023-better-reading-top-100,betterreading.com.au,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/news/awards/breaking-news-announcing-the-2023-better-reading-top-100) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 4 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/news/awards/breaking-news-announcing-the-2023-better-reading-top-100) looks like a source article, profile, forum, comment, or issue page",yes,review_row:118,200,yes,https://www.betterreading.com.au/news/awards/breaking-news-announcing-the-2023-better-reading-top-100/,betterreading.com.au,4,14,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T13:13:57.480Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-021,9,119,P2,verify_directory_fit_before_any_approval,https://www.betterreading.com.au/news/book-life/wine-coffee-tea-what-do-you-drink-while-youre-reading,betterreading.com.au,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/news/book-life/wine-coffee-tea-what-do-you-drink-while-youre-reading) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 4 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/news/book-life/wine-coffee-tea-what-do-you-drink-while-youre-reading) looks like a source article, profile, forum, comment, or issue page",yes,review_row:119,200,yes,https://www.betterreading.com.au/news/book-life/wine-coffee-tea-what-do-you-drink-while-youre-reading/,betterreading.com.au,4,14,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T13:14:11.360Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-021,10,120,P2,verify_directory_fit_before_any_approval,https://bevcooks.com/2019/06/creamy-chicken-and-asparagus-casserole,bevcooks.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2019/06/creamy-chicken-and-asparagus-casserole) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; CAPTCHA signal found; 3 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2019/06/creamy-chicken-and-asparagus-casserole) looks like a source article, profile, forum, comment, or issue page",yes,review_row:120,200,yes,https://bevcooks.com/2019/06/creamy-chicken-and-asparagus-casserole/,bevcooks.com,3,15,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T13:14:17.676Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-021,11,121,P2,verify_directory_fit_before_any_approval,https://bevcooks.com/2024/08/homemade-ricotta,bevcooks.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2024/08/homemade-ricotta) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2024/08/homemade-ricotta) looks like a source article, profile, forum, comment, or issue page",yes,review_row:121,200,yes,https://bevcooks.com/2024/08/homemade-ricotta/,bevcooks.com,3,15,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T13:14:22.504Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-021,12,123,P2,verify_directory_fit_before_any_approval,https://www.bing.com/indexnow,bing.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:123,200,yes,https://www.bing.com/indexnow,bing.com,0,0,no,no,yes,no,no,no,yes,no,no,,2026-05-28T13:14:26.201Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-021,13,128,P2,verify_directory_fit_before_any_approval,https://www.blafusel.de/phpbb/memberlist.php?mode=viewprofile&u=8625,blafusel.de,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_possible_submit_form,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/phpbb/memberlist.php) looks like a source article, profile, forum, comment, or issue page; evidence: 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/phpbb/memberlist.php) looks like a source article, profile, forum, comment, or issue page",yes,review_row:128,200,yes,https://www.blafusel.de/phpbb/memberlist.php?mode=viewprofile&u=8625,blafusel.de,1,2,yes,no,no,no,no,no,no,no,no,,2026-05-28T13:14:27.033Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-021,14,129,P2,verify_directory_fit_before_any_approval,https://blankitinerary.com/santana-fall.html,blankitinerary.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 4 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:129,200,yes,https://blankitinerary.com/santana-fall.html,blankitinerary.com,4,12,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T13:14:29.089Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-021,15,130,P2,verify_directory_fit_before_any_approval,https://www.blend4web.com/ru/forums/users/alexreynolds/posts,blend4web.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_possible_submit_form,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/ru/forums/users/alexreynolds/posts) looks like a source article, profile, forum, comment, or issue page; evidence: 4 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/ru/forums/users/alexreynolds/posts) looks like a source article, profile, forum, comment, or issue page",yes,review_row:130,200,yes,https://www.blend4web.com/ru/forums/users/alexreynolds/posts/,blend4web.com,4,14,yes,no,yes,no,no,no,no,no,no,,2026-05-28T13:14:31.780Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-021,16,131,P2,verify_directory_fit_before_any_approval,https://blog.bmtmicro.com/4449-2,blog.bmtmicro.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"host/path (blog.bmtmicro.com/4449-2) looks like a blog/news content page, not a directory; evidence: CAPTCHA signal found; 3 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"host/path (blog.bmtmicro.com/4449-2) looks like a blog/news content page, not a directory",yes,review_row:131,200,yes,https://blog.bmtmicro.com/4449-2/,blog.bmtmicro.com,3,16,yes,no,yes,no,no,yes,no,no,no,,2026-05-28T13:14:35.563Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-021,17,132,P2,verify_directory_fit_before_any_approval,https://blog.goaffpro.com/mastering-affiliate-product-reviews-a-step-by-step-guide-for-engaging-content-and-conversions,blog.goaffpro.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"host/path (blog.goaffpro.com/mastering-affiliate-product-reviews-a-step-by-step-guide-for-engaging-content-and-conversions) looks like a blog/news content page, not a directory; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"host/path (blog.goaffpro.com/mastering-affiliate-product-reviews-a-step-by-step-guide-for-engaging-content-and-conversions) looks like a blog/news content page, not a directory",yes,review_row:132,200,yes,https://blog.goaffpro.com/mastering-affiliate-product-reviews-a-step-by-step-guide-for-engaging-content-and-conversions/,blog.goaffpro.com,2,12,yes,no,yes,no,no,yes,yes,no,no,,2026-05-28T13:14:41.291Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-021,18,133,P2,verify_directory_fit_before_any_approval,https://blog.metastock.com/2024/08/mastering-ichimoku-method-jeff-gibby.html,blog.metastock.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2024/08/mastering-ichimoku-method-jeff-gibby.html) looks like a source article, profile, forum, comment, or issue page; evidence: fetch failed",,"URL path (/2024/08/mastering-ichimoku-method-jeff-gibby.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:133,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T13:14:46.282Z,,,,,,,,,,,,,,,0,,
