batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p2-006,1,P2,37,2,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,1888pressrelease.com,unknown,unknown,missing_domain,needs_manual_review,https://www.1888pressrelease.com/,1888pressrelease.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 141:url; directory-submissions-external-links.md:143,,,,,,,,,,,,,,,,,0,,
p2-006,2,P2,37,3,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,2findlocal.com,unknown,unknown,missing_domain,needs_manual_review,https://www.2findlocal.com/,2findlocal.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 142:url; directory-submissions-external-links.md:144,,,,,,,,,,,,,,,,,0,,
p2-006,3,P2,37,4,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,4shared.com,unknown,unknown,missing_domain,needs_manual_review,https://www.4shared.com/,4shared.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 143:url; directory-submissions-external-links.md:145,,,,,,,,,,,,,,,,,0,,
p2-006,4,P2,37,5,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,500px.com,unknown,unknown,missing_domain,needs_manual_review,https://500px.com/,500px.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 3:url; directory-submissions-external-links.md:5,,,,,,,,,,,,,,,,,0,,
p2-006,5,P2,37,56,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,about.me,unknown,unknown,missing_domain,needs_manual_review,https://about.me/,about.me,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 4:url; directory-submissions-external-links.md:6,,,,,,,,,,,,,,,,,0,,
p2-006,6,P2,37,59,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,activerain.com,unknown,unknown,missing_domain,needs_manual_review,https://activerain.com/,activerain.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 5:url; directory-submissions-external-links.md:7,,,,,,,,,,,,,,,,,0,,
p2-006,7,P2,37,71,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,aiforme.wiki,unknown,unknown,missing_domain,needs_manual_review,https://aiforme.wiki/,aiforme.wiki,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 15:url; directory-submissions-external-links.md:17,,,,,,,,,,,,,,,,,0,,
p2-006,8,P2,37,73,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,ainavhub.com,unknown,unknown,missing_domain,needs_manual_review,https://ainavhub.com/,ainavhub.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 17:url; directory-submissions-external-links.md:19,,,,,,,,,,,,,,,,,0,,
p2-006,9,P2,37,77,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,aitoolly.com,unknown,unknown,missing_domain,needs_manual_review,https://aitoolly.com/,aitoolly.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 22:url; directory-submissions-external-links.md:24,,,,,,,,,,,,,,,,,0,,
p2-006,10,P2,37,80,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,aitoolsguide.com,unknown,unknown,missing_domain,needs_manual_review,https://aitoolsguide.com/,aitoolsguide.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 26:url; directory-submissions-external-links.md:28,,,,,,,,,,,,,,,,,0,,
