batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p2-recheck-004,113,356,P2,verify_directory_fit_before_any_approval,https://www.manilashopper.com/2014/11/the-stoneware-pottery-shop-in-cagayan.html,manilashopper.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2014/11/the-stoneware-pottery-shop-in-cagayan.html) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; CAPTCHA signal found; 2 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2014/11/the-stoneware-pottery-shop-in-cagayan.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:356,200,yes,https://www.manilashopper.com/2014/11/the-stoneware-pottery-shop-in-cagayan.html,manilashopper.com,2,6,yes,no,yes,no,no,yes,no,yes,no,,2026-05-22T11:30:31.216Z
p2-recheck-004,114,359,P2,verify_directory_fit_before_any_approval,https://mastodon.social/@rstevens/112532171747034727,mastodon.social,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:359,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T11:30:35.558Z
p2-recheck-004,115,362,P2,verify_directory_fit_before_any_approval,https://www.michaelgeist.ca/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications,michaelgeist.ca,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; CAPTCHA signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications) looks like a source article, profile, forum, comment, or issue page",yes,review_row:362,200,yes,https://www.michaelgeist.ca/2023/05/this-must-stop-government-and-liberal-party-go-all-in-on-speech-regulation-with-political-truth-oversight-bodies-mandated-press-source-tracing-and-disclosure-of-critics-communications/,michaelgeist.ca,2,7,yes,no,no,no,no,yes,no,yes,no,,2026-05-22T11:30:46.085Z
p2-recheck-004,116,367,P2,verify_directory_fit_before_any_approval,https://www.moonsoap.com/hpgen/HPB/entries/8.html,moonsoap.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:367,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T11:30:51.061Z
p2-recheck-004,117,369,P2,verify_directory_fit_before_any_approval,https://mummyfever.co.uk/family-skiing-in-bulgaria,mummyfever.co.uk,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:369,200,yes,https://mummyfever.co.uk/family-skiing-in-bulgaria/,mummyfever.co.uk,3,17,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T11:31:01.576Z
p2-recheck-004,118,370,P2,verify_directory_fit_before_any_approval,https://mummyfever.co.uk/the-best-youtube-home-workouts,mummyfever.co.uk,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:370,200,yes,https://mummyfever.co.uk/the-best-youtube-home-workouts/,mummyfever.co.uk,3,17,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T11:31:04.654Z
p2-recheck-004,119,372,P2,verify_directory_fit_before_any_approval,https://musthavemom.com/how-to-get-a-designer-look-without-the-interior-decorator-price-tag,musthavemom.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:372,200,yes,https://musthavemom.com/how-to-get-a-designer-look-without-the-interior-decorator-price-tag/,musthavemom.com,3,6,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T11:31:05.711Z
p2-recheck-004,120,374,P2,verify_directory_fit_before_any_approval,https://myanimelist.net/profile/Akizuki_Airi,myanimelist.net,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/profile/akizuki_airi) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/profile/akizuki_airi) looks like a source article, profile, forum, comment, or issue page",yes,review_row:374,200,yes,https://myanimelist.net/profile/Akizuki_Airi,myanimelist.net,1,2,yes,no,yes,yes,no,yes,no,no,no,,2026-05-22T11:31:10.835Z
p2-recheck-004,121,375,P2,verify_directory_fit_before_any_approval,https://www.mycomics.de/profil/tedcrane.html,mycomics.de,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/profil/tedcrane.html) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/profil/tedcrane.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:375,200,yes,https://www.mycomics.de/profil/tedcrane.html,mycomics.de,2,7,yes,no,no,no,no,yes,no,no,no,,2026-05-22T11:31:11.878Z
p2-recheck-004,122,379,P2,verify_directory_fit_before_any_approval,https://nasze-lasie-pl.sugester.pl/167783170-ChatGPT-in-Spain-Revolutionizing-Communication-and-AI-Interaction?order=popular&page=2,nasze-lasie-pl.sugester.pl,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:379,200,yes,https://nasze-lasie-pl.sugester.pl/?error=private_forum,nasze-lasie-pl.sugester.pl,1,19,yes,no,no,no,no,yes,no,no,no,,2026-05-22T11:31:13.224Z
p2-recheck-004,123,380,P2,verify_directory_fit_before_any_approval,https://nasze-lasie-pl.sugester.pl/18132-o-stronie-wiadomosci-na-glownej-itp?order=popular,nasze-lasie-pl.sugester.pl,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:380,200,yes,https://nasze-lasie-pl.sugester.pl/?error=private_forum,nasze-lasie-pl.sugester.pl,1,19,yes,no,no,no,no,yes,no,no,no,,2026-05-22T11:31:15.687Z
p2-recheck-004,124,381,P2,verify_directory_fit_before_any_approval,https://www.negociosyemprendimiento.org/2024/12/historia-temu.html?m=0,negociosyemprendimiento.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2024/12/historia-temu.html) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2024/12/historia-temu.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:381,200,yes,https://www.negociosyemprendimiento.org/2024/12/historia-temu.html?m=0,negociosyemprendimiento.org,1,1,yes,no,yes,no,no,yes,no,yes,no,,2026-05-22T11:31:16.311Z
p2-recheck-004,125,383,P2,verify_directory_fit_before_any_approval,https://www.netboard.hu/searchuser_full.php?id=139760,netboard.hu,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/searchuser_full.php) looks like a source article, profile, forum, comment, or issue page; evidence: Cloudflare/human verification signal found; 17 form(s), 44 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/searchuser_full.php) looks like a source article, profile, forum, comment, or issue page",yes,review_row:383,200,yes,https://www.netboard.hu/searchuser_full.php?id=139760,netboard.hu,17,44,yes,no,no,no,no,no,yes,no,no,,2026-05-22T11:31:18.397Z
p2-recheck-004,126,389,P2,verify_directory_fit_before_any_approval,https://www.nintendoworldreport.com/forums/index.php?action=profile%3Bu%3D56540,nintendoworldreport.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/forums/index.php) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found; 3 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/forums/index.php) looks like a source article, profile, forum, comment, or issue page",yes,review_row:389,200,yes,https://www.nintendoworldreport.com/forums/index.php?action=profile%3Bu%3D56540,nintendoworldreport.com,3,14,yes,no,yes,yes,no,yes,no,no,no,,2026-05-22T11:31:20.235Z
