batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-032,8,452,P2,verify_directory_fit_before_any_approval,https://www.repeatcrafterme.com/2019/01/crochet-moss-stitch-in-a-rectangle.html,repeatcrafterme.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2019/01/crochet-moss-stitch-in-a-rectangle.html) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2019/01/crochet-moss-stitch-in-a-rectangle.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:452,200,yes,https://www.repeatcrafterme.com/2019/01/crochet-moss-stitch-in-a-rectangle.html,repeatcrafterme.com,3,18,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T14:51:54.440Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-032,9,453,P2,verify_directory_fit_before_any_approval,https://www.repeatcrafterme.com/2019/05/crochet-avocado.html,repeatcrafterme.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2019/05/crochet-avocado.html) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2019/05/crochet-avocado.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:453,200,yes,https://www.repeatcrafterme.com/2019/05/crochet-avocado.html,repeatcrafterme.com,3,18,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T14:51:56.610Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-032,10,454,P2,verify_directory_fit_before_any_approval,https://www.repeatcrafterme.com/2025/02/crochet-furry-friends-book.html,repeatcrafterme.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2025/02/crochet-furry-friends-book.html) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2025/02/crochet-furry-friends-book.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:454,200,yes,https://www.repeatcrafterme.com/2025/02/crochet-furry-friends-book.html,repeatcrafterme.com,3,18,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T14:51:57.284Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-032,11,456,P2,verify_directory_fit_before_any_approval,https://ride.guru/content/newsroom/finding-your-fare-with-rideguru-a-how-to-guide,ride.guru,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 27 form(s), 201 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:456,200,yes,https://ride.guru/content/newsroom/finding-your-fare-with-rideguru-a-how-to-guide,ride.guru,27,201,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:51:58.041Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-032,12,457,P2,verify_directory_fit_before_any_approval,https://ru.esosedi.org/RU/BA/8564043/ust_saldyibash,ru.esosedi.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found; final domain changed to esosedi.org,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:457,200,yes,https://esosedi.org/,esosedi.org,0,0,no,no,no,no,no,no,yes,no,no,,2026-05-28T14:52:04.507Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-032,13,459,P2,verify_directory_fit_before_any_approval,https://www.runningwithspoons.com/easy-homemade-teriyaki-sauce,runningwithspoons.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 6 form(s), 33 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:459,200,yes,https://www.runningwithspoons.com/easy-homemade-teriyaki-sauce/,runningwithspoons.com,6,33,yes,no,yes,no,no,yes,yes,no,no,,2026-05-28T14:52:07.837Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-032,14,460,P2,verify_directory_fit_before_any_approval,https://www.runningwithspoons.com/flourless-carrot-cake-muffins,runningwithspoons.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 6 form(s), 41 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:460,200,yes,https://www.runningwithspoons.com/flourless-carrot-cake-muffins/,runningwithspoons.com,6,41,yes,no,yes,no,no,yes,yes,no,no,,2026-05-28T14:52:12.803Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-032,15,461,P2,verify_directory_fit_before_any_approval,https://runpee.com/10-best-math-movies-for-middle-school-students,runpee.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:461,200,yes,https://runpee.com/10-best-math-movies-for-middle-school-students/,runpee.com,1,1,yes,no,yes,yes,no,yes,yes,no,no,,2026-05-28T14:52:14.443Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-032,16,465,P2,verify_directory_fit_before_any_approval,https://scandasia.com/binh-duong-province-of-vietnam-attracts-more-than-4000-foreign-direct-investment-projects,scandasia.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 4 input/select/textarea fields; submit/add/list/publish button text signal found; HTTP 404",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:465,404,no,https://scandasia.com/binh-duong-province-of-vietnam-attracts-more-than-4000-foreign-direct-investment-projects,scandasia.com,2,4,yes,no,no,no,no,yes,yes,no,no,HTTP 404,2026-05-28T14:52:19.850Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-032,17,468,P2,verify_directory_fit_before_any_approval,https://www.selfloverainbow.com/self-improvement-7-reasons-why-we-struggle,selfloverainbow.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:468,200,yes,https://www.selfloverainbow.com/self-improvement-7-reasons-why-we-struggle,selfloverainbow.com,1,2,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T14:52:23.461Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-032,18,470,P2,verify_directory_fit_before_any_approval,https://sharonsantoni.com/2023/05/making-strawberry-jam-2,sharonsantoni.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2023/05/making-strawberry-jam-2) looks like a source article, profile, forum, comment, or issue page; evidence: fetch failed",,"URL path (/2023/05/making-strawberry-jam-2) looks like a source article, profile, forum, comment, or issue page",yes,review_row:470,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T14:52:27.520Z,,,,,,,,,,,,,,,0,,
