batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p2-005,401,P2,26,529,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,thinkgrowgiggle.com,unknown,unknown,missing_domain,needs_manual_review,http://www.thinkgrowgiggle.com/2020/07/10-best-mentor-texts-to-use-for-reading.html,thinkgrowgiggle.com,1,repo-external-links.csv,repo-external-links.csv:row 23:url,,
p2-005,402,P2,26,530,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,threewood.jp,unknown,unknown,missing_domain,needs_manual_review,https://threewood.jp/hpgen/HPB/entries/25.html,threewood.jp,1,repo-external-links.csv,repo-external-links.csv:row 301:url,,
p2-005,403,P2,26,533,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,tonypolecastro.com,unknown,unknown,missing_domain,needs_manual_review,https://tonypolecastro.com/at204,tonypolecastro.com,1,repo-external-links.csv,repo-external-links.csv:row 303:url,,
p2-005,404,P2,26,534,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,tonypolecastro.com,unknown,unknown,missing_domain,needs_manual_review,https://tonypolecastro.com/guitar-notes-for-beginners/comment-page-12,tonypolecastro.com,1,repo-external-links.csv,repo-external-links.csv:row 304:url,,
p2-005,405,P2,26,545,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,url,unknown,unknown,missing_domain,needs_manual_review,https://url/,url,1,repo-external-links.csv,repo-external-links.csv:row 316:url,,
p2-005,406,P2,26,546,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,visitrichmond.co.uk,unknown,unknown,missing_domain,needs_manual_review,https://www.visitrichmond.co.uk/blog/read/2024/03/english-tourism-week-2024-gardens-and-parks-b48,visitrichmond.co.uk,1,repo-external-links.csv,repo-external-links.csv:row 513:url,,
p2-005,407,P2,26,547,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,w3.org,unknown,unknown,missing_domain,needs_manual_review,http://www.w3.org/2000/svg,w3.org,1,repo-external-links.csv,repo-external-links.csv:row 24:url,,
p2-005,408,P2,26,548,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,wallhaven.cc,unknown,unknown,missing_domain,needs_manual_review,https://wallhaven.cc/user/lauralehman,wallhaven.cc,1,repo-external-links.csv,repo-external-links.csv:row 320:url,,
p2-005,409,P2,26,556,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,weirdsciencedccomics.com,unknown,unknown,missing_domain,needs_manual_review,https://www.weirdsciencedccomics.com/2022/02/batmancatwoman-10-review.html,weirdsciencedccomics.com,1,repo-external-links.csv,repo-external-links.csv:row 516:url,,
p2-005,410,P2,26,561,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,whimsysoul.com,unknown,unknown,missing_domain,needs_manual_review,https://whimsysoul.com/napa-valley-wine-train,whimsysoul.com,1,repo-external-links.csv,repo-external-links.csv:row 323:url,,
p2-005,411,P2,26,562,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,wiki.alumni.net,unknown,unknown,missing_domain,needs_manual_review,https://wiki.alumni.net/wiki/User:MincEdlate33363909,wiki.alumni.net,1,repo-external-links.csv,repo-external-links.csv:row 324:url,,
p2-005,412,P2,26,563,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,wonderfulmalaysia.com,unknown,unknown,missing_domain,needs_manual_review,https://www.wonderfulmalaysia.com/food/best-wet-markets-kuala-lumpur.htm,wonderfulmalaysia.com,1,repo-external-links.csv,repo-external-links.csv:row 519:url,,
p2-005,413,P2,26,564,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,wonderfulmalaysia.com,unknown,unknown,missing_domain,needs_manual_review,https://www.wonderfulmalaysia.com/tips/heading-to-malaysia-the-superstitions-you-ought-to-know.htm,wonderfulmalaysia.com,1,repo-external-links.csv,repo-external-links.csv:row 520:url,,
p2-005,414,P2,26,565,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,wonderfulmalaysia.com,unknown,unknown,missing_domain,needs_manual_review,https://www.wonderfulmalaysia.com/tips/sport-activities-on-a-vacation-in-malaysia.htm,wonderfulmalaysia.com,1,repo-external-links.csv,repo-external-links.csv:row 521:url,,
p2-005,415,P2,26,567,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,xxx.com,unknown,unknown,missing_domain,needs_manual_review,https://xxx.com/,xxx.com,1,repo-external-links.csv,repo-external-links.csv:row 533:url,,
p2-005,416,P2,26,568,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,yandex.com,unknown,unknown,missing_domain,needs_manual_review,https://yandex.com/indexnow,yandex.com,1,repo-external-links.csv,repo-external-links.csv:row 534:url,,
p2-005,417,P2,26,571,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,your-product.com,unknown,unknown,missing_domain,needs_manual_review,https://your-product.com/,your-product.com,1,repo-external-links.csv,repo-external-links.csv:row 535:url,,
p2-005,418,P2,26,572,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,your-site.com,unknown,unknown,missing_domain,needs_manual_review,https://your-site.com/,your-site.com,1,repo-external-links.csv,repo-external-links.csv:row 536:url,,
p2-005,419,P2,26,573,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,yourcupofcake.com,unknown,unknown,missing_domain,needs_manual_review,https://www.yourcupofcake.com/almond-banana-bread,yourcupofcake.com,1,repo-external-links.csv,repo-external-links.csv:row 524:url,,
p2-005,420,P2,26,574,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,yourcupofcake.com,unknown,unknown,missing_domain,needs_manual_review,https://www.yourcupofcake.com/banana-bread-coffee-cake,yourcupofcake.com,1,repo-external-links.csv,repo-external-links.csv:row 525:url,,
p2-005,421,P2,26,575,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,yourcupofcake.com,unknown,unknown,missing_domain,needs_manual_review,https://www.yourcupofcake.com/candy-cane-muddy-buddies,yourcupofcake.com,1,repo-external-links.csv,repo-external-links.csv:row 526:url,,
p2-005,422,P2,26,576,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,yourcupofcake.com,unknown,unknown,missing_domain,needs_manual_review,https://www.yourcupofcake.com/cinnamon-toast-crunch-cupcakes,yourcupofcake.com,1,repo-external-links.csv,repo-external-links.csv:row 527:url,,
p2-005,423,P2,26,577,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,yourcupofcake.com,unknown,unknown,missing_domain,needs_manual_review,https://www.yourcupofcake.com/easy-to-make-snowman-cupcakes,yourcupofcake.com,1,repo-external-links.csv,repo-external-links.csv:row 528:url,,
p2-005,424,P2,26,578,,approved | reject_not_directory | reject_not_submit | reject_paid,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,,,,yourcupofcake.com,unknown,unknown,missing_domain,needs_manual_review,https://www.yourcupofcake.com/pineapple-mango-bruschetta,yourcupofcake.com,1,repo-external-links.csv,repo-external-links.csv:row 529:url,,
