batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-015,8,P2,37,358,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: massage-therapy professional association/vertical member directory, not suitable for generic SaaS/product backlink submission.",codex,,massagetherapy.com,paid,en,vertical_professional_directory,needs_manual_review,https://www.massagetherapy.com/,massagetherapy.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 210:url; directory-submissions-external-links.md:212,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,9,P2,37,360,approved,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: local business directory with official free Basic Listing/claim or add-business flow; only appropriate for real local business/service identity, not generic SaaS automation.",codex,https://www.merchantcircle.com/business_homepage,merchantcircle.com,free,en,local_business_directory,needs_manual_review,https://www.merchantcircle.com/,merchantcircle.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 211:url; directory-submissions-external-links.md:213,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,10,P2,37,364,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: audio/music creator hosting and profile platform, not a business/product directory submission target.",codex,,mixcloud.com,free,en,content_publishing_platform,needs_manual_review,https://www.mixcloud.com/,mixcloud.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 212:url; directory-submissions-external-links.md:214,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,11,P2,37,366,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: modeling/photography talent network with member approval requirements; vertical community, not a generic product/SaaS directory.",codex,,modelmayhem.com,free,en,vertical_talent_network,needs_manual_review,https://www.modelmayhem.com/,modelmayhem.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 213:url; directory-submissions-external-links.md:215,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,12,P2,37,371,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: parenting discussion forum/community. Posting requires account/community participation and is not a structured directory/listing submission.,codex,,mumsnet.com,free,en,forum_or_community,needs_manual_review,https://www.mumsnet.com/Talk,mumsnet.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 214:url; directory-submissions-external-links.md:216,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,13,P2,37,373,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: G2 seller profile is a valid B2B review/listing surface with free profile option, but claim/setup requires seller account and review workflow; route to assisted manual, not automated submit.",codex,,my.g2.com,free,en,b2b_review_site_auth_required,needs_manual_review,https://my.g2.com/sellers/welcome,my.g2.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 87:url; directory-submissions-external-links.md:89,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,14,P2,37,377,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: this domain is a property-portfolio SaaS product site, not a directory or submit/listing surface.",codex,,myfolio.com,paid,en,product_site_not_directory,needs_manual_review,https://myfolio.com/,myfolio.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 88:url; directory-submissions-external-links.md:90,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,15,P2,37,382,reject_not_submit,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: neilpatel.com/ai-tools itself returns/not behaves as a directory page rather than same-domain submit page. A valid submit form appears on cross-subdomain https://aitools.neilpatel.com/submit/ and should be reviewed/imported as a separate target, not approved through this root-domain row.",codex,,neilpatel.com,free,en,ai_tool_directory_cross_subdomain_submit,needs_manual_review,https://neilpatel.com/ai-tools,neilpatel.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 89:url; directory-submissions-external-links.md:91,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,16,P2,37,386,reject_paid,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: SaaS listing/discovery site shows pricing/payment signals and no clearly verified free public submit path; exclude from free automated queue.,codex,,newsaasly.com,paid,en,saas_directory_paid_or_gated,needs_manual_review,https://newsaasly.com/,newsaasly.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 91:url; directory-submissions-external-links.md:93,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,17,P2,37,387,reject_paid,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: press release/newswire distribution service, generally paywalled or editorial distribution; not a free directory submission path for product backlinks.",codex,,newswiretoday.com,paid,en,press_release_distribution,needs_manual_review,https://www.newswiretoday.com/,newswiretoday.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 215:url; directory-submissions-external-links.md:217,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,18,P2,37,394,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: no-code founder community/tools/deals directory, but contribution/listing path is gated by community/newsletter/editorial workflow; route to manual outreach, not auto-submit.",codex,,nocodefounders.com,free,en,nocode_directory_auth_or_editorial,needs_manual_review,https://www.nocodefounders.com/,nocodefounders.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 220:url; directory-submissions-external-links.md:222,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,19,P2,37,397,reject_auth_required,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: official Notion integrations gallery is a valid integration marketplace, but listing requires public OAuth integration, security/privacy review, and Technology Partner interest workflow; assisted integration workflow only.",codex,,notion.so,free,en,integration_marketplace_auth_review,needs_manual_review,https://www.notion.so/integrations,notion.so,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 221:url; directory-submissions-external-links.md:223,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,20,P2,37,399,approved,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: AI tools directory with public Submit Tool page and stated backlink/SEO benefit; approve only for AI-powered tools with working product site.,codex,https://noxilo.com/submit-tool/,noxilo.com,free,en,ai_tool_directory,needs_manual_review,https://noxilo.com/,noxilo.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 94:url; directory-submissions-external-links.md:96,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,21,P2,37,401,reject_paid,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,P2 browser/web review 2026-05-28: press-release distribution service with paid package model and unclear current free path; exclude from free directory auto-submit queue.,codex,,onlineprnews.com,paid,en,press_release_distribution,needs_manual_review,https://www.onlineprnews.com/,onlineprnews.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 222:url; directory-submissions-external-links.md:224,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,22,P2,37,403,reject_not_submit,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 browser/web review 2026-05-28: launch/product discovery candidate, but no sufficiently verified current public submit form from available evidence; keep rejected until a valid submit URL is verified.",codex,,open-launch.com,unknown,en,startup_launch_directory_unverified_submit,needs_manual_review,https://open-launch.com/,open-launch.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 95:url; directory-submissions-external-links.md:97,,,,,,,,,,,,,,,,,0,,
