batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-016,8,405,P2,verify_directory_fit_before_any_approval,https://openclawdir.com/,openclawdir.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:405,200,yes,https://openclawdir.com/,openclawdir.com,1,1,yes,no,yes,yes,yes,yes,no,yes,no,,2026-05-28T12:23:40.813Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,9,407,P2,verify_directory_fit_before_any_approval,https://www.openpr.com/,openpr.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,"payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 4 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:407,200,yes,https://www.openpr.com/,openpr.com,2,4,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T12:23:43.455Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,10,411,P2,verify_directory_fit_before_any_approval,https://pastebin.com/,pastebin.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:411,200,yes,https://pastebin.com/,pastebin.com,2,16,yes,no,yes,yes,yes,yes,yes,no,no,,2026-05-28T12:23:45.892Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,11,413,P2,verify_directory_fit_before_any_approval,https://www.patreon.com/,patreon.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:413,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:23:47.339Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,12,414,P2,verify_directory_fit_before_any_approval,https://www.pearltrees.com/,pearltrees.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found",,login/register or OAuth signal found,yes,review_row:414,200,yes,https://www.pearltrees.com/,pearltrees.com,3,17,yes,no,no,yes,no,yes,yes,no,no,,2026-05-28T12:23:58.045Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,13,416,P2,verify_directory_fit_before_any_approval,https://penzu.com/,penzu.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:416,200,yes,https://penzu.com/,penzu.com,0,1,no,no,yes,yes,no,no,no,yes,no,,2026-05-28T12:23:59.792Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,14,420,P2,verify_directory_fit_before_any_approval,https://pipedream.com/docs/components,pipedream.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:420,200,yes,https://pipedream.com/docs/components,pipedream.com,0,3,no,no,yes,yes,yes,yes,yes,yes,no,,2026-05-28T12:24:03.456Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,15,424,P2,verify_directory_fit_before_any_approval,https://placester.com/,placester.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:424,403,no,https://placester.com/,placester.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-28T12:24:05.571Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,16,426,P2,verify_directory_fit_before_any_approval,https://porch.com/,porch.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:426,403,no,https://porch.com/,porch.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-28T12:24:06.751Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,17,428,P2,verify_directory_fit_before_any_approval,https://www.pr-free.com/,pr-free.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:428,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:24:08.469Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-016,18,429,P2,verify_directory_fit_before_any_approval,https://www.pr.com/,pr.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:429,200,yes,https://www.pr.com/,pr.com,2,3,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T12:24:09.672Z,,,,,,,,,,,,,,,0,,
