batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-031,8,430,P2,verify_directory_fit_before_any_approval,https://www.predictiveanalyticsworld.com/machinelearningtimes/dont-let-yourself-be-fooled-by-data-drift/13125,predictiveanalyticsworld.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 4 form(s), 41 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:430,200,yes,https://www.predictiveanalyticsworld.com/machinelearningtimes/dont-let-yourself-be-fooled-by-data-drift/13125/,predictiveanalyticsworld.com,4,41,yes,no,yes,yes,no,yes,yes,no,no,,2026-05-28T14:49:09.820Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-031,9,431,P2,verify_directory_fit_before_any_approval,https://premierchess.com/chess-growth/maythebestplayerwin,premierchess.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 1 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:431,200,yes,https://premierchess.com/chess-growth/maythebestplayerwin,premierchess.com,1,10,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:49:14.465Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-031,10,432,P2,verify_directory_fit_before_any_approval,https://premierchess.com/uncategorized/is-chess-a-sport-an-introduction-of-chess-in-and-within-the-sports-world,premierchess.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 1 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:432,200,yes,https://premierchess.com/uncategorized/is-chess-a-sport-an-introduction-of-chess-in-and-within-the-sports-world,premierchess.com,1,10,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:49:24.070Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-031,11,433,P2,verify_directory_fit_before_any_approval,https://preview.amplethemes.com/blog-vlog-pro/2018/12/14/lovely-cat,preview.amplethemes.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/blog-vlog-pro/2018/12/14/lovely-cat) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found; 4 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/blog-vlog-pro/2018/12/14/lovely-cat) looks like a source article, profile, forum, comment, or issue page",yes,review_row:433,200,yes,https://preview.amplethemes.com/blog-vlog-pro/2018/12/14/lovely-cat/,preview.amplethemes.com,4,14,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T14:49:27.342Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-031,12,437,P2,verify_directory_fit_before_any_approval,http://programas.cooperativa.cl/enaccion/2010/09/10/los-reportes-de-sustentabilidad,programas.cooperativa.cl,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/enaccion/2010/09/10/los-reportes-de-sustentabilidad) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/enaccion/2010/09/10/los-reportes-de-sustentabilidad) looks like a source article, profile, forum, comment, or issue page",yes,review_row:437,200,yes,http://programas.cooperativa.cl/enaccion/2010/09/10/los-reportes-de-sustentabilidad/,programas.cooperativa.cl,1,7,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T14:49:29.848Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-031,13,439,P2,verify_directory_fit_before_any_approval,https://proofreadanywhere.com/get-paid-to-proofread,proofreadanywhere.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:439,200,yes,https://proofreadanywhere.com/get-paid-to-proofread/,proofreadanywhere.com,2,19,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:49:36.182Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-031,14,441,P2,verify_directory_fit_before_any_approval,https://pt-media.org/2022/11/02/kuvitteellinen-hakaristi-pahoitti-mielen,pt-media.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2022/11/02/kuvitteellinen-hakaristi-pahoitti-mielen) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; 2 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/2022/11/02/kuvitteellinen-hakaristi-pahoitti-mielen) looks like a source article, profile, forum, comment, or issue page",yes,review_row:441,200,yes,https://pt-media.org/2022/11/02/kuvitteellinen-hakaristi-pahoitti-mielen/,pt-media.org,2,6,yes,no,no,no,no,yes,no,no,no,,2026-05-28T14:49:41.869Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-031,15,442,P2,verify_directory_fit_before_any_approval,https://www.pv-magazine.com/2022/01/15/the-weekend-read,pv-magazine.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2022/01/15/the-weekend-read) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 4 form(s), 30 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2022/01/15/the-weekend-read) looks like a source article, profile, forum, comment, or issue page",yes,review_row:442,200,yes,http://www.pv-magazine.com/2022/01/15/the-weekend-read/,pv-magazine.com,4,30,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T14:49:50.895Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-031,16,445,P2,verify_directory_fit_before_any_approval,https://radioink.com/2025/04/14/donald-trump-jr-lara-trump-take-stakes-in-salem-media-group,radioink.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2025/04/14/donald-trump-jr-lara-trump-take-stakes-in-salem-media-group) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 5 form(s), 27 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2025/04/14/donald-trump-jr-lara-trump-take-stakes-in-salem-media-group) looks like a source article, profile, forum, comment, or issue page",yes,review_row:445,200,yes,https://radioink.com/2025/04/14/donald-trump-jr-lara-trump-take-stakes-in-salem-media-group/,radioink.com,5,27,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T14:50:00.294Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-031,17,446,P2,verify_directory_fit_before_any_approval,https://www.rcinet.ca/bhm-en/2021/02/02/a-variety-of-activities-unveiled-for-black-history-month,rcinet.ca,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/bhm-en/2021/02/02/a-variety-of-activities-unveiled-for-black-history-month) looks like a source article, profile, forum, comment, or issue page; evidence: fetch failed",,"URL path (/bhm-en/2021/02/02/a-variety-of-activities-unveiled-for-black-history-month) looks like a source article, profile, forum, comment, or issue page",yes,review_row:446,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T14:50:03.737Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-031,18,447,P2,verify_directory_fit_before_any_approval,https://www.rcinet.ca/rci70-en/2015/02/24/test1,rcinet.ca,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/rci70-en/2015/02/24/test1) looks like a source article, profile, forum, comment, or issue page; evidence: fetch failed",,"URL path (/rci70-en/2015/02/24/test1) looks like a source article, profile, forum, comment, or issue page",yes,review_row:447,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T14:50:14.275Z,,,,,,,,,,,,,,,0,,
