batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p0-010,1,P0,337,75,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,aiscout.net,unknown,unknown,domain_in_registry_only,review_submit_url,https://aiscout.net/submit,aiscout.net,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 20:url; directory-submissions-external-links.md:22,ai-scout; ai-scout-aiscout-net-submit-listing-details,https://aiscout.net/; https://aiscout.net/submit-listing/details,,,,,,,,,,,,,,,0,,
p0-010,2,P0,337,79,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,aitoolsdirectory.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://aitoolsdirectory.com/submit,aitoolsdirectory.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 25:url; directory-submissions-external-links.md:27,aitoolsdirectory,https://aitoolsdirectory.com/submit-tool,,,,,,,,,,,,,,,0,,
p0-010,3,P0,337,208,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,devhunt.org,unknown,unknown,domain_in_registry_only,review_submit_url,https://devhunt.org/submit,devhunt.org,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 49:url; directory-submissions-external-links.md:51,dev-hunt; dev-hunt-devhunt-org-account-tools-new,https://devhunt.org/; https://devhunt.org/account/tools/new,,,,,,,,,,,,,,,0,,
p0-010,4,P0,287,472,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,sideprojectors.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.sideprojectors.com/project/new,sideprojectors.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 239:url; directory-submissions-external-links.md:241,sideprojectors,https://www.sideprojectors.com/,,,,,,,,,,,,,,,0,,
p0-010,5,P0,287,497,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,stackshare.io,unknown,unknown,domain_in_registry_only,review_submit_url,https://stackshare.io/new-product,stackshare.io,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 115:url; directory-submissions-external-links.md:117,stackshare,https://stackshare.io/submit,,,,,,,,,,,,,,,0,,
p0-010,6,P0,276,278,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,github.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://github.com/$%7Btarget.repo%7D/issues/new?body=%24%7BencodeURIComponent%28body&title=%24%7BencodeURIComponent%28title%29%7D,github.com,1,src/awesome/templates.js,src/awesome/templates.js:108,github-com; best-app; github-com-github-com-ljinkai-weekly-issues; dev-resources; github-com-github-com-ruanyf-weekly-issues,https://github.com/1c7/chinese-independent-developer/issues; https://github.com/hzlzh/Best-App/issues; https://github.com/ljinkai/weekly/issues; https://github.com/marcelscruz/dev-resources; https://github.com/ruanyf/weekly/issues,,,,,,,,,,,,,,,0,,
p0-010,7,P0,276,280,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,github.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://github.com/naxiaoduo/1000UserGuide,github.com,1,targets.yaml,targets.yaml:2,github-com; best-app; github-com-github-com-ljinkai-weekly-issues; dev-resources; github-com-github-com-ruanyf-weekly-issues,https://github.com/1c7/chinese-independent-developer/issues; https://github.com/hzlzh/Best-App/issues; https://github.com/ljinkai/weekly/issues; https://github.com/marcelscruz/dev-resources; https://github.com/ruanyf/weekly/issues,,,,,,,,,,,,,,,0,,
p0-010,8,P0,276,282,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,github.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://github.com/niciral/bb-browser)%E3%80%81[rebrowser-playwright](https:/github.com/nickthecoder/rebrowser-playwright)%E3%80%82,github.com,1,README.zh.md,README.zh.md:213,github-com; best-app; github-com-github-com-ljinkai-weekly-issues; dev-resources; github-com-github-com-ruanyf-weekly-issues,https://github.com/1c7/chinese-independent-developer/issues; https://github.com/hzlzh/Best-App/issues; https://github.com/ljinkai/weekly/issues; https://github.com/marcelscruz/dev-resources; https://github.com/ruanyf/weekly/issues,,,,,,,,,,,,,,,0,,
p0-010,9,P0,276,283,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,github.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://github.com/nickthecoder/rebrowser-playwright,github.com,1,README.md,README.md:212,github-com; best-app; github-com-github-com-ljinkai-weekly-issues; dev-resources; github-com-github-com-ruanyf-weekly-issues,https://github.com/1c7/chinese-independent-developer/issues; https://github.com/hzlzh/Best-App/issues; https://github.com/ljinkai/weekly/issues; https://github.com/marcelscruz/dev-resources; https://github.com/ruanyf/weekly/issues,,,,,,,,,,,,,,,0,,
p0-010,10,P0,276,462,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,saashub.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.saashub.com/login,saashub.com,1,src/sites/saashub.js,src/sites/saashub.js:21,saashub,https://www.saashub.com/submit,,,,,,,,,,,,,,,0,,
p0-010,11,P0,276,544,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,uneed.best,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.uneed.best/login,uneed.best,1,src/sites/uneed.js,src/sites/uneed.js:22,www-uneed-best; uneed; uneed-best; uneed-uneed-best-submit-a-tool,https://www.uneed.best/; https://www.uneed.best/promote-your-tool; https://www.uneed.best/promote-your-tool?aff=8Mjlz; https://www.uneed.best/submit-a-tool,,,,,,,,,,,,,,,0,,
p0-010,12,P0,187,62,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,agenthunter.com,unknown,unknown,missing_domain,review_submit_url,https://agenthunter.com/submit,agenthunter.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 6:url; directory-submissions-external-links.md:8,,,,,,,,,,,,,,,,,0,,
p0-010,13,P0,187,63,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,ai.xyz,unknown,unknown,missing_domain,review_submit_url,https://ai.xyz/submit,ai.xyz,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 7:url; directory-submissions-external-links.md:9,,,,,,,,,,,,,,,,,0,,
p0-010,14,P0,187,64,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,aiagents.live,unknown,unknown,missing_domain,review_submit_url,https://aiagents.live/submit,aiagents.live,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 8:url; directory-submissions-external-links.md:10,,,,,,,,,,,,,,,,,0,,
p0-010,15,P0,187,65,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,aiagentsbase.com,unknown,unknown,missing_domain,review_submit_url,https://aiagentsbase.com/submit,aiagentsbase.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 9:url; directory-submissions-external-links.md:11,,,,,,,,,,,,,,,,,0,,
p0-010,16,P0,187,66,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,aiagentsdirectory.com,unknown,unknown,missing_domain,review_submit_url,https://aiagentsdirectory.com/submit,aiagentsdirectory.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 10:url; directory-submissions-external-links.md:12,,,,,,,,,,,,,,,,,0,,
p0-010,17,P0,187,67,,approved | reject_not_submit | reject_paid | reject_auth_required,verify_submit_form_then_approve_or_reject,verify_submit_form_before_approval,,,,aiagentslist.com,unknown,unknown,missing_domain,review_submit_url,https://aiagentslist.com/submit,aiagentslist.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 11:url; directory-submissions-external-links.md:13,,,,,,,,,,,,,,,,,0,,
