batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-025,8,212,P2,verify_directory_fit_before_any_approval,https://www.dinnerwithjulie.com/2019/12/23/kaiserschmarrn-torn-shredded-pancake,dinnerwithjulie.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2019/12/23/kaiserschmarrn-torn-shredded-pancake) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2019/12/23/kaiserschmarrn-torn-shredded-pancake) looks like a source article, profile, forum, comment, or issue page",yes,review_row:212,200,yes,https://www.dinnerwithjulie.com/2019/12/23/kaiserschmarrn-torn-shredded-pancake/,dinnerwithjulie.com,3,19,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:19:18.975Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-025,9,213,P2,verify_directory_fit_before_any_approval,https://www.dinnerwithjulie.com/2021/11/03/plant-based-deep-n-delicious-chocolate-cake,dinnerwithjulie.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2021/11/03/plant-based-deep-n-delicious-chocolate-cake) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 19 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2021/11/03/plant-based-deep-n-delicious-chocolate-cake) looks like a source article, profile, forum, comment, or issue page",yes,review_row:213,200,yes,https://www.dinnerwithjulie.com/2021/11/03/plant-based-deep-n-delicious-chocolate-cake/,dinnerwithjulie.com,3,19,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:19:23.665Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-025,10,214,P2,verify_directory_fit_before_any_approval,https://www.dinnerwithjulie.com/recipes/butterscotch-pecan-mmmuffins,dinnerwithjulie.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/recipes/butterscotch-pecan-mmmuffins) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/recipes/butterscotch-pecan-mmmuffins) looks like a source article, profile, forum, comment, or issue page",yes,review_row:214,200,yes,https://www.dinnerwithjulie.com/recipes/butterscotch-pecan-mmmuffins/,dinnerwithjulie.com,3,17,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:19:24.950Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-025,11,218,P2,verify_directory_fit_before_any_approval,https://diythrill.com/2018/09/23/orange-citrus-poo-pourri-recipe,diythrill.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2018/09/23/orange-citrus-poo-pourri-recipe) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 13 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2018/09/23/orange-citrus-poo-pourri-recipe) looks like a source article, profile, forum, comment, or issue page",yes,review_row:218,200,yes,https://diythrill.com/2018/09/23/orange-citrus-poo-pourri-recipe/,diythrill.com,3,13,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T14:19:26.214Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-025,12,222,P2,verify_directory_fit_before_any_approval,https://earthpeopletechnology.com/forums/profile/contractwarn,earthpeopletechnology.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/forums/profile/contractwarn) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/forums/profile/contractwarn) looks like a source article, profile, forum, comment, or issue page",yes,review_row:222,200,yes,https://earthpeopletechnology.com/forums/profile/contractwarn,earthpeopletechnology.com,2,3,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:19:32.670Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-025,13,225,P2,verify_directory_fit_before_any_approval,http://www.eilentein.com/2019/02/ryijy-ja-kuinka-sen-tein.html,eilentein.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2019/02/ryijy-ja-kuinka-sen-tein.html) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2019/02/ryijy-ja-kuinka-sen-tein.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:225,200,yes,http://www.eilentein.com/2019/02/ryijy-ja-kuinka-sen-tein.html,eilentein.com,1,2,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T14:19:34.946Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-025,14,232,P2,verify_directory_fit_before_any_approval,https://everythingboardgames.com/2024/11/exploring-the-world-of-online-board-games.html,everythingboardgames.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2024/11/exploring-the-world-of-online-board-games.html) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 9 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/2024/11/exploring-the-world-of-online-board-games.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:232,200,yes,https://everythingboardgames.com/2024/11/exploring-the-world-of-online-board-games.html,everythingboardgames.com,3,9,yes,no,no,no,no,yes,yes,no,no,,2026-05-28T14:19:38.734Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-025,15,233,P2,verify_directory_fit_before_any_approval,https://www.everythingetsy.com/2013/02/10-social-media-tips-to-make-you-a-rock-star,everythingetsy.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2013/02/10-social-media-tips-to-make-you-a-rock-star) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 22 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2013/02/10-social-media-tips-to-make-you-a-rock-star) looks like a source article, profile, forum, comment, or issue page",yes,review_row:233,200,yes,https://www.everythingetsy.com/2013/02/10-social-media-tips-to-make-you-a-rock-star/,everythingetsy.com,4,22,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:19:41.065Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-025,16,237,P2,verify_directory_fit_before_any_approval,https://exsloth.com/vegan-breakfast-cookies,exsloth.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 22 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:237,200,yes,https://exsloth.com/vegan-breakfast-cookies/,exsloth.com,4,22,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:19:44.225Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-025,17,241,P2,verify_directory_fit_before_any_approval,https://fallfordiy.com/blog/2015/11/18/diy-paint-dipped-advent-calendar-bottles,fallfordiy.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/blog/2015/11/18/diy-paint-dipped-advent-calendar-bottles) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found; 3 form(s), 8 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/blog/2015/11/18/diy-paint-dipped-advent-calendar-bottles) looks like a source article, profile, forum, comment, or issue page",yes,review_row:241,200,yes,https://fallfordiy.com/blog/2015/11/18/diy-paint-dipped-advent-calendar-bottles/,fallfordiy.com,3,8,yes,no,no,yes,no,yes,no,no,no,,2026-05-28T14:19:51.237Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-025,18,242,P2,verify_directory_fit_before_any_approval,https://fashionablefoods.com/2014/10/20/roasted-butternut-squash-and-apple-soup,fashionablefoods.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2014/10/20/roasted-butternut-squash-and-apple-soup) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 20 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2014/10/20/roasted-butternut-squash-and-apple-soup) looks like a source article, profile, forum, comment, or issue page",yes,review_row:242,200,yes,https://fashionablefoods.com/2014/10/20/roasted-butternut-squash-and-apple-soup/,fashionablefoods.com,3,20,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T14:19:54.483Z,,,,,,,,,,,,,,,0,,
