batch_id,batch_order,queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,review_decision,reviewed_pricing,reviewer,reviewed_at,review_notes,evidence_url,evidence_matched,http_status,fetch_ok,payment_signal,free_signal,freemium_signal,captcha_signal,cloudflare_signal,suggestion_basis,automation_policy
auth-triage-unknown,1,1,247webdirectory,247WebDirectory,247webdirectory.com,assisted,https://www.247webdirectory.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.247webdirectory.com/,yes,200,yes,no,no,no,no,no,pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,2,2,asr,ASR,activesearchresults.com,assisted,https://www.activesearchresults.com/addwebsite.php,unknown,unknown,keep_unknown,low,,,,,,https://www.activesearchresults.com/addwebsite.php,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,3,3,ai-ailookme,AI工具箱 (ailookme),ailookme.com,assisted,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,unknown,unknown,keep_unknown,low,,,,,,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,4,4,ai-nav,AI NAV,ainavpro.com,assisted,https://www.ainavpro.com/contribute,unknown,unknown,keep_unknown,low,,,,,,https://www.ainavpro.com/contribute,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,5,7,foundr-ai,Foundr.ai,foundr.ai,assisted,https://foundr.ai/,unknown,unknown,needs_manual_check,low,,,,,,https://foundr.ai/,yes,200,yes,no,no,yes,yes,no,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,6,8,hhlink-com,海外导航网,hhlink.com,assisted,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,unknown,unknown,keep_unknown,low,,,,,,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,7,9,iforai,iforai,iforai.com,assisted,https://iforai.com/submit_website,unknown,unknown,keep_unknown,low,,,,,,https://iforai.com/submit_website,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,8,37,xinquji-com,新趣集,xinquji.com,assisted,https://xinquji.com/,unknown,unknown,needs_manual_check,low,,,,,,https://xinquji.com/,yes,200,yes,yes,no,no,yes,no,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,9,38,aitoptools,AITopTools,aitoptools.com,assisted,https://aitoptools.com/login?redirect_to=submit,unknown,unknown,keep_unknown,low,,,,,,https://aitoptools.com/login?redirect_to=submit,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,10,40,dizkaz-com,笛卡,dizkaz.com,assisted,https://dizkaz.com/,unknown,unknown,keep_unknown,low,,,,,,https://dizkaz.com/,yes,200,yes,no,no,no,no,no,pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,11,41,gainweb-org,GainWeb.org,gainweb.org,assisted,https://gainweb.org/,unknown,unknown,keep_unknown,low,,,,,,https://gainweb.org/,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,12,42,openfuture-ai,OpenFuture AI,openfuture.ai,assisted,https://openfuture.ai/zh/submit-tool,unknown,unknown,keep_unknown,low,,,,,,https://openfuture.ai/zh/submit-tool,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,13,43,www-ruanyifeng-com,https://www.ruanyifeng.com,ruanyifeng.com,assisted,https://www.ruanyifeng.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.ruanyifeng.com/,yes,200,yes,no,no,no,no,no,no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
auth-triage-unknown,14,44,wechalet-cn,小木屋,wechalet.cn,assisted,https://wechalet.cn/appstore/add,unknown,unknown,keep_unknown,low,,,,,,https://wechalet.cn/appstore/add,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
