batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p2-002,101,350,P2,verify_directory_fit_before_any_approval,https://www.make.com/en/partners,make.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:350,403,no,https://www.make.com/en/partners,make.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:36:28.265Z
p2-002,102,351,P2,verify_directory_fit_before_any_approval,https://www.makerpad.co/,makerpad.co,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:351,200,yes,https://www.makerpad.co/,makerpad.co,0,0,yes,no,yes,yes,yes,yes,yes,yes,no,,2026-05-22T08:36:30.032Z
p2-002,103,352,P2,verify_directory_fit_before_any_approval,https://makerthrive.com/,makerthrive.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:352,200,yes,https://www.makerthrive.com/,makerthrive.com,0,0,no,no,yes,no,no,yes,yes,no,no,,2026-05-22T08:36:32.196Z
p2-002,104,357,P2,verify_directory_fit_before_any_approval,https://www.manta.com/,manta.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:357,403,no,https://www.manta.com/,manta.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:36:35.283Z
p2-002,105,358,P2,verify_directory_fit_before_any_approval,https://www.massagetherapy.com/,massagetherapy.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:358,200,yes,https://www.massagetherapy.com/,massagetherapy.com,1,5,yes,no,yes,no,no,yes,no,no,no,,2026-05-22T08:36:42.587Z
p2-002,106,360,P2,verify_directory_fit_before_any_approval,https://www.merchantcircle.com/,merchantcircle.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 1 form(s), 2 input/select/textarea fields",,login/register or OAuth signal found,yes,review_row:360,200,yes,https://www.merchantcircle.com/,merchantcircle.com,1,2,no,no,no,yes,no,yes,no,no,no,,2026-05-22T08:36:44.677Z
p2-002,107,364,P2,verify_directory_fit_before_any_approval,https://www.mixcloud.com/,mixcloud.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:364,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:36:51.055Z
p2-002,108,366,P2,verify_directory_fit_before_any_approval,https://www.modelmayhem.com/,modelmayhem.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:366,403,no,https://www.modelmayhem.com/,modelmayhem.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:37:01.066Z
p2-002,109,371,P2,verify_directory_fit_before_any_approval,https://www.mumsnet.com/Talk,mumsnet.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:371,200,yes,https://www.mumsnet.com/talk,mumsnet.com,1,2,no,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T08:37:01.974Z
p2-002,110,373,P2,verify_directory_fit_before_any_approval,https://my.g2.com/sellers/welcome,my.g2.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:373,403,no,https://my.g2.com/signup?login=true,my.g2.com,0,0,no,no,no,no,no,yes,no,no,no,HTTP 403,2026-05-22T08:37:07.295Z
p2-002,111,377,P2,verify_directory_fit_before_any_approval,https://myfolio.com/,myfolio.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:377,200,yes,https://www.myfolio.com/,myfolio.com,1,1,yes,no,yes,yes,no,no,no,yes,no,,2026-05-22T08:37:10.418Z
p2-002,112,382,P2,verify_directory_fit_before_any_approval,https://neilpatel.com/ai-tools,neilpatel.com,,approved | reject_not_directory | reject_not_submit | reject_paid,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 70 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; HTTP 404",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:382,404,no,https://neilpatel.com/ai-tools/,neilpatel.com,2,70,yes,no,yes,yes,no,yes,yes,yes,no,HTTP 404,2026-05-22T08:37:12.673Z
p2-002,113,386,P2,verify_directory_fit_before_any_approval,https://newsaasly.com/,newsaasly.com,,approved | reject_not_directory | reject_not_submit | reject_paid,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:386,200,yes,https://newsaasly.com/,newsaasly.com,0,0,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T08:37:16.598Z
