queue_order,priority,priority_score,target_id,name,domain,mode,submission_status,pricing,risk,lang,submit_url,final_url,last_scouted_at,auth,captcha,form_count,last_submitted_at,review_decision,review_decision_options,review_notes,reviewed_by
1,P1,240,247webdirectory,247WebDirectory,247webdirectory.com,assisted,auth_required,unknown,unknown,en,https://www.247webdirectory.com/,https://www.247webdirectory.com/,2026-05-23T02:58:33.976Z,oauth,none,1,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
2,P1,240,asr,ASR,activesearchresults.com,assisted,auth_required,unknown,unknown,en,https://www.activesearchresults.com/addwebsite.php,https://www.activesearchresults.com/addwebsite.php,2026-05-23T02:59:26.877Z,required,none,1,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
3,P1,240,ai-ailookme,AI工具箱 (ailookme),ailookme.com,assisted,auth_required,unknown,unknown,zh,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,2026-05-22T13:59:57.739Z,oauth,none,1,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
4,P1,240,ai-nav,AI NAV,ainavpro.com,assisted,auth_required,unknown,unknown,zh,https://www.ainavpro.com/contribute,https://www.ainavpro.com/contribute,2026-05-22T14:14:30.876Z,oauth,none,2,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
5,P1,240,appalist-com,https://appalist.com/,appalist.com,assisted,auth_required,unknown,unknown,unknown,https://appalist.com/,https://appalist.com/get-started,2026-05-22T14:37:04.079Z,required,none,2,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
6,P1,240,ashlist-com,https://ashlist.com,ashlist.com,assisted,auth_required,unknown,unknown,unknown,https://ashlist.com/,https://ashlist.com/get-started,2026-05-22T14:39:57.559Z,required,none,2,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
7,P1,240,foundr-ai,Foundr.ai,foundr.ai,assisted,auth_required,unknown,unknown,en,https://foundr.ai/,https://foundr.ai/login,2026-05-22T15:40:14.849Z,required,none,1,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
8,P1,240,hhlink-com,海外导航网,hhlink.com,assisted,auth_required,unknown,unknown,zh,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,2026-05-22T15:54:34.865Z,oauth,none,1,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
9,P1,240,iforai,iforai,iforai.com,assisted,auth_required,unknown,unknown,zh,https://iforai.com/submit_website,https://iforai.com/submit_website/,2026-05-22T15:55:54.675Z,oauth,none,2,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
10,P1,240,launchscroll-com,https://launchscroll.com/,launchscroll.com,assisted,auth_required,unknown,unknown,unknown,https://launchscroll.com/,https://launchscroll.com/get-started,2026-05-22T16:04:45.108Z,required,none,2,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
11,P1,240,mylaunchstash-com,https://mylaunchstash.com/,mylaunchstash.com,assisted,auth_required,unknown,unknown,unknown,https://mylaunchstash.com/,https://mylaunchstash.com/get-started,2026-05-22T16:12:54.625Z,required,none,2,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
12,P1,240,offpagesavvy,Offpagesavvy,offpagesavvy.com,assisted,auth_required,unknown,unknown,en,https://www.offpagesavvy.com/submit-your-site,https://www.offpagesavvy.com/submit-your-site/,2026-05-22T16:36:34.078Z,oauth,none,2,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
13,P1,240,poweruptools-com,https://poweruptools.com,poweruptools.com,assisted,auth_required,unknown,unknown,unknown,https://poweruptools.com/,https://poweruptools.com/get-started,2026-05-22T17:21:14.825Z,required,none,2,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
14,P1,240,productlistdir-com,https://productlistdir.com,productlistdir.com,assisted,auth_required,unknown,unknown,unknown,https://productlistdir.com/,https://productlistdir.com/get-started,2026-05-22T17:21:43.607Z,required,none,2,,,mark_free | mark_freemium | mark_paid | keep_unknown | needs_manual_check,,
