batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-026,8,253,P2,verify_directory_fit_before_any_approval,https://www.fitlivingeats.com/7-easy-everyday-gluten-free-swaps,fitlivingeats.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:253,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-28T14:26:55.142Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,9,254,P2,verify_directory_fit_before_any_approval,https://www.fitlivingeats.com/a-festive-holiday-sangria-recipe-tips-for-a-healthier-cocktail,fitlivingeats.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:254,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-28T14:27:10.152Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,10,255,P2,verify_directory_fit_before_any_approval,https://www.fitlivingeats.com/how-to-make-homemade-oat-milk,fitlivingeats.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 8 form(s), 42 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:255,200,yes,https://www.fitlivingeats.com/how-to-make-homemade-oat-milk/,fitlivingeats.com,8,42,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:27:25.162Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,11,256,P2,verify_directory_fit_before_any_approval,https://www.fitlivingeats.com/how-to-make-juice-without-a-juicer-3-green-juice-recipes,fitlivingeats.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 8 form(s), 32 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:256,200,yes,https://www.fitlivingeats.com/how-to-make-juice-without-a-juicer-3-green-juice-recipes/,fitlivingeats.com,8,32,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:27:34.668Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,12,257,P2,verify_directory_fit_before_any_approval,https://www.fitlivingeats.com/qa-founders-motion-matcha-one-go-energy-boosters,fitlivingeats.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 7 form(s), 26 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:257,200,yes,https://www.fitlivingeats.com/qa-founders-motion-matcha-one-go-energy-boosters/,fitlivingeats.com,7,26,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:27:46.044Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,13,259,P2,verify_directory_fit_before_any_approval,https://www.fivereasonssports.com/news/ultimate-miami-heat-fan-travel-guide-tickets-hotels-and-local-hotspots,fivereasonssports.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/news/ultimate-miami-heat-fan-travel-guide-tickets-hotels-and-local-hotspots) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 13 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/news/ultimate-miami-heat-fan-travel-guide-tickets-hotels-and-local-hotspots) looks like a source article, profile, forum, comment, or issue page",yes,review_row:259,200,yes,https://www.fivereasonssports.com/news/ultimate-miami-heat-fan-travel-guide-tickets-hotels-and-local-hotspots/,fivereasonssports.com,2,13,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:27:52.812Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,14,262,P2,verify_directory_fit_before_any_approval,https://flokii.com/users/view/58762,flokii.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/users/view/58762) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found",,"URL path (/users/view/58762) looks like a source article, profile, forum, comment, or issue page",yes,review_row:262,200,yes,https://flokii.com/page/pages/error,flokii.com,0,1,no,no,no,yes,no,yes,no,no,no,,2026-05-28T14:28:04.902Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,15,264,P2,verify_directory_fit_before_any_approval,https://forum.epicbrowser.com/profile.php?id=78821,forum.epicbrowser.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/profile.php) looks like a source article, profile, forum, comment, or issue page; evidence: fetch failed",,"URL path (/profile.php) looks like a source article, profile, forum, comment, or issue page",yes,review_row:264,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T14:28:09.428Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,16,265,P2,verify_directory_fit_before_any_approval,https://forum.gekko.wizb.it/user-14910.html,forum.gekko.wizb.it,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; 1 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found",,login/register or OAuth signal found,yes,review_row:265,200,yes,https://forum.gekko.wizb.it/user-14910.html,forum.gekko.wizb.it,1,7,yes,no,no,yes,no,no,no,no,no,,2026-05-28T14:28:19.971Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,17,266,P2,verify_directory_fit_before_any_approval,https://forum.padowan.dk/profile.php?id=33438,forum.padowan.dk,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/profile.php) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found",,"URL path (/profile.php) looks like a source article, profile, forum, comment, or issue page",yes,review_row:266,200,yes,https://forum.padowan.dk/profile.php?id=33438,forum.padowan.dk,0,0,no,no,no,yes,no,no,no,no,no,,2026-05-28T14:28:24.779Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,18,268,P2,verify_directory_fit_before_any_approval,https://forums.maxperformanceinc.com/forums/member.php?u=202517,forums.maxperformanceinc.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/forums/member.php) looks like a source article, profile, forum, comment, or issue page; evidence: This operation was aborted",,"URL path (/forums/member.php) looks like a source article, profile, forum, comment, or issue page",yes,review_row:268,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-28T14:28:26.353Z,,,,,,,,,,,,,,,0,,
