batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p2-recheck-002,48,373,P2,verify_directory_fit_before_any_approval,https://my.g2.com/sellers/welcome,my.g2.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:373,403,no,https://my.g2.com/signup?login=true,my.g2.com,0,0,no,no,no,no,no,yes,no,no,no,HTTP 403,2026-05-22T10:45:31.420Z
p2-recheck-002,49,377,P2,verify_directory_fit_before_any_approval,https://myfolio.com/,myfolio.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:377,200,yes,https://www.myfolio.com/,myfolio.com,1,1,yes,no,yes,yes,no,no,no,yes,no,,2026-05-22T10:45:34.578Z
p2-recheck-002,50,386,P2,verify_directory_fit_before_any_approval,https://newsaasly.com/,newsaasly.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:386,200,yes,https://newsaasly.com/,newsaasly.com,0,0,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T10:45:36.572Z
p2-recheck-002,51,387,P2,verify_directory_fit_before_any_approval,https://www.newswiretoday.com/,newswiretoday.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:387,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:45:37.437Z
p2-recheck-002,52,394,P2,verify_directory_fit_before_any_approval,https://www.nocodefounders.com/,nocodefounders.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:394,200,yes,https://www.nocodefounders.com/,nocodefounders.com,2,7,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-22T10:45:38.661Z
p2-recheck-002,53,397,P2,verify_directory_fit_before_any_approval,https://www.notion.so/integrations,notion.so,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:397,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:45:40.428Z
p2-recheck-002,54,399,P2,verify_directory_fit_before_any_approval,https://noxilo.com/,noxilo.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 3 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:399,200,yes,https://noxilo.com/,noxilo.com,3,6,yes,no,yes,yes,no,yes,no,no,no,,2026-05-22T10:45:43.459Z
p2-recheck-002,55,401,P2,verify_directory_fit_before_any_approval,https://www.onlineprnews.com/,onlineprnews.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:401,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T10:45:47.081Z
p2-recheck-002,56,403,P2,verify_directory_fit_before_any_approval,https://open-launch.com/,open-launch.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:403,200,yes,https://open-launch.com/,open-launch.com,0,0,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-22T10:45:54.730Z
p2-recheck-002,57,405,P2,verify_directory_fit_before_any_approval,https://openclawdir.com/,openclawdir.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:405,200,yes,https://openclawdir.com/,openclawdir.com,1,1,yes,no,yes,yes,yes,yes,no,yes,no,,2026-05-22T10:45:56.479Z
p2-recheck-002,58,411,P2,verify_directory_fit_before_any_approval,https://pastebin.com/,pastebin.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:411,200,yes,https://pastebin.com/,pastebin.com,2,16,yes,no,yes,yes,yes,yes,yes,no,no,,2026-05-22T10:45:59.534Z
