batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-023,8,156,P2,verify_directory_fit_before_any_approval,https://blogs.urz.uni-halle.de/startklar/quellen-und-verweise/comment-page-3,blogs.urz.uni-halle.de,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_possible_submit_form,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/startklar/quellen-und-verweise/comment-page-3) looks like a source article, profile, forum, comment, or issue page; evidence: 2 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/startklar/quellen-und-verweise/comment-page-3) looks like a source article, profile, forum, comment, or issue page",yes,review_row:156,200,yes,https://blogs.urz.uni-halle.de/startklar/quellen-und-verweise/comment-page-3/,blogs.urz.uni-halle.de,2,11,yes,no,yes,no,no,no,no,no,no,,2026-05-28T13:32:35.746Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,9,157,P2,verify_directory_fit_before_any_approval,https://blogs.uww.edu/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games,blogs.uww.edu,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 4 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games) looks like a source article, profile, forum, comment, or issue page",yes,review_row:157,200,yes,https://blogs.uww.edu/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games/,blogs.uww.edu,2,4,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T13:32:40.493Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,10,158,P2,verify_directory_fit_before_any_approval,https://blogs.uww.edu/artofmakai/2021/04/13/how-to-draw-the-importance-of-schedules,blogs.uww.edu,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/artofmakai/2021/04/13/how-to-draw-the-importance-of-schedules) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found; 2 form(s), 4 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/artofmakai/2021/04/13/how-to-draw-the-importance-of-schedules) looks like a source article, profile, forum, comment, or issue page",yes,review_row:158,200,yes,https://blogs.uww.edu/artofmakai/2021/04/13/how-to-draw-the-importance-of-schedules/,blogs.uww.edu,2,4,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T13:32:46.289Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,11,159,P2,verify_directory_fit_before_any_approval,https://blogs.zeiss.com/news/messtechnik-de/sorgsamkeit-bringt-sie-weiter,blogs.zeiss.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/news/messtechnik-de/sorgsamkeit-bringt-sie-weiter) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; CAPTCHA signal found; 2 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/news/messtechnik-de/sorgsamkeit-bringt-sie-weiter) looks like a source article, profile, forum, comment, or issue page",yes,review_row:159,200,yes,https://blogs.zeiss.com/news/messtechnik-de/sorgsamkeit-bringt-sie-weiter/,blogs.zeiss.com,2,11,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T13:32:49.470Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,12,160,P2,verify_directory_fit_before_any_approval,https://bordeaux.onvasortir.com/profil_msg_inexistant.php,bordeaux.onvasortir.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/profil_msg_inexistant.php) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/profil_msg_inexistant.php) looks like a source article, profile, forum, comment, or issue page",yes,review_row:160,200,yes,https://bordeaux.onvasortir.com/profil_msg_inexistant.php,bordeaux.onvasortir.com,1,6,yes,no,no,no,no,yes,yes,no,no,,2026-05-28T13:32:55.258Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,13,161,P2,verify_directory_fit_before_any_approval,https://brownbagteacher.com/what-im-reading,brownbagteacher.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:161,403,no,https://brownbagteacher.com/what-im-reading,brownbagteacher.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-28T13:33:08.209Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,14,163,P2,verify_directory_fit_before_any_approval,https://www.browneyedbaker.com/how-to-make-pate-a-choux-fill-eclairs-and-cream-puffs,browneyedbaker.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:163,403,no,https://www.browneyedbaker.com/how-to-make-pate-a-choux-fill-eclairs-and-cream-puffs,browneyedbaker.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T13:33:10.012Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,15,164,P2,verify_directory_fit_before_any_approval,https://bugs.documentfoundation.org/show_bug.cgi?id=162681,bugs.documentfoundation.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/show_bug.cgi) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; 7 form(s), 27 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/show_bug.cgi) looks like a source article, profile, forum, comment, or issue page",yes,review_row:164,200,yes,https://bugs.documentfoundation.org/show_bug.cgi?id=162681,bugs.documentfoundation.org,7,27,yes,no,yes,yes,no,no,no,no,no,,2026-05-28T13:33:13.179Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,16,174,P2,verify_directory_fit_before_any_approval,https://calaos.fr/forum/member.php?action=profile&uid=7732,calaos.fr,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/forum/member.php) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; 4 form(s), 23 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/forum/member.php) looks like a source article, profile, forum, comment, or issue page",yes,review_row:174,200,yes,https://calaos.fr/forum/member.php?action=profile&uid=7732,calaos.fr,4,23,yes,no,no,yes,no,no,no,no,no,,2026-05-28T13:33:15.733Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,17,175,P2,verify_directory_fit_before_any_approval,https://cantstayoutofthekitchen.com/2022/01/06/blueberry-walnut-overnight-oatmeal,cantstayoutofthekitchen.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2022/01/06/blueberry-walnut-overnight-oatmeal) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; 1 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/2022/01/06/blueberry-walnut-overnight-oatmeal) looks like a source article, profile, forum, comment, or issue page",yes,review_row:175,200,yes,https://cantstayoutofthekitchen.com/2022/01/06/blueberry-walnut-overnight-oatmeal/,cantstayoutofthekitchen.com,1,10,yes,no,no,no,no,yes,no,no,no,,2026-05-28T13:33:18.467Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,18,177,P2,verify_directory_fit_before_any_approval,https://capturebilling.com/new-quality-aca-reporting-standards,capturebilling.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:177,403,no,https://capturebilling.com/new-quality-aca-reporting-standards,capturebilling.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T13:33:23.099Z,,,,,,,,,,,,,,,0,,
