batch_id,batch_order,review_row,review_action,url,domain,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,suggested_decision,evidence_notes,fetch_error,checked_at
p2-recheck-001,1,3,verify_directory_fit_before_any_approval,https://www.2findlocal.com/,2findlocal.com,200,yes,https://www.2findlocal.com/,2findlocal.com,no,text/html; charset=UTF-8,Big finds from small businesses | 2FINDLOCAL.COM,1,6,yes,no,yes,no,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; CAPTCHA signal found; 1 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:05:15.087Z
p2-recheck-001,2,4,verify_directory_fit_before_any_approval,https://www.4shared.com/,4shared.com,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,fetch failed,fetch failed,2026-05-22T10:05:17.005Z
p2-recheck-001,3,5,verify_directory_fit_before_any_approval,https://500px.com/,500px.com,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,fetch failed,fetch failed,2026-05-22T10:05:27.518Z
p2-recheck-001,4,56,verify_directory_fit_before_any_approval,https://about.me/,about.me,,no,,,unknown,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,review_fetch_failed,fetch failed,fetch failed,2026-05-22T10:05:27.889Z
p2-recheck-001,5,59,verify_directory_fit_before_any_approval,https://activerain.com/,activerain.com,403,no,https://activerain.com/,activerain.com,no,text/html,403 Forbidden,0,0,no,no,no,no,no,no,no,no,no,review_fetch_failed,HTTP 403,HTTP 403,2026-05-22T10:05:38.036Z
p2-recheck-001,6,71,verify_directory_fit_before_any_approval,https://aiforme.wiki/,aiforme.wiki,200,yes,https://aiforme.wiki/cgi-sys/suspendedpage.cgi,aiforme.wiki,no,text/html,,0,0,no,no,no,no,no,no,yes,no,no,reject_auth_required,Cloudflare/human verification signal found,,2026-05-22T10:05:39.142Z
p2-recheck-001,7,73,verify_directory_fit_before_any_approval,https://ainavhub.com/,ainavhub.com,200,yes,https://ainavhub.com/,ainavhub.com,no,text/html; charset=utf-8,Find and Explore Best AI Tools | AI NavHub Tools Directory,2,3,yes,no,yes,yes,no,yes,no,no,no,reject_auth_required,"login/register signal found; CAPTCHA signal found; 2 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:05:42.834Z
p2-recheck-001,8,77,verify_directory_fit_before_any_approval,https://aitoolly.com/,aitoolly.com,200,yes,https://aitoolly.com/,aitoolly.com,no,text/html; charset=utf-8,Best AI Tools Directory - Find Top AI Applications,1,1,yes,no,yes,yes,no,yes,yes,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:05:44.779Z
p2-recheck-001,9,80,verify_directory_fit_before_any_approval,https://aitoolsguide.com/,aitoolsguide.com,200,yes,https://aitoolsguide.com/,aitoolsguide.com,no,text/html; charset=utf-8,"AIToolsGuide — Discover, compare, and choose AI tools",1,2,yes,no,yes,no,no,no,yes,yes,no,reject_paid,"payment/pricing signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:05:49.299Z
p2-recheck-001,10,83,verify_directory_fit_before_any_approval,https://alltheaitools.com/,alltheaitools.com,200,yes,https://alltheaitools.com/,alltheaitools.com,no,text/html; charset=utf-8,AI Tools &amp; Agents Directory | Discover Top AI Tools &amp; Agents,2,2,yes,no,yes,yes,no,yes,yes,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-22T10:05:51.855Z
