batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at
p0-007,24,204,P0,verify_submit_form_then_approve_or_reject,https://custom.example/submit,custom.example,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:204,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:19:24.906Z
p0-007,25,206,P0,verify_submit_form_then_approve_or_reject,https://d.example/submit,d.example,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:206,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:19:25.351Z
p0-007,26,221,P0,verify_submit_form_then_approve_or_reject,https://e.example/submit,e.example,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:221,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:19:25.654Z
p0-007,27,236,P0,verify_submit_form_then_approve_or_reject,https://example.com/submit,example.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: URL path looks like a submission endpoint; HTTP 404,,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:236,404,no,https://example.com/submit,example.com,0,0,no,yes,no,no,no,no,no,no,no,HTTP 404,2026-05-22T08:19:26.065Z
p0-007,28,385,P0,verify_submit_form_then_approve_or_reject,https://new-site.com/submit,new-site.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_manually,needs_manual_check,low,,manual_confirm_submit_form_and_blockers,submit URL/button signal found but evidence is incomplete; evidence: URL path looks like a submission endpoint,,submit URL/button signal found but evidence is incomplete,yes,review_row:385,200,yes,https://new-site.com/submit,new-site.com,0,0,no,yes,no,no,no,no,no,no,no,,2026-05-22T08:19:27.805Z
p0-007,29,475,P0,verify_submit_form_then_approve_or_reject,https://site.com/submit,site.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: URL path looks like a submission endpoint; HTTP 404,,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:475,404,no,https://site.com/submit,site.com,0,0,no,yes,no,no,no,no,no,no,no,HTTP 404,2026-05-22T08:19:29.092Z
p0-007,30,481,P0,verify_submit_form_then_approve_or_reject,http://www.sixwordstories.net/2009/07/submit-a-story/comment-page-188,sixwordstories.net,,approved | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_paid,high,,reject_unless_manual_review_confirms_free_submission_path,"payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; 2 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found",paid,payment/pricing signal appears on a submit/listing surface,yes,review_row:481,200,yes,http://www.sixwordstories.net/2009/07/submit-a-story/comment-page-188/,sixwordstories.net,2,11,yes,yes,yes,no,no,no,no,yes,no,,2026-05-22T08:19:30.733Z
p0-007,31,489,P0,verify_submit_form_then_approve_or_reject,https://some-directory.com/submit,some-directory.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:489,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-22T08:19:35.056Z
p0-007,32,176,P0,verify_submit_form_then_approve_or_reject,https://www.capterra.com/vendors,capterra.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:176,403,no,https://www.capterra.com/vendors,capterra.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:19:35.633Z
p0-007,33,200,P0,verify_submit_form_then_approve_or_reject,https://crozdesk.com/vendors,crozdesk.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:200,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-22T08:19:36.367Z
p0-007,34,273,P0,verify_submit_form_then_approve_or_reject,https://www.getapp.com/vendors,getapp.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:273,403,no,https://www.getapp.com/vendors,getapp.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:19:46.372Z
p0-007,35,488,P0,verify_submit_form_then_approve_or_reject,https://www.softwareadvice.com/vendors,softwareadvice.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:488,403,no,https://www.softwareadvice.com/vendors,softwareadvice.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:19:47.543Z
p0-007,36,541,P0,verify_submit_form_then_approve_or_reject,https://www.trustradius.com/vendors,trustradius.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:541,403,no,https://www.trustradius.com/vendors,trustradius.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-22T08:19:49.136Z
