batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p0-009,1,75,P0,verify_distinct_submit_url_for_existing_domain,https://aiscout.net/submit,aiscout.net,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: URL path looks like a submission endpoint; This operation was aborted; same-domain variant must not use generic approved,,This operation was aborted,yes,review_row:75,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-28T04:06:12.151Z,,,,,,,,,,,,,,,0,,
p0-009,2,79,P0,verify_distinct_submit_url_for_existing_domain,https://aitoolsdirectory.com/submit,aitoolsdirectory.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed; same-domain variant must not use generic approved,,fetch failed,yes,review_row:79,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:06:27.219Z,,,,,,,,,,,,,,,0,,
p0-009,3,208,P0,verify_distinct_submit_url_for_existing_domain,https://devhunt.org/submit,devhunt.org,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; URL path looks like a submission endpoint; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:208,200,yes,https://devhunt.org/submit,devhunt.org,0,0,no,yes,no,no,no,yes,no,no,no,,2026-05-28T04:06:37.641Z,,,,,,,,,,,,,,,0,,
p0-009,4,301,P0,verify_distinct_submit_url_for_existing_domain,https://hashnode.com/,hashnode.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: payment/pricing signal found; login/register signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved,,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:301,200,yes,https://hashnode.com/,hashnode.com,0,0,yes,no,yes,yes,no,no,yes,yes,no,,2026-05-28T04:06:38.778Z,,,,,,,,,,,,,,,0,,
p0-009,5,365,P0,verify_distinct_submit_url_for_existing_domain,https://mkdirs.com/,mkdirs.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:365,200,yes,https://mkdirs.com/,mkdirs.com,1,1,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T04:06:52.336Z,,,,,,,,,,,,,,,0,,
p0-009,6,402,P0,verify_distinct_submit_url_for_existing_domain,https://www.ontoplist.com/,ontoplist.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: payment/pricing signal found; login/register signal found; 4 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:402,200,yes,https://www.ontoplist.com/,ontoplist.com,4,11,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T04:06:54.441Z,,,,,,,,,,,,,,,0,,
p0-009,7,438,P0,verify_distinct_submit_url_for_existing_domain,https://www.promoteproject.com/,promoteproject.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 1 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:438,200,yes,https://www.promoteproject.com/,promoteproject.com,1,5,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T04:06:56.614Z,,,,,,,,,,,,,,,0,,
p0-009,8,443,P0,verify_distinct_submit_url_for_existing_domain,https://www.qualityinternetdirectory.com/,qualityinternetdirectory.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: login/register signal found; Cloudflare/human verification signal found; 2 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:443,200,yes,https://www.qualityinternetdirectory.com/,qualityinternetdirectory.com,2,5,yes,no,yes,yes,no,no,yes,no,no,,2026-05-28T04:06:58.416Z,,,,,,,,,,,,,,,0,,
p0-009,9,464,P0,verify_distinct_submit_url_for_existing_domain,https://www.saasworthy.com/,saasworthy.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: directory/listing marketplace text signal found; HTTP 429; same-domain variant must not use generic approved,,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:464,429,no,https://www.saasworthy.com/,saasworthy.com,0,0,no,no,yes,no,no,no,no,no,no,HTTP 429,2026-05-28T04:07:01.533Z,,,,,,,,,,,,,,,0,,
p0-009,10,472,P0,verify_distinct_submit_url_for_existing_domain,https://www.sideprojectors.com/project/new,sideprojectors.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:472,200,yes,https://www.sideprojectors.com/project/new,sideprojectors.com,0,0,no,no,yes,no,no,yes,yes,no,no,,2026-05-28T04:07:03.083Z,,,,,,,,,,,,,,,0,,
p0-009,11,477,P0,verify_distinct_submit_url_for_existing_domain,https://www.sitepromotiondirectory.com/,sitepromotiondirectory.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_submit,high,,reject_unless_manual_review_finds_a_distinct_submit_endpoint_at_this_exact_url,"same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL; evidence: Cloudflare/human verification signal found; 2 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",,same-domain candidate URL does not contain an explicit submission path; existing registry submit URL should remain canonical unless manual review finds a distinct submit endpoint at this exact URL,yes,review_row:477,200,yes,https://www.sitepromotiondirectory.com/,sitepromotiondirectory.com,2,1,yes,no,yes,no,no,no,yes,no,no,,2026-05-28T04:07:04.941Z,,,,,,,,,,,,,,,0,,
