batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p0-013,1,75,P0,verify_distinct_submit_url_for_existing_domain,https://aiscout.net/submit,aiscout.net,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: URL path looks like a submission endpoint; This operation was aborted; same-domain variant must not use generic approved,,This operation was aborted,yes,review_row:75,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-28T04:32:51.758Z,,,,,,,,,,,,,,,0,,
p0-013,2,79,P0,verify_distinct_submit_url_for_existing_domain,https://aitoolsdirectory.com/submit,aitoolsdirectory.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed; same-domain variant must not use generic approved,,fetch failed,yes,review_row:79,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:33:06.774Z,,,,,,,,,,,,,,,0,,
p0-013,3,208,P0,verify_distinct_submit_url_for_existing_domain,https://devhunt.org/submit,devhunt.org,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; URL path looks like a submission endpoint; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:208,200,yes,https://devhunt.org/submit,devhunt.org,0,0,no,yes,no,no,no,yes,no,no,no,,2026-05-28T04:33:17.220Z,,,,,,,,,,,,,,,0,,
p0-013,4,472,P0,verify_distinct_submit_url_for_existing_domain,https://www.sideprojectors.com/project/new,sideprojectors.com,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:472,200,yes,https://www.sideprojectors.com/project/new,sideprojectors.com,0,0,no,no,yes,no,no,yes,yes,no,no,,2026-05-28T04:33:18.767Z,,,,,,,,,,,,,,,0,,
p0-013,5,497,P0,verify_distinct_submit_url_for_existing_domain,https://stackshare.io/new-product,stackshare.io,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 429; evidence: directory/listing marketplace text signal found; HTTP 429; same-domain variant must not use generic approved,,HTTP 429,yes,review_row:497,429,no,https://stackshare.io/new-product,stackshare.io,0,0,no,no,yes,no,no,no,no,no,no,HTTP 429,2026-05-28T04:33:20.120Z,,,,,,,,,,,,,,,0,,
p0-013,6,63,P0,verify_submit_form_then_approve_or_reject,https://ai.xyz/submit,ai.xyz,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:63,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:33:20.845Z,,,,,,,,,,,,,,,0,,
p0-013,7,64,P0,verify_submit_form_then_approve_or_reject,https://aiagents.live/submit,aiagents.live,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:64,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:33:31.014Z,,,,,,,,,,,,,,,0,,
p0-013,8,65,P0,verify_submit_form_then_approve_or_reject,https://aiagentsbase.com/submit,aiagentsbase.com,,approved | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 3 form(s), 18 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:65,200,yes,https://aiagentsbase.com/submit,aiagentsbase.com,3,18,yes,yes,yes,no,no,yes,no,no,no,,2026-05-28T04:33:32.962Z,,,,,,,,,,,,,,,0,,
p0-013,9,68,P0,verify_submit_form_then_approve_or_reject,https://aiagentsmarketplace.com/submit,aiagentsmarketplace.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:68,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:33:33.769Z,,,,,,,,,,,,,,,0,,
p0-013,10,72,P0,verify_submit_form_then_approve_or_reject,https://aimatchpro.ai/submit,aimatchpro.ai,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:72,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:33:43.961Z,,,,,,,,,,,,,,,0,,
p0-013,11,78,P0,verify_submit_form_then_approve_or_reject,https://aitools.love/submit,aitools.love,,approved | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:78,200,yes,https://aitools.love/submit,aitools.love,0,0,no,yes,yes,no,no,yes,yes,no,no,,2026-05-28T04:33:44.345Z,,,,,,,,,,,,,,,0,,
p0-013,12,81,P0,verify_submit_form_then_approve_or_reject,https://www.aitrendytools.com/submit,aitrendytools.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:81,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:33:46.665Z,,,,,,,,,,,,,,,0,,
p0-013,13,115,P0,verify_submit_form_then_approve_or_reject,https://bestofweb.io/submit,bestofweb.io,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:115,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:33:48.389Z,,,,,,,,,,,,,,,0,,
p0-013,14,274,P0,verify_submit_form_then_approve_or_reject,https://getbyte.co/submit,getbyte.co,,approved | reject_not_submit | reject_paid | reject_auth_required,review_manually,needs_manual_check,low,,manual_confirm_submit_form_and_blockers,submit URL/button signal found but evidence is incomplete; evidence: URL path looks like a submission endpoint,,submit URL/button signal found but evidence is incomplete,yes,review_row:274,200,yes,https://getbyte.co/submit,getbyte.co,0,0,no,yes,no,no,no,no,no,no,no,,2026-05-28T04:33:48.646Z,,,,,,,,,,,,,,,0,,
p0-013,15,332,P0,verify_submit_form_then_approve_or_reject,https://launchvault.com/submit,launchvault.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:332,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:33:49.891Z,,,,,,,,,,,,,,,0,,
p0-013,16,390,P0,verify_submit_form_then_approve_or_reject,https://www.nocode.mba/tools/submit,nocode.mba,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:390,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:33:50.787Z,,,,,,,,,,,,,,,0,,
p0-013,17,392,P0,verify_submit_form_then_approve_or_reject,https://www.nocodedevs.com/submit,nocodedevs.com,,approved | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found; final domain changed to makerthrive.com,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:392,200,yes,https://www.makerthrive.com/,makerthrive.com,0,0,no,no,yes,no,no,yes,yes,no,no,,2026-05-28T04:34:01.077Z,,,,,,,,,,,,,,,0,,
p0-013,18,393,P0,verify_submit_form_then_approve_or_reject,https://www.nocodefinder.com/submit,nocodefinder.com,,approved | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: URL path looks like a submission endpoint; fetch failed,,fetch failed,yes,review_row:393,,no,,,0,0,no,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:34:05.065Z,,,,,,,,,,,,,,,0,,
