batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-023,8,P2,26,156,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blogs.urz.uni-halle.de/startklar/quellen-und-verweise/comment-page-3 is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,blogs.urz.uni-halle.de,free,unknown,article_or_content_page,needs_manual_review,https://blogs.urz.uni-halle.de/startklar/quellen-und-verweise/comment-page-3,blogs.urz.uni-halle.de,1,resources/backlink-resources.json,resources/backlink-resources.json:1599,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,9,P2,26,157,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blogs.uww.edu/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,blogs.uww.edu,free,unknown,article_or_content_page,needs_manual_review,https://blogs.uww.edu/artofmakai/2021/03/23/hyper-light-drifter-the-game-that-taught-me-how-to-play-video-games,blogs.uww.edu,1,resources/backlink-resources.json,resources/backlink-resources.json:279,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,10,P2,26,158,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blogs.uww.edu/artofmakai/2021/04/13/how-to-draw-the-importance-of-schedules is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,blogs.uww.edu,free,unknown,article_or_content_page,needs_manual_review,https://blogs.uww.edu/artofmakai/2021/04/13/how-to-draw-the-importance-of-schedules,blogs.uww.edu,1,resources/backlink-resources.json,resources/backlink-resources.json:1500,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,11,P2,26,159,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://blogs.zeiss.com/news/messtechnik-de/sorgsamkeit-bringt-sie-weiter is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,blogs.zeiss.com,free,unknown,article_or_content_page,needs_manual_review,https://blogs.zeiss.com/news/messtechnik-de/sorgsamkeit-bringt-sie-weiter,blogs.zeiss.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1555,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,12,P2,26,160,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://bordeaux.onvasortir.com/profil_msg_inexistant.php is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,bordeaux.onvasortir.com,free,unknown,forum_profile_or_post_page,needs_manual_review,https://bordeaux.onvasortir.com/profil_msg_inexistant.php,bordeaux.onvasortir.com,1,resources/backlink-resources.json,resources/backlink-resources.json:26,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,13,P2,26,161,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://brownbagteacher.com/what-im-reading is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,brownbagteacher.com,free,unknown,article_or_content_page,needs_manual_review,https://brownbagteacher.com/what-im-reading,brownbagteacher.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1434,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,14,P2,26,163,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.browneyedbaker.com/how-to-make-pate-a-choux-fill-eclairs-and-cream-puffs is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,browneyedbaker.com,free,unknown,article_or_content_page,needs_manual_review,https://www.browneyedbaker.com/how-to-make-pate-a-choux-fill-eclairs-and-cream-puffs,browneyedbaker.com,1,resources/backlink-resources.json,resources/backlink-resources.json:389,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,15,P2,26,164,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://bugs.documentfoundation.org/show_bug.cgi?id=162681 is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,bugs.documentfoundation.org,free,unknown,bug_tracker_not_directory,needs_manual_review,https://bugs.documentfoundation.org/show_bug.cgi?id=162681,bugs.documentfoundation.org,1,resources/backlink-resources.json,resources/backlink-resources.json:48,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,16,P2,26,174,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://calaos.fr/forum/member.php?action=profile&uid=7732 is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,calaos.fr,free,unknown,forum_profile_or_post_page,needs_manual_review,https://calaos.fr/forum/member.php?action=profile&uid=7732,calaos.fr,1,resources/backlink-resources.json,resources/backlink-resources.json:1764,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,17,P2,26,175,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://cantstayoutofthekitchen.com/2022/01/06/blueberry-walnut-overnight-oatmeal is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,cantstayoutofthekitchen.com,free,unknown,article_or_content_page,needs_manual_review,https://cantstayoutofthekitchen.com/2022/01/06/blueberry-walnut-overnight-oatmeal,cantstayoutofthekitchen.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1731,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,18,P2,26,177,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://capturebilling.com/new-quality-aca-reporting-standards is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,capturebilling.com,free,unknown,article_or_content_page,needs_manual_review,https://capturebilling.com/new-quality-aca-reporting-standards,capturebilling.com,1,resources/backlink-resources.json,resources/backlink-resources.json:719,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,19,P2,26,178,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://career.tu-sofia.bg/employer/geometry-dash-subzero is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,career.tu-sofia.bg,free,unknown,employer_profile_or_job_page,needs_manual_review,https://career.tu-sofia.bg/employer/geometry-dash-subzero,career.tu-sofia.bg,1,resources/backlink-resources.json,resources/backlink-resources.json:587,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,20,P2,26,179,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://cartoonresearch.com/index.php/forgotten-anime-57-kirara-2000 is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,cartoonresearch.com,free,unknown,article_or_content_page,needs_manual_review,https://cartoonresearch.com/index.php/forgotten-anime-57-kirara-2000,cartoonresearch.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1632,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,21,P2,26,180,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.certifiedpastryaficionado.com/churro-waffles is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,certifiedpastryaficionado.com,free,unknown,article_or_content_page,needs_manual_review,https://www.certifiedpastryaficionado.com/churro-waffles,certifiedpastryaficionado.com,1,resources/backlink-resources.json,resources/backlink-resources.json:2369,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-023,22,P2,26,181,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.certifiedpastryaficionado.com/nutella-cream-pie is a blog/article, profile, bug tracker, forum, employer page, or other content URL; not a structured directory/listing submission target.",codex,,certifiedpastryaficionado.com,free,unknown,article_or_content_page,needs_manual_review,https://www.certifiedpastryaficionado.com/nutella-cream-pie,certifiedpastryaficionado.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1423,,,,,,,,,,,,,,,,,0,,
