batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-015,8,358,P2,verify_directory_fit_before_any_approval,https://www.massagetherapy.com/,massagetherapy.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:358,200,yes,https://www.massagetherapy.com/,massagetherapy.com,1,5,yes,no,yes,no,no,yes,no,no,no,,2026-05-28T12:16:56.531Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,9,360,P2,verify_directory_fit_before_any_approval,https://www.merchantcircle.com/,merchantcircle.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 1 form(s), 2 input/select/textarea fields",,login/register or OAuth signal found,yes,review_row:360,200,yes,https://www.merchantcircle.com/,merchantcircle.com,1,2,no,no,no,yes,no,yes,no,no,no,,2026-05-28T12:16:58.880Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,10,364,P2,verify_directory_fit_before_any_approval,https://www.mixcloud.com/,mixcloud.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:364,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:17:01.876Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,11,366,P2,verify_directory_fit_before_any_approval,https://www.modelmayhem.com/,modelmayhem.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:366,403,no,https://www.modelmayhem.com/,modelmayhem.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T12:17:12.566Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,12,371,P2,verify_directory_fit_before_any_approval,https://www.mumsnet.com/Talk,mumsnet.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:371,200,yes,https://www.mumsnet.com/talk,mumsnet.com,1,2,no,no,yes,yes,no,yes,yes,no,no,,2026-05-28T12:17:13.509Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,13,373,P2,verify_directory_fit_before_any_approval,https://my.g2.com/sellers/welcome,my.g2.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:373,403,no,https://my.g2.com/signup?login=true,my.g2.com,0,0,no,no,no,no,no,yes,no,no,no,HTTP 403,2026-05-28T12:17:19.235Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,14,377,P2,verify_directory_fit_before_any_approval,https://myfolio.com/,myfolio.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:377,200,yes,https://www.myfolio.com/,myfolio.com,1,1,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T12:17:21.758Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,15,382,P2,verify_directory_fit_before_any_approval,https://neilpatel.com/ai-tools,neilpatel.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 91 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; HTTP 404",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:382,404,no,https://neilpatel.com/ai-tools/,neilpatel.com,3,91,yes,no,yes,yes,no,yes,yes,yes,no,HTTP 404,2026-05-28T12:17:23.858Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,16,386,P2,verify_directory_fit_before_any_approval,https://newsaasly.com/,newsaasly.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:386,200,yes,https://newsaasly.com/,newsaasly.com,0,0,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T12:17:28.021Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,17,387,P2,verify_directory_fit_before_any_approval,https://www.newswiretoday.com/,newswiretoday.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:387,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:17:29.770Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-015,18,394,P2,verify_directory_fit_before_any_approval,https://www.nocodefounders.com/,nocodefounders.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:394,200,yes,https://www.nocodefounders.com/,nocodefounders.com,2,7,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T12:17:31.174Z,,,,,,,,,,,,,,,0,,
