batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-026,8,P2,26,253,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.fitlivingeats.com/7-easy-everyday-gluten-free-swaps is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,fitlivingeats.com,free,unknown,blog_article,needs_manual_review,https://www.fitlivingeats.com/7-easy-everyday-gluten-free-swaps,fitlivingeats.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1214,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,9,P2,26,254,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.fitlivingeats.com/a-festive-holiday-sangria-recipe-tips-for-a-healthier-cocktail is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,fitlivingeats.com,free,unknown,blog_article,needs_manual_review,https://www.fitlivingeats.com/a-festive-holiday-sangria-recipe-tips-for-a-healthier-cocktail,fitlivingeats.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1181,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,10,P2,26,255,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.fitlivingeats.com/how-to-make-homemade-oat-milk is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,fitlivingeats.com,free,unknown,blog_article,needs_manual_review,https://www.fitlivingeats.com/how-to-make-homemade-oat-milk,fitlivingeats.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1379,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,11,P2,26,256,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.fitlivingeats.com/how-to-make-juice-without-a-juicer-3-green-juice-recipes is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,fitlivingeats.com,free,unknown,blog_article,needs_manual_review,https://www.fitlivingeats.com/how-to-make-juice-without-a-juicer-3-green-juice-recipes,fitlivingeats.com,1,resources/backlink-resources.json,resources/backlink-resources.json:2061,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,12,P2,26,257,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.fitlivingeats.com/qa-founders-motion-matcha-one-go-energy-boosters is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,fitlivingeats.com,free,unknown,blog_article,needs_manual_review,https://www.fitlivingeats.com/qa-founders-motion-matcha-one-go-energy-boosters,fitlivingeats.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1676,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,13,P2,26,259,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://www.fivereasonssports.com/news/ultimate-miami-heat-fan-travel-guide-tickets-hotels-and-local-hotspots is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,fivereasonssports.com,free,unknown,blog_article,needs_manual_review,https://www.fivereasonssports.com/news/ultimate-miami-heat-fan-travel-guide-tickets-hotels-and-local-hotspots,fivereasonssports.com,1,resources/backlink-resources.json,resources/backlink-resources.json:2435,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,14,P2,26,262,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://flokii.com/users/view/58762 is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,flokii.com,free,unknown,forum_profile,needs_manual_review,https://flokii.com/users/view/58762,flokii.com,1,resources/backlink-resources.json,resources/backlink-resources.json:895,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,15,P2,26,264,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://forum.epicbrowser.com/profile.php?id=78821 is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,forum.epicbrowser.com,free,unknown,forum_profile,needs_manual_review,https://forum.epicbrowser.com/profile.php?id=78821,forum.epicbrowser.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1302,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,16,P2,26,265,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://forum.gekko.wizb.it/user-14910.html is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,forum.gekko.wizb.it,free,unknown,forum_profile,needs_manual_review,https://forum.gekko.wizb.it/user-14910.html,forum.gekko.wizb.it,1,resources/backlink-resources.json,resources/backlink-resources.json:1720,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,17,P2,26,266,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://forum.padowan.dk/profile.php?id=33438 is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,forum.padowan.dk,free,unknown,forum_profile,needs_manual_review,https://forum.padowan.dk/profile.php?id=33438,forum.padowan.dk,1,resources/backlink-resources.json,resources/backlink-resources.json:961,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-026,18,P2,26,268,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: https://forums.maxperformanceinc.com/forums/member.php?u=202517 is a content article, forum/profile, media, or event page. It is not a structured product/startup/SaaS directory and has no credible product listing submission workflow for backlink campaign inclusion.",codex,,forums.maxperformanceinc.com,free,unknown,forum_profile,needs_manual_review,https://forums.maxperformanceinc.com/forums/member.php?u=202517,forums.maxperformanceinc.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1258,,,,,,,,,,,,,,,,,0,,
