batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-017,8,455,P2,verify_directory_fit_before_any_approval,https://replit.com/,replit.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:455,200,yes,https://replit.com/,replit.com,0,5,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T12:30:16.863Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-017,9,458,P2,verify_directory_fit_before_any_approval,https://www.rundown.ai/tools,rundown.ai,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:458,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:30:17.873Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-017,10,466,P2,verify_directory_fit_before_any_approval,https://www.scoop.it/,scoop.it,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:466,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:30:28.118Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-017,11,467,P2,verify_directory_fit_before_any_approval,https://www.scribd.com/,scribd.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:467,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:30:42.945Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-017,12,469,P2,verify_directory_fit_before_any_approval,https://www.semfirms.com/,semfirms.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:469,200,yes,https://www.semfirms.com/,semfirms.com,2,5,yes,no,yes,yes,no,yes,yes,no,no,,2026-05-28T12:30:53.555Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-017,13,471,P2,verify_directory_fit_before_any_approval,https://www.showmelocal.com/,showmelocal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:471,200,yes,https://www.showmelocal.com/,showmelocal.com,0,0,no,no,no,no,no,no,no,no,no,,2026-05-28T12:30:55.737Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-017,14,476,P2,verify_directory_fit_before_any_approval,https://www.sitepoint.com/community,sitepoint.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,medium,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found; evidence: directory/listing marketplace text signal found",,"no submit path, submit button, or form signal found",yes,review_row:476,200,yes,https://www.sitepoint.com/community/,sitepoint.com,0,0,no,no,yes,no,no,no,no,no,no,,2026-05-28T12:31:00.214Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-017,15,482,P2,verify_directory_fit_before_any_approval,https://www.slant.co/,slant.co,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:482,200,yes,https://www.slant.co/,slant.co,3,3,yes,no,yes,no,no,yes,yes,no,no,,2026-05-28T12:31:03.055Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-017,16,485,P2,verify_directory_fit_before_any_approval,https://www.slideshare.net/,slideshare.net,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:485,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:31:06.593Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-017,17,490,P2,verify_directory_fit_before_any_approval,https://www.sooperarticles.com/,sooperarticles.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:490,403,no,https://sooperarticles.com/,sooperarticles.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T12:31:17.287Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-017,18,491,P2,verify_directory_fit_before_any_approval,https://soundcloud.com/,soundcloud.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:491,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:31:21.010Z,,,,,,,,,,,,,,,0,,
