batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-028,8,328,P2,verify_directory_fit_before_any_approval,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=224,kt.rim.or.jp,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_possible_submit_form,reject_not_directory,high,,reject_non_directory_source_page,"URL query (?mode=comment&no=224) looks like a comment page, not a product directory; evidence: 1 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL query (?mode=comment&no=224) looks like a comment page, not a product directory",yes,review_row:328,200,yes,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=224,kt.rim.or.jp,1,16,yes,no,yes,no,no,no,no,no,no,,2026-05-28T14:37:43.719Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,9,329,P2,verify_directory_fit_before_any_approval,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=239,kt.rim.or.jp,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_possible_submit_form,reject_not_directory,high,,reject_non_directory_source_page,"URL query (?mode=comment&no=239) looks like a comment page, not a product directory; evidence: 1 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL query (?mode=comment&no=239) looks like a comment page, not a product directory",yes,review_row:329,200,yes,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=239,kt.rim.or.jp,1,16,yes,no,yes,no,no,no,no,no,no,,2026-05-28T14:37:46.592Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,10,330,P2,verify_directory_fit_before_any_approval,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:330,200,yes,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,1,3,yes,no,yes,no,no,yes,no,no,no,,2026-05-28T14:37:49.217Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,11,334,P2,verify_directory_fit_before_any_approval,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian,learnalanguage.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/blog/italian-greetings-how-are-you-in-italian) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; 2 form(s), 8 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/blog/italian-greetings-how-are-you-in-italian) looks like a source article, profile, forum, comment, or issue page",yes,review_row:334,200,yes,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian/,learnalanguage.com,2,8,yes,no,yes,yes,no,no,no,no,no,,2026-05-28T14:37:51.242Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,12,335,P2,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/best-time-to-visit-tanzania,lilistravelplans.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:335,200,yes,https://www.lilistravelplans.com/best-time-to-visit-tanzania/,lilistravelplans.com,4,15,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:37:55.679Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,13,336,P2,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania,lilistravelplans.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:336,200,yes,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania/,lilistravelplans.com,4,15,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:38:01.145Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,14,337,P2,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania,lilistravelplans.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:337,200,yes,https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania/,lilistravelplans.com,4,15,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:38:03.487Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,15,342,P2,verify_directory_fit_before_any_approval,https://loveandmarriageblog.com/beach-water-cocktail,loveandmarriageblog.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:342,403,no,https://loveandmarriageblog.com/beach-water-cocktail,loveandmarriageblog.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-28T14:38:05.129Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,16,343,P2,verify_directory_fit_before_any_approval,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life,lovestrategies.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 30 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:343,200,yes,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life/,lovestrategies.com,3,30,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:38:08.068Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,17,344,P2,verify_directory_fit_before_any_approval,https://lovestrategies.com/types-of-guys-who-stay-single,lovestrategies.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 30 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:344,200,yes,https://lovestrategies.com/types-of-guys-who-stay-single/,lovestrategies.com,3,30,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T14:38:12.938Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-028,18,345,P2,verify_directory_fit_before_any_approval,https://www.madrimasd.org/blogs/astrofisica/2022/05/20/134942,madrimasd.org,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/blogs/astrofisica/2022/05/20/134942) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; 3 form(s), 13 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/blogs/astrofisica/2022/05/20/134942) looks like a source article, profile, forum, comment, or issue page",yes,review_row:345,200,yes,https://www.madrimasd.org/blogs/astrofisica/2022/05/20/134942,madrimasd.org,3,13,yes,no,yes,no,no,yes,no,no,no,,2026-05-28T14:38:13.959Z,,,,,,,,,,,,,,,0,,
