"status","title","pricing","price_text","monthly_visits","submission_link","id"
"free","G2","Free","","3.2M","https://www.g2.com/products/new","14368f41-8f50-81eb-bfda-eab66aa93110"
"free","Source Forge","Free","","2.5M","https://sourceforge.net/software/vendors/new","14368f41-8f50-812d-8020-c11f2fe0bb9f"
"free","AI Tools Neil Patel","Free","","6K","https://aitools.neilpatel.com/submit/","14368f41-8f50-819a-8f9c-d8d25a88dcf2"
"free","AI Infinity","Free","","2K","https://forms.gle/Ze6pdWzmweCfKWnLA","14368f41-8f50-818d-8c80-eafbfeaea0ac"
"free","Startup88","Free","","1000","https://startup88.typeform.com/to/CRjWqM","14368f41-8f50-8140-9330-c2fa0539ae09"
"free","FinancesOnline","Free","","1.5M","https://financesonline.com/add-product/","14368f41-8f50-8128-9801-c475d4dd1f02"
"free","F6S","Free","","1600000","https://www.f6s.com/","14368f41-8f50-81db-903c-fb9de9493737"
"free","Your Story","Free","","8.5M","https://eu.frms.link/g4juley/","14368f41-8f50-81ab-95c7-ff98e76204d4"
"free","AlternativeTo","Free","","1.3M","https://alternativeto.net/manage-item/","14368f41-8f50-819c-9505-d074abe174dc"
"free","Crunchbase","Free","","10M","https://www.crunchbase.com/add-new/","14368f41-8f50-81fc-8de2-ea3d9c75fb3c"
"free","Stackshare","Free","","1.6M","https://stackshare.io/submit/","14368f41-8f50-81af-99b0-dbd4b8c91fb3"
"free","Webwiki","Free","","15K","https://www.webwiki.com/info/add-website.html","14368f41-8f50-81b9-b7b7-c7d7a331c07b"
"free","Alternative","Free","","2.0M","https://alternative.me/how-to/submit-software/","14368f41-8f50-81d6-9035-edec2f489e9d"
"free","Digital Agency Network","Free","","528K","https://digitalagencynetwork.com/join-free-listing-tools/","14368f41-8f50-8175-9a8c-c7803ae05ba9"
"free","EU Startups","Free","","323K","https://www.eu-startups.com/directory/?wpbdp_view=submit_listing","14368f41-8f50-81f1-bd99-e37c21ab7749"
"free","Software World","Free","","65000","https://www.softwareworld.co/vendor/listing/create/","14368f41-8f50-812c-89e9-ec7785823f29"
"free","Product Hunt","Free","","6.0M","https://www.producthunt.com/posts/new","14368f41-8f50-81f9-8035-c0f4520419b3"
"free","SaasWorthy","Free","","172000","https://www.saasworthy.com/offerings","14368f41-8f50-817f-972f-c143ba4ac465"
"free","Getlatka","Free","","20000","https://getlatka.com/saas-companies","14368f41-8f50-81ac-b65f-c88e30ccc85c"
"free","Sitelike","Free","","1.3M","https://www.sitelike.org/add-site/","14368f41-8f50-81be-8af2-e50bce545545"
"free","Beta List","Free","","180k","https://betalist.com/submissions/new","14368f41-8f50-8153-816d-f9f5962e065d"
"free","SaasHub","Free","","1.6M","https://www.saashub.com/submit","14368f41-8f50-81de-a394-d920a47c0c1c"
"free","SideProjectors","Free","","52600","https://www.sideprojectors.com/","14368f41-8f50-819c-9caf-e4919abb08eb"
"free","Startup Ranking","Free","","25k","https://www.startupranking.com/startup/create/url-validation","14368f41-8f50-816c-a786-e9b1a8895368"
"free","Pitchwall","Free","","59000","https://pitchwall.co/product/submit","14368f41-8f50-8169-8cef-c771b58ad1e4"
"free","Submission Web Directory","Free","","10K","https://www.submissionwebdirectory.com/submit.php","14368f41-8f50-81d7-8776-e90c1b6a75a3"
"free","SoMuch","Free","","10600","https://somuch.com/submit-links/","14368f41-8f50-817a-b0cc-f792404a189d"
"free","Marketing Internet Directory","Free","","","https://www.marketinginternetdirectory.com/submit.php","14368f41-8f50-819c-8ebc-e3539c191d94"
"free","GPTs Hunter","Free","","400000","https://www.gptshunter.com/submit-gpt","14368f41-8f50-8188-b32f-d317fede17c5"
"free","KitPloit","Free","","2.5M","https://www.kitploit.com/p/submit-tool.html","14368f41-8f50-81a8-adbb-d70b9815cd40"
"free","Afford Hunt","Free","","80k","https://www.affordhunt.com/submit","14368f41-8f50-81a6-b958-dfa5c83b43aa"
"free","Business Software","Free","","100K","https://www.business-software.com/add-your-product/","14368f41-8f50-8120-8fea-e90c8a4fb20a"
"free","AITOOLS","Free","","","https://aitools.inc/submit","14368f41-8f50-81bb-b878-f2fd3f88f272"
"free","FiveTaco","Free","","106000","https://fivetaco.com/submit","14368f41-8f50-8161-ae0b-f44620fb0508"
"free","uneed","Free","","","https://www.uneed.best/submit-a-tool","14368f41-8f50-811a-945a-dac31b24ea65"
"free","Launching Next","Free","","13000","https://www.launchingnext.com/submit/","14368f41-8f50-81da-8eda-c6b3c4f2c6f6"
"free","Tool Pilot","Free","","600K","https://www.toolpilot.ai/pages/submit-your-ai-tool","14368f41-8f50-8144-a31a-c96b6186b273"
"free","","Free","","3000","https://startupbase.io/submissions/start","14368f41-8f50-817e-bc0f-e3c02ba13c13"
"free","TechPluto","Free","","","https://www.techpluto.com/submit-startup","14368f41-8f50-8196-949d-e3764f2d1700"
"free","EZWeb Directory","Free","","3500","http://ezwebdirectory.com/item/new","14368f41-8f50-815c-ae9d-dde2a075bd4c"
"free","Ismailblogger","Free","","10K","https://ismailblogger.com/submit-tools/","14368f41-8f50-810f-92be-d0f62501c613"
"free","Future Tools","Free","","3.0M","https://www.futuretools.io/submit-a-tool","14368f41-8f50-81e8-b771-e5ed8c043a14"
"free","Hacker News","Free","","300K","https://hackernews.com/","14368f41-8f50-811f-b3f3-f051ac447d70"
"free","StartupTracker","Free","","12500","https://startuptracker.io/crowdsourcing/","14368f41-8f50-8163-b73c-f94b0be827f0"
"free","Tiny Startups","Free","","10000","https://tally.so/r/wMzP8X","14368f41-8f50-816d-afe6-f1143cbbc71c"
"free","100L5","Free","","","https://10015.io/product-finder/submit","14368f41-8f50-814a-b30b-dae7f7470fb4"
"free","Insidr AI","Free","","150k","https://www.insidr.ai/submit-tools/","14368f41-8f50-810d-8b0c-e0b15b440392"
"free","Resource fyi","Free","","5k","https://resource.fyi/account/submit/","14368f41-8f50-8136-8be1-d11aea1026b8"
"free","Ben's Bites News","Free","","13K","https://news.bensbites.com/submit","14368f41-8f50-81ac-8463-c9e81d8ce09e"
"free","Startup Buffer","Free","","16K","https://startupbuffer.com/site/submit","14368f41-8f50-81f6-941c-c8c3b5cabf1f"
"free","AlterOpen","Free","","2000","https://alteropen.com/submit/pack","14368f41-8f50-81a3-bfa4-d111c5618a50"
"free","Launched","Free","","2.4K","https://launched.io/SubmitStartup","14368f41-8f50-812e-91cf-cf723075bb27"
"free","AI Library","Free","","255K","https://library.phygital.plus/tool-submission","14368f41-8f50-818d-bc6b-d9cca480db14"
"free","ToolsFine","Free","","34K","https://tally.so/r/3qVzOG","14368f41-8f50-814f-8ed9-f4761197c8a9"
"free","Dockey AI","Free","","3900","https://dokeyai.com/submit","14368f41-8f50-8124-8248-f15f349768cf"
"free","Paggu","Free","","1000","https://www.paggu.com/submit-your-startup/","14368f41-8f50-811e-ba73-fab1e376197d"
"free","BroUseAI","Free","","31000","https://www.brouseai.com/submission/ai","14368f41-8f50-81e5-a690-c47b87ca51ae"
"free","PromoteProject","Free","","5000","https://www.promoteproject.com/login","14368f41-8f50-81e4-a1f7-fdb3d7048190"
"free","Startup Lister","Free","","","https://startuplister.com/","14368f41-8f50-8117-9a7e-fa9e6be28192"
"free","AllStartups Info","Free","","17K","https://www.allstartups.info/Startups/Submit","14368f41-8f50-81ae-8c42-db829bbf0b29"
