batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-020,8,P2,27,547,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: SVG namespace URL from docs/overview.svg, not an external directory or submit surface.",codex,,w3.org,free,en,technical_namespace_url,needs_manual_review,http://www.w3.org/2000/svg,w3.org,2,docs/overview.svg; docs/overview.zh.svg,docs/overview.svg:1; docs/overview.zh.svg:1,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,9,P2,26,57,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: specific Portuguese article/course page, not a directory or backlink submission target.",codex,,abracomex.org,unknown,pt,article_or_content_page,needs_manual_review,https://abracomex.org/aula-inaugural-graduacao-servicos-juridicos-online,abracomex.org,1,resources/backlink-resources.json,resources/backlink-resources.json:2446,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,10,P2,26,58,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: Google account/login endpoint from docs, not a directory/listing target.",codex,,accounts.google.com,free,en,auth_endpoint_not_directory,needs_manual_review,https://accounts.google.com/,accounts.google.com,1,docs/guide.md,docs/guide.md:261,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,11,P2,26,61,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: lifestyle blog article URL, not a directory submission surface.",codex,,advicefromatwentysomething.com,free,en,blog_article,needs_manual_review,https://advicefromatwentysomething.com/3-simple-ways-to-reconnect-with-your-creativity,advicefromatwentysomething.com,1,resources/backlink-resources.json,resources/backlink-resources.json:1830,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,12,P2,26,89,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: blog/article page, not a product/startup/business directory.",codex,,anspblog.org,free,en,blog_article,needs_manual_review,https://www.anspblog.org/fin-to-limb-to-art,anspblog.org,1,resources/backlink-resources.json,resources/backlink-resources.json:2259,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,13,P2,26,93,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: IndexNow API endpoint used for search indexing pings, not a backlink/directory submission target.",codex,,api.indexnow.org,free,en,api_endpoint_not_directory,needs_manual_review,https://api.indexnow.org/indexnow,api.indexnow.org,1,src/indexnow.js,src/indexnow.js:13,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,14,P2,26,97,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: Portuguese blog/news article URL, not a directory submission target.",codex,,arlindovsky.net,free,pt,blog_article,needs_manual_review,https://www.arlindovsky.net/2022/06/calendarizacao-da-mobilidade-por-doenca,arlindovsky.net,1,resources/backlink-resources.json,resources/backlink-resources.json:862,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,15,P2,26,98,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: Portuguese blog/news article URL, not a directory submission target.",codex,,arlindovsky.net,free,pt,blog_article,needs_manual_review,https://www.arlindovsky.net/2024/05/e-depois-de-abril-paulo-prudencio,arlindovsky.net,1,resources/backlink-resources.json,resources/backlink-resources.json:1148,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,16,P2,26,102,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: home/lifestyle blog article, not a directory or listing submission surface.",codex,,athomeinthefuture.com,free,en,blog_article,needs_manual_review,https://athomeinthefuture.com/2022/03/design-decorate-perfect-backyard,athomeinthefuture.com,1,resources/backlink-resources.json,resources/backlink-resources.json:92,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,17,P2,26,107,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: recipe/craft blog article URL, not a directory submission target.",codex,,bakerella.com,free,en,blog_article,needs_manual_review,https://www.bakerella.com/16-sweet-easter-treats,bakerella.com,1,resources/backlink-resources.json,resources/backlink-resources.json:972,,,,,,,,,,,,,,,,,0,,
coverage-review-p2-020,18,P2,26,108,reject_not_directory,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,verify_directory_fit_before_any_approval,verify_directory_fit_before_approval,"P2 evidence review 2026-05-28: recipe/craft blog article URL, not a directory submission target.",codex,,bakerella.com,free,en,blog_article,needs_manual_review,https://www.bakerella.com/sweets-for-the-season,bakerella.com,1,resources/backlink-resources.json,resources/backlink-resources.json:257,,,,,,,,,,,,,,,,,0,,
