batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p0-009,1,P0,337,75,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,aiscout.net,unknown,unknown,domain_in_registry_only,review_submit_url,https://aiscout.net/submit,aiscout.net,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 20:url; directory-submissions-external-links.md:22,ai-scout; ai-scout-aiscout-net-submit-listing-details,https://aiscout.net/; https://aiscout.net/submit-listing/details,,,,,,,,,,,,,,,0,,
p0-009,2,P0,337,79,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,aitoolsdirectory.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://aitoolsdirectory.com/submit,aitoolsdirectory.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 25:url; directory-submissions-external-links.md:27,aitoolsdirectory,https://aitoolsdirectory.com/submit-tool,,,,,,,,,,,,,,,0,,
p0-009,3,P0,337,208,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,devhunt.org,unknown,unknown,domain_in_registry_only,review_submit_url,https://devhunt.org/submit,devhunt.org,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 49:url; directory-submissions-external-links.md:51,dev-hunt; dev-hunt-devhunt-org-account-tools-new,https://devhunt.org/; https://devhunt.org/account/tools/new,,,,,,,,,,,,,,,0,,
p0-009,4,P0,287,301,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,hashnode.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://hashnode.com/,hashnode.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 75:url; directory-submissions-external-links.md:77,hashnode,https://hashnode.com/discussions,,,,,,,,,,,,,,,0,,
p0-009,5,P0,287,365,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,mkdirs.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://mkdirs.com/,mkdirs.com,2,91wink-seo-resource-directory-domains.json; 91wink-seo-resource-directory.json,91wink-seo-resource-directory-domains.json:json:[55].domain; 91wink-seo-resource-directory.json:json:results[44].externalLinks[9].domain,mkdirs-com-showcase,https://mkdirs.com/showcase,,,,,,,,,,,,,,,0,,
p0-009,6,P0,287,402,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,ontoplist.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.ontoplist.com/,ontoplist.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 223:url; directory-submissions-external-links.md:225,ontoplist-com,https://www.ontoplist.com/join,,,,,,,,,,,,,,,0,,
p0-009,7,P0,287,438,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,promoteproject.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.promoteproject.com/,promoteproject.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 230:url; directory-submissions-external-links.md:232,promoteproject,https://www.promoteproject.com/login,,,,,,,,,,,,,,,0,,
p0-009,8,P0,287,443,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,qualityinternetdirectory.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.qualityinternetdirectory.com/,qualityinternetdirectory.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 231:url; directory-submissions-external-links.md:233,quality-internet-directory,https://www.qualityinternetdirectory.com/submit.php,,,,,,,,,,,,,,,0,,
p0-009,9,P0,287,464,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,saasworthy.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.saasworthy.com/,saasworthy.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 234:url; directory-submissions-external-links.md:236,saasworthy,https://www.saasworthy.com/offerings,,,,,,,,,,,,,,,0,,
p0-009,10,P0,287,472,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,sideprojectors.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.sideprojectors.com/project/new,sideprojectors.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 239:url; directory-submissions-external-links.md:241,sideprojectors,https://www.sideprojectors.com/,,,,,,,,,,,,,,,0,,
p0-009,11,P0,287,477,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,sitepromotiondirectory.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.sitepromotiondirectory.com/,sitepromotiondirectory.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 241:url; directory-submissions-external-links.md:243,site-promotion-directory,https://www.sitepromotiondirectory.com/submit.php,,,,,,,,,,,,,,,0,,
p0-009,12,P0,287,492,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,sourceforge.net,unknown,unknown,domain_in_registry_only,review_submit_url,https://sourceforge.net/user/register,sourceforge.net,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 114:url; directory-submissions-external-links.md:116,sourceforge,https://sourceforge.net/software/vendors/new,,,,,,,,,,,,,,,0,,
p0-009,13,P0,287,497,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,stackshare.io,unknown,unknown,domain_in_registry_only,review_submit_url,https://stackshare.io/new-product,stackshare.io,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 115:url; directory-submissions-external-links.md:117,stackshare,https://stackshare.io/submit,,,,,,,,,,,,,,,0,,
p0-009,14,P0,287,500,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,startupbuffer.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://startupbuffer.com/,startupbuffer.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 116:url; directory-submissions-external-links.md:118,startup-buffer,https://startupbuffer.com/site/submit,,,,,,,,,,,,,,,0,,
p0-009,15,P0,287,504,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,startuptracker.io,unknown,unknown,domain_in_registry_only,review_submit_url,https://startuptracker.io/,startuptracker.io,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 119:url; directory-submissions-external-links.md:121,startuptracker,https://startuptracker.io/crowdsourcing,,,,,,,,,,,,,,,0,,
p0-009,16,P0,287,521,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,techpluto.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.techpluto.com/,techpluto.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 253:url; directory-submissions-external-links.md:255,techpluto; techpluto-techpluto-com-submit-startup,https://www.techpluto.com/submit-a-startup; https://www.techpluto.com/submit-startup,,,,,,,,,,,,,,,0,,
p0-009,17,P0,287,524,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,theaigeneration.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.theaigeneration.com/,theaigeneration.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 254:url; directory-submissions-external-links.md:256,the-ai-generation,https://www.theaigeneration.com/add,,,,,,,,,,,,,,,0,,
p0-009,18,P0,287,535,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,toolai.io,unknown,unknown,domain_in_registry_only,review_submit_url,https://toolai.io/,toolai.io,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 130:url; directory-submissions-external-links.md:132,tool-ai,https://toolai.io/Login?ReturnUrl=%2Fen%2Fsubmit,,,,,,,,,,,,,,,0,,
p0-009,19,P0,287,553,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,webwiki.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.webwiki.com/,webwiki.com,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 261:url; directory-submissions-external-links.md:263,webwiki,https://www.webwiki.com/info/add-website.html,,,,,,,,,,,,,,,0,,
p0-009,20,P0,287,559,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,whattheai.tech,unknown,unknown,domain_in_registry_only,review_submit_url,https://whattheai.tech/,whattheai.tech,2,submission-tracker-template.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 139:url; directory-submissions-external-links.md:141,what-the-ai,https://whattheai.tech/submit-a-tool,,,,,,,,,,,,,,,0,,
p0-009,21,P0,285,285,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,github.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://github.com/s87343472/backlink-pilot.git,github.com,11,README.md; README.zh.md; docs/guide.md; docs/overview.svg; docs/overview.zh.svg; docs/tutorial.md; package.json,README.md:22; README.md:37; README.zh.md:22; README.zh.md:37; docs/guide.md:22; docs/guide.md:88; docs/overview.svg:284; docs/overview.zh.svg:264; docs/tutorial.md:10; docs/tutorial.md:60; package.json:32,github-com; best-app; github-com-github-com-ljinkai-weekly-issues; dev-resources; github-com-github-com-ruanyf-weekly-issues,https://github.com/1c7/chinese-independent-developer/issues; https://github.com/hzlzh/Best-App/issues; https://github.com/ljinkai/weekly/issues; https://github.com/marcelscruz/dev-resources; https://github.com/ruanyf/weekly/issues,,,,,,,,,,,,,,,0,,
p0-009,22,P0,281,284,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,github.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://github.com/s87343472/backlink-pilot,github.com,6,docs/.vitepress/config.js; docs/guide.md; docs/index.md; docs/tutorial.md; src/config.js,docs/.vitepress/config.js:20; docs/.vitepress/config.js:49; docs/guide.md:343; docs/index.md:14; docs/tutorial.md:157; src/config.js:178,github-com; best-app; github-com-github-com-ljinkai-weekly-issues; dev-resources; github-com-github-com-ruanyf-weekly-issues,https://github.com/1c7/chinese-independent-developer/issues; https://github.com/hzlzh/Best-App/issues; https://github.com/ljinkai/weekly/issues; https://github.com/marcelscruz/dev-resources; https://github.com/ruanyf/weekly/issues,,,,,,,,,,,,,,,0,,
p0-009,23,P0,277,281,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,github.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://github.com/niciral/bb-browser,github.com,2,README.md; docs/guide.md,README.md:212; docs/guide.md:83,github-com; best-app; github-com-github-com-ljinkai-weekly-issues; dev-resources; github-com-github-com-ruanyf-weekly-issues,https://github.com/1c7/chinese-independent-developer/issues; https://github.com/hzlzh/Best-App/issues; https://github.com/ljinkai/weekly/issues; https://github.com/marcelscruz/dev-resources; https://github.com/ruanyf/weekly/issues,,,,,,,,,,,,,,,0,,
p0-009,24,P0,277,463,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,saashub.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.saashub.com/new,saashub.com,2,src/sites/saashub.js,src/sites/saashub.js:31; src/sites/saashub.js:8,saashub,https://www.saashub.com/submit,,,,,,,,,,,,,,,0,,
p0-009,25,P0,276,272,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,g2.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://www.g2.com/discussions/what-is-ultipro-system,g2.com,1,resources/backlink-resources.json,resources/backlink-resources.json:158,g2-com,https://www.g2.com/products/new,,,,,,,,,,,,,,,0,,
