batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
p2-007,1,3,P2,verify_directory_fit_before_any_approval,https://www.2findlocal.com/,2findlocal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:3,200,yes,https://www.2findlocal.com/,2findlocal.com,1,6,yes,no,yes,no,no,yes,yes,yes,no,,2026-05-28T04:55:19.552Z,,,,,,,,,,,,,,,0,,
p2-007,2,4,P2,verify_directory_fit_before_any_approval,https://www.4shared.com/,4shared.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:4,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:55:21.916Z,,,,,,,,,,,,,,,0,,
p2-007,3,5,P2,verify_directory_fit_before_any_approval,https://500px.com/,500px.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:5,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:55:32.582Z,,,,,,,,,,,,,,,0,,
p2-007,4,56,P2,verify_directory_fit_before_any_approval,https://about.me/,about.me,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:56,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:55:33.027Z,,,,,,,,,,,,,,,0,,
p2-007,5,59,P2,verify_directory_fit_before_any_approval,https://activerain.com/,activerain.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:59,403,no,https://activerain.com/,activerain.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-28T04:55:43.269Z,,,,,,,,,,,,,,,0,,
p2-007,6,71,P2,verify_directory_fit_before_any_approval,https://aiforme.wiki/,aiforme.wiki,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:71,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:55:46.087Z,,,,,,,,,,,,,,,0,,
p2-007,7,80,P2,verify_directory_fit_before_any_approval,https://aitoolsguide.com/,aitoolsguide.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:80,200,yes,https://aitoolsguide.com/,aitoolsguide.com,1,2,yes,no,yes,no,no,no,yes,yes,no,,2026-05-28T04:55:49.764Z,,,,,,,,,,,,,,,0,,
p2-007,8,95,P2,verify_directory_fit_before_any_approval,https://apitracker.io/mcp-servers,apitracker.io,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:95,403,no,https://apitracker.io/mcp-servers,apitracker.io,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-28T04:55:52.851Z,,,,,,,,,,,,,,,0,,
p2-007,9,100,P2,verify_directory_fit_before_any_approval,https://www.artstation.com/,artstation.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:100,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:55:53.434Z,,,,,,,,,,,,,,,0,,
p2-007,10,101,P2,verify_directory_fit_before_any_approval,https://www.athlinks.com/,athlinks.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:101,200,yes,https://www.athlinks.com/,athlinks.com,0,0,no,no,no,no,no,yes,yes,no,no,,2026-05-28T04:56:04.091Z,,,,,,,,,,,,,,,0,,
p2-007,11,111,P2,verify_directory_fit_before_any_approval,https://bandcamp.com/,bandcamp.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:111,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:56:06.588Z,,,,,,,,,,,,,,,0,,
p2-007,12,114,P2,verify_directory_fit_before_any_approval,https://www.behance.net/,behance.net,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:114,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:56:16.820Z,,,,,,,,,,,,,,,0,,
p2-007,13,125,P2,verify_directory_fit_before_any_approval,https://www.bizcommunity.com/,bizcommunity.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:125,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:56:27.547Z,,,,,,,,,,,,,,,0,,
p2-007,14,126,P2,verify_directory_fit_before_any_approval,https://www.bizsugar.com/,bizsugar.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 3 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:126,200,yes,https://bizsugar.com/,bizsugar.com,3,3,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T04:56:38.212Z,,,,,,,,,,,,,,,0,,
p2-007,15,142,P2,verify_directory_fit_before_any_approval,https://www.blogarama.com/,blogarama.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:142,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:56:43.814Z,,,,,,,,,,,,,,,0,,
p2-007,16,146,P2,verify_directory_fit_before_any_approval,https://www.blogger.com/,blogger.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:146,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:56:54.559Z,,,,,,,,,,,,,,,0,,
p2-007,17,169,P2,verify_directory_fit_before_any_approval,https://businesshunt.co/,businesshunt.co,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:169,200,yes,https://businesshunt.co/,businesshunt.co,0,0,no,no,no,no,no,yes,no,no,no,,2026-05-28T04:57:05.268Z,,,,,,,,,,,,,,,0,,
p2-007,18,172,P2,verify_directory_fit_before_any_approval,https://www.cabinetm.com/,cabinetm.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; final domain changed to cabinetmsd.my.canva.site,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:172,200,yes,https://cabinetmsd.my.canva.site/,cabinetmsd.my.canva.site,0,0,no,no,no,no,no,yes,no,no,no,,2026-05-28T04:57:07.774Z,,,,,,,,,,,,,,,0,,
p2-007,19,173,P2,verify_directory_fit_before_any_approval,https://www.calameo.com/,calameo.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:173,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:57:12.103Z,,,,,,,,,,,,,,,0,,
p2-007,20,202,P2,verify_directory_fit_before_any_approval,https://www.cuspera.com/,cuspera.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:202,200,yes,https://www.cuspera.com/,cuspera.com,0,2,yes,no,yes,no,no,yes,yes,no,no,,2026-05-28T04:57:22.774Z,,,,,,,,,,,,,,,0,,
p2-007,21,210,P2,verify_directory_fit_before_any_approval,https://www.diigo.com/,diigo.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found,,login/register or OAuth signal found,yes,review_row:210,200,yes,https://www.diigo.com/,diigo.com,0,0,no,no,no,yes,no,no,no,yes,no,,2026-05-28T04:57:23.673Z,,,,,,,,,,,,,,,0,,
p2-007,22,215,P2,verify_directory_fit_before_any_approval,https://directory.com/your-listing,directory.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: directory/listing marketplace text signal found; HTTP 404,,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:215,404,no,https://directory.com/your-listing,directory.com,0,0,no,no,yes,no,no,no,no,no,no,HTTP 404,2026-05-28T04:57:25.467Z,,,,,,,,,,,,,,,0,,
p2-007,23,216,P2,verify_directory_fit_before_any_approval,https://www.directory.ldmstudio.com/,directory.ldmstudio.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_possible_submit_form,needs_manual_check,medium,approved,manual_confirm_public_free_submit_form_before_approval,"form, submit signal, and directory/listing signal found; evidence: 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; if manually confirmed, use approved with reviewer notes",,"form, submit signal, and directory/listing signal found",yes,review_row:216,200,yes,https://www.directory.ldmstudio.com/,directory.ldmstudio.com,1,2,yes,no,yes,no,no,no,no,no,no,,2026-05-28T04:57:26.821Z,,,,,,,,,,,,,,,0,,
p2-007,24,217,P2,verify_directory_fit_before_any_approval,https://disqus.com/,disqus.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:217,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:57:28.982Z,,,,,,,,,,,,,,,0,,
p2-007,25,219,P2,verify_directory_fit_before_any_approval,https://www.dnb.com/,dnb.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:219,200,yes,https://www.dnb.com/en-us/,dnb.com,0,0,no,no,no,no,no,no,no,no,no,,2026-05-28T04:57:39.126Z,,,,,,,,,,,,,,,0,,
p2-007,26,223,P2,verify_directory_fit_before_any_approval,https://www.ebay.com/,ebay.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 1 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found",,login/register or OAuth signal found,yes,review_row:223,200,yes,https://www.ebay.com/,ebay.com,1,7,yes,no,no,yes,no,yes,no,yes,no,,2026-05-28T04:57:43.995Z,,,,,,,,,,,,,,,0,,
p2-007,27,224,P2,verify_directory_fit_before_any_approval,https://ecosystem.hubspot.com/marketplace,ecosystem.hubspot.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: Cloudflare/human verification signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:224,200,yes,https://ecosystem.hubspot.com/marketplace,ecosystem.hubspot.com,0,0,no,no,yes,no,no,no,yes,no,no,,2026-05-28T04:57:45.365Z,,,,,,,,,,,,,,,0,,
p2-007,28,226,P2,verify_directory_fit_before_any_approval,https://elocal.com/,elocal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:226,200,yes,https://elocal.com/,elocal.com,1,3,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T04:57:50.510Z,,,,,,,,,,,,,,,0,,
p2-007,29,227,P2,verify_directory_fit_before_any_approval,https://www.etsy.com/,etsy.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:227,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:57:51.734Z,,,,,,,,,,,,,,,0,,
p2-007,30,228,P2,verify_directory_fit_before_any_approval,https://www.eu-business.com/,eu-business.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:228,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:58:02.409Z,,,,,,,,,,,,,,,0,,
p2-007,31,229,P2,verify_directory_fit_before_any_approval,https://evensi.com/,evensi.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: login/register signal found; final domain changed to discover.events.com,,login/register or OAuth signal found,yes,review_row:229,200,yes,https://discover.events.com/,discover.events.com,0,0,no,no,no,yes,no,no,no,no,no,,2026-05-28T04:58:03.596Z,,,,,,,,,,,,,,,0,,
p2-007,32,230,P2,verify_directory_fit_before_any_approval,https://evernote.com/,evernote.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:230,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:58:07.268Z,,,,,,,,,,,,,,,0,,
p2-007,33,238,P2,verify_directory_fit_before_any_approval,https://ezinearticles.com/,ezinearticles.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:238,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:58:17.990Z,,,,,,,,,,,,,,,0,,
p2-007,34,239,P2,verify_directory_fit_before_any_approval,https://www.ezlocal.com/,ezlocal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:239,403,no,https://www.ezlocal.com/,ezlocal.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:58:22.503Z,,,,,,,,,,,,,,,0,,
p2-007,35,247,P2,verify_directory_fit_before_any_approval,https://www.feedough.com/,feedough.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 4 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:247,200,yes,https://www.feedough.com/,feedough.com,4,11,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T04:58:24.229Z,,,,,,,,,,,,,,,0,,
p2-007,36,248,P2,verify_directory_fit_before_any_approval,https://www.feedspot.com/,feedspot.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:248,403,no,https://www.feedspot.com/,feedspot.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T04:58:27.300Z,,,,,,,,,,,,,,,0,,
p2-007,37,251,P2,verify_directory_fit_before_any_approval,https://www.finduslocal.com/,finduslocal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:251,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T04:58:29.486Z,,,,,,,,,,,,,,,0,,
p2-007,38,258,P2,verify_directory_fit_before_any_approval,https://fitprofessionals.net/,fitprofessionals.net,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_not_submit,reject_not_submit,high,,reject_unless_manual_review_finds_hidden_submit_entry,"no submit path, submit button, or form signal found",,"no submit path, submit button, or form signal found",yes,review_row:258,200,yes,https://fitprofessionals.net/,fitprofessionals.net,0,0,no,no,no,no,no,no,no,no,no,,2026-05-28T04:58:40.181Z,,,,,,,,,,,,,,,0,,
