batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-024,8,183,P2,verify_directory_fit_before_any_approval,https://www.chandigarhcity.com/discussions/threads/quordle-to-quorle,chandigarhcity.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/discussions/threads/quordle-to-quorle) looks like a source article, profile, forum, comment, or issue page; evidence: login/register signal found; CAPTCHA signal found; 2 form(s), 8 input/select/textarea fields; submit/add/list/publish button text signal found",,"URL path (/discussions/threads/quordle-to-quorle) looks like a source article, profile, forum, comment, or issue page",yes,review_row:183,200,yes,https://www.chandigarhcity.com/discussions/threads/quordle-to-quorle/,chandigarhcity.com,2,8,yes,no,no,yes,no,yes,no,no,no,,2026-05-28T13:39:43.107Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-024,9,184,P2,verify_directory_fit_before_any_approval,https://chayagrossberg.com/diagnosis-versus-you,chayagrossberg.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 5 form(s), 42 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:184,200,yes,https://chayagrossberg.com/diagnosis-versus-you/,chayagrossberg.com,5,42,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T13:39:48.784Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-024,10,185,P2,verify_directory_fit_before_any_approval,https://chayagrossberg.com/how-do-you-know-if-youre-receiving-informed-consent,chayagrossberg.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 5 form(s), 42 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:185,200,yes,https://chayagrossberg.com/how-do-you-know-if-youre-receiving-informed-consent/,chayagrossberg.com,5,42,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T13:39:59.793Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-024,11,186,P2,verify_directory_fit_before_any_approval,https://chhs.news.niu.edu/2025/01/15/niu-school-of-nursing-adds-hispanic-student-nurses-alianza-hsna-to-support-students,chhs.news.niu.edu,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2025/01/15/niu-school-of-nursing-adds-hispanic-student-nurses-alianza-hsna-to-support-students) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 21 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2025/01/15/niu-school-of-nursing-adds-hispanic-student-nurses-alianza-hsna-to-support-students) looks like a source article, profile, forum, comment, or issue page",yes,review_row:186,200,yes,https://chhs.news.niu.edu/2025/01/15/niu-school-of-nursing-adds-hispanic-student-nurses-alianza-hsna-to-support-students/,chhs.news.niu.edu,3,21,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T13:40:12.659Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-024,12,187,P2,verify_directory_fit_before_any_approval,https://cinescopia.com/las-10-mejores-peliculas-de-casey-affleck/2024/08,cinescopia.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; 2 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:187,200,yes,https://cinescopia.com/las-10-mejores-peliculas-de-casey-affleck/2024/08/,cinescopia.com,2,11,yes,no,yes,no,no,yes,no,no,no,,2026-05-28T13:40:18.170Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-024,13,189,P2,verify_directory_fit_before_any_approval,https://claude.ai/code,claude.ai,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 4 input/select/textarea fields; directory/listing marketplace text signal found; final domain changed to claude.com",,login/register or OAuth signal found,yes,review_row:189,200,yes,https://claude.com/app-unavailable-in-region,claude.com,2,4,no,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T13:40:23.388Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-024,14,190,P2,verify_directory_fit_before_any_approval,https://claude.ai/code)%EF%BC%8C%E4%BD%A0%E4%B8%8D%E9%9C%80%E8%A6%81%E7%9C%8B%E4%BB%BB%E4%BD%95%E5%85%B6%E4%BB%96%E6%96%87%E6%A1%A3%E3%80%82Clone,claude.ai,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 4 input/select/textarea fields; directory/listing marketplace text signal found; final domain changed to claude.com",,login/register or OAuth signal found,yes,review_row:190,200,yes,https://claude.com/app-unavailable-in-region,claude.com,2,4,no,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T13:40:27.967Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-024,15,194,P2,verify_directory_fit_before_any_approval,https://community.ops.io/albacube_d9724d5112893f8a,community.ops.io,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:194,200,yes,https://community.ops.io/albacube_d9724d5112893f8a,community.ops.io,1,1,yes,no,yes,yes,no,no,no,no,no,,2026-05-28T13:40:30.479Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-024,16,195,P2,verify_directory_fit_before_any_approval,https://www.completelydelicious.com/tips/make-brownies-shiny-crackly-crust,completelydelicious.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/tips/make-brownies-shiny-crackly-crust) looks like a source article, profile, forum, comment, or issue page; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403",,"URL path (/tips/make-brownies-shiny-crackly-crust) looks like a source article, profile, forum, comment, or issue page",yes,review_row:195,403,no,https://www.completelydelicious.com/tips/make-brownies-shiny-crackly-crust,completelydelicious.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T13:40:33.698Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-024,17,196,P2,verify_directory_fit_before_any_approval,https://www.cornbeanspigskids.com/2024/08/back-to-school-my-kids-favorite.html,cornbeanspigskids.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2024/08/back-to-school-my-kids-favorite.html) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2024/08/back-to-school-my-kids-favorite.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:196,200,yes,https://www.cornbeanspigskids.com/2024/08/back-to-school-my-kids-favorite.html,cornbeanspigskids.com,2,5,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T13:40:37.680Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-024,18,197,P2,verify_directory_fit_before_any_approval,https://www.craftberrybush.com/2017/08/watercolor-lessons-and-free-printable.html,craftberrybush.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2017/08/watercolor-lessons-and-free-printable.html) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 6 form(s), 23 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2017/08/watercolor-lessons-and-free-printable.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:197,200,yes,https://www.craftberrybush.com/2017/08/watercolor-lessons-and-free-printable.html,craftberrybush.com,6,23,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T13:40:40.618Z,,,,,,,,,,,,,,,0,,
