queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,review_decision,reviewed_pricing,reviewer,reviewed_at,review_notes,evidence_url,evidence_matched,http_status,fetch_ok,payment_signal,free_signal,freemium_signal,captcha_signal,cloudflare_signal,suggestion_basis,automation_policy
1,cooltools,Cooltools,backdata.net,auto_safe,https://backdata.net/submit-site.html,unknown,unknown,keep_unknown,low,,,,,,https://backdata.net/submit-site.html,yes,200,yes,no,no,no,no,no,submit surface signal found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
2,247webdirectory,247WebDirectory,247webdirectory.com,assisted,https://www.247webdirectory.com/,unknown,unknown,keep_unknown,low,,,,,,https://www.247webdirectory.com/,yes,200,yes,no,no,no,no,no,pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
3,asr,ASR,activesearchresults.com,assisted,https://www.activesearchresults.com/addwebsite.php,unknown,unknown,keep_unknown,low,,,,,,https://www.activesearchresults.com/addwebsite.php,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
4,ai-ailookme,AI工具箱 (ailookme),ailookme.com,assisted,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,unknown,unknown,keep_unknown,low,,,,,,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
5,ai-nav,AI NAV,ainavpro.com,assisted,https://www.ainavpro.com/contribute,unknown,unknown,keep_unknown,low,,,,,,https://www.ainavpro.com/contribute,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
6,appalist-com,https://appalist.com/,appalist.com,assisted,https://appalist.com/,unknown,paid,mark_paid,high,,,,,,https://appalist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
7,ashlist-com,https://ashlist.com,ashlist.com,assisted,https://ashlist.com/,unknown,paid,mark_paid,high,,,,,,https://ashlist.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
8,betalist-com,https://betalist.com,betalist.com,assisted,https://betalist.com/,unknown,unknown,needs_manual_check,low,,,,,,https://betalist.com/,yes,200,yes,no,no,no,yes,no,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
9,changelog,Changelog,changelog.com,assisted,https://changelog.com/news/submit,unknown,freemium,mark_freemium,medium,,,,,,https://changelog.com/news/submit,yes,200,yes,no,no,yes,no,no,auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
10,foundr-ai,Foundr.ai,foundr.ai,assisted,https://foundr.ai/,unknown,unknown,needs_manual_check,low,,,,,,https://foundr.ai/,yes,200,yes,no,no,yes,yes,no,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
11,fwol-cn,名站在线,fwol.cn,assisted,http://www.fwol.cn/infos_add.php,unknown,unknown,keep_unknown,low,,,,,,http://www.fwol.cn/infos_add.php,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
12,hhlink-com,海外导航网,hhlink.com,assisted,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,unknown,unknown,keep_unknown,low,,,,,,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
13,iforai,iforai,iforai.com,assisted,https://iforai.com/submit_website,unknown,unknown,keep_unknown,low,,,,,,https://iforai.com/submit_website,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
14,joinly-joinly-xyz,Joinly,joinly.xyz,assisted,https://www.joinly.xyz/,unknown,unknown,keep_unknown,low,,,,,,https://www.joinly.xyz/,yes,200,yes,no,no,no,no,no,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
15,launchscroll-com,https://launchscroll.com/,launchscroll.com,assisted,https://launchscroll.com/,unknown,paid,mark_paid,high,,,,,,https://launchscroll.com/,yes,200,yes,yes,no,no,no,no,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,pricing_decision_draft_no_registry_write_no_submission
16,lbbai-com,老北鼻AI导航,lbbai.com,assisted,https://lbbai.com/contribute,unknown,unknown,keep_unknown,low,,,,,,https://lbbai.com/contribute,yes,200,yes,no,no,no,no,no,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,pricing_decision_draft_no_registry_write_no_submission
17,mergeek,Mergeek,mergeek.com,assisted,https://mergeek.com/publish_project,unknown,free,mark_free,high,,,,,,https://mergeek.com/publish_project,yes,200,yes,no,yes,no,no,no,auth/login signal found; free submission/listing signal found; submit surface signal found,pricing_decision_draft_no_registry_write_no_submission
