batch_id,batch_order,review_row,review_action,url,domain,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,suggested_decision,evidence_notes,fetch_error,checked_at
coverage-review-p2-028,8,328,verify_directory_fit_before_any_approval,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=224,kt.rim.or.jp,200,yes,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=224,kt.rim.or.jp,no,text/html; charset=utf-8,大人の余裕漂うシンプル＆エレガントなビジネススタイル,1,16,yes,no,yes,no,no,no,no,no,no,review_possible_submit_form,"1 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:37:43.719Z
coverage-review-p2-028,9,329,verify_directory_fit_before_any_approval,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=239,kt.rim.or.jp,200,yes,http://www.kt.rim.or.jp/~youie/cgi-bin/nanmeri/nanmeri.cgi?mode=comment&no=239,kt.rim.or.jp,no,text/html; charset=utf-8,大人の余裕漂うシンプル＆エレガントなビジネススタイル,1,16,yes,no,yes,no,no,no,no,no,no,review_possible_submit_form,"1 form(s), 16 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:37:46.592Z
coverage-review-p2-028,10,330,verify_directory_fit_before_any_approval,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,200,yes,https://labsk.net/index.php?action=profile%3Bu%3D50620,labsk.net,no,text/html; charset=ISO-8859-1,La BSK - �ndice,1,3,yes,no,yes,no,no,yes,no,no,no,reject_auth_required,"CAPTCHA signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:37:49.217Z
coverage-review-p2-028,11,334,verify_directory_fit_before_any_approval,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian,learnalanguage.com,200,yes,https://www.learnalanguage.com/blog/italian-greetings-how-are-you-in-italian/,learnalanguage.com,no,text/html; charset=UTF-8,Language Learning &#8211; Blog &raquo; Italian Greetings &#8211; How Are You in Italian,2,8,yes,no,yes,yes,no,no,no,no,no,reject_auth_required,"login/register signal found; 2 form(s), 8 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:37:51.242Z
coverage-review-p2-028,12,335,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/best-time-to-visit-tanzania,lilistravelplans.com,200,yes,https://www.lilistravelplans.com/best-time-to-visit-tanzania/,lilistravelplans.com,no,text/html; charset=UTF-8,THE BEST TIME TO VISIT TANZANIA - Lili&#039;s Travel Plans - Travel Blog,4,15,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:37:55.679Z
coverage-review-p2-028,13,336,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania,lilistravelplans.com,200,yes,https://www.lilistravelplans.com/chemka-hot-springs-moshi-tanzania/,lilistravelplans.com,no,text/html; charset=UTF-8,"CHEMKA HOT SPRINGS, near Moshi, Tanzania - Lili&#039;s Travel Plans - Travel Blog",4,15,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:38:01.145Z
coverage-review-p2-028,14,337,verify_directory_fit_before_any_approval,https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania,lilistravelplans.com,200,yes,https://www.lilistravelplans.com/materuni-waterfall-moshi-tanzania/,lilistravelplans.com,no,text/html; charset=UTF-8,"MATERUNI WATERFALL, near Moshi, Tanzania - Lili&#039;s Travel Plans - Travel Blog",4,15,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 15 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:38:03.487Z
coverage-review-p2-028,15,342,verify_directory_fit_before_any_approval,https://loveandmarriageblog.com/beach-water-cocktail,loveandmarriageblog.com,403,no,https://loveandmarriageblog.com/beach-water-cocktail,loveandmarriageblog.com,no,text/html; charset=iso-8859-1,403 Forbidden,0,0,no,no,no,no,no,no,no,no,no,review_fetch_failed,HTTP 403,HTTP 403,2026-05-28T14:38:05.129Z
coverage-review-p2-028,16,343,verify_directory_fit_before_any_approval,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life,lovestrategies.com,200,yes,https://lovestrategies.com/are-you-a-walking-red-flag-7-habits-that-might-be-sabotaging-your-love-life/,lovestrategies.com,no,text/html; charset=UTF-8,Are You a Walking Red Flag? 7 Habits That Might Be Sabotaging Your Love Life,3,30,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 30 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:38:08.068Z
coverage-review-p2-028,17,344,verify_directory_fit_before_any_approval,https://lovestrategies.com/types-of-guys-who-stay-single,lovestrategies.com,200,yes,https://lovestrategies.com/types-of-guys-who-stay-single/,lovestrategies.com,no,text/html; charset=UTF-8,19 Types Of Guys Who Stay Single: Should You Date One?,3,30,yes,no,yes,yes,no,yes,no,yes,no,reject_paid,"payment/pricing signal found; login/register signal found; CAPTCHA signal found; 3 form(s), 30 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,2026-05-28T14:38:12.938Z
