queue_order,target_id,name,domain,mode,submit_url,http_status,fetch_ok,final_url,final_domain,domain_changed,content_type,title,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,free_signal,freemium_signal,pricing_page_signal,pricing_page_links,suggested_pricing_signal,evidence_notes,fetch_error,checked_at
1,247webdirectory,247WebDirectory,247webdirectory.com,assisted,https://www.247webdirectory.com/,200,yes,https://www.247webdirectory.com/,247webdirectory.com,no,text/html,General Web Directory | Submit URL | 247WebDirectory.com,1,1,no,no,yes,no,no,no,no,no,no,no,yes,https://www.247webdirectory.com/addictions.htm | https://www.247webdirectory.com/plants.htm,unknown,pricing/plan link or text found,,2026-05-27T10:29:12.634Z
2,asr,ASR,activesearchresults.com,assisted,https://www.activesearchresults.com/addwebsite.php,200,yes,https://www.activesearchresults.com/addwebsite.php,activesearchresults.com,no,text/html; charset=UTF-8,Add Your Website to the Active Search Results Search Engine,1,5,yes,no,yes,yes,no,no,no,no,no,no,yes,https://www.activesearchresults.com/addwebsite.php,unknown,pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
3,ai-ailookme,AI工具箱 (ailookme),ailookme.com,assisted,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,200,yes,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,ailookme.com,no,text/html; charset=UTF-8,AI工具网址提交 | 人工智能工具网址提交 | 人工智能工具箱 | 人工智能导航网站 | AI工具箱 | AI工具箱,1,32,yes,no,yes,yes,no,no,no,no,no,no,yes,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,unknown,pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
4,ai-nav,AI NAV,ainavpro.com,assisted,https://www.ainavpro.com/contribute,200,yes,https://www.ainavpro.com/contribute,ainavpro.com,no,text/html; charset=UTF-8,网站提交 | Ai导航,2,34,yes,no,yes,no,no,no,no,no,no,no,yes,https://www.ainavpro.com/contribute,unknown,pricing/plan link or text found; submit/add/list button signal found,,2026-05-27T10:29:12.634Z
5,appalist-com,https://appalist.com/,appalist.com,assisted,https://appalist.com/,200,yes,https://appalist.com/,appalist.com,no,text/html,"AI Apps for Everyday Work, Marketing, and Productivity - Appa List (2026)",2,2,yes,yes,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://appalist.com/ | https://appalist.com/latest | https://appalist.com/explore | https://appalist.com/get-started,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found,,2026-05-27T10:29:12.634Z
6,ashlist-com,https://ashlist.com,ashlist.com,assisted,https://ashlist.com/,200,yes,https://ashlist.com/,ashlist.com,no,text/html,Curated Software Products to Compare by Category and Fit - Ash List (2026),3,3,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,https://ashlist.com/get-started | https://submitsaas.com/ | https://ashlist.com/ | https://ashlist.com/product/vibebot-gg | https://ashlist.com/pricing/freemium,freemium,paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found,,2026-05-27T10:29:12.634Z
7,foundr-ai,Foundr.ai,foundr.ai,assisted,https://foundr.ai/,200,yes,https://foundr.ai/,foundr.ai,no,text/html; charset=UTF-8,Foundr | Discover The Best AI Tools,2,23,yes,no,yes,yes,no,yes,no,no,no,yes,yes,https://foundr.ai/login | https://foundr.ai/tools/payments,freemium,free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found; CAPTCHA/Cloudflare signal found,,2026-05-27T10:29:12.634Z
8,hhlink-com,海外导航网,hhlink.com,assisted,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,200,yes,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,hhlink.com,no,text/html; charset=utf-8,提交新网站 - 海外导航网,1,20,yes,no,yes,no,no,no,no,no,no,no,yes,https://www1.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99 | https://www4.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99 | https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,unknown,pricing/plan link or text found; submit/add/list button signal found,,2026-05-27T10:29:12.634Z
9,iforai,iforai,iforai.com,assisted,https://iforai.com/submit_website,200,yes,https://iforai.com/submit_website,iforai.com,no,text/html; charset=UTF-8,iForAi网址提交页面 | i For AI - 人工智能AI工具，一站式导航,2,49,yes,yes,yes,no,no,no,no,no,no,no,yes,https://iforai.com/submit_website/ | https://iforai.com/login/?redirect_to=https://iforai.com/submit_website,unknown,pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found,,2026-05-27T10:29:12.634Z
10,launchscroll-com,https://launchscroll.com/,launchscroll.com,assisted,https://launchscroll.com/,200,yes,https://launchscroll.com/,launchscroll.com,no,text/html,"New Software Launches to Scroll, Compare, and Track - Launch Scroll (2026)",3,3,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://launchscroll.com/get-started | https://launchscroll.com/pricing/freemium | https://launchscroll.com/pricing/free | https://launchscroll.com/product/checkoutreceipt,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
11,mylaunchstash-com,https://mylaunchstash.com/,mylaunchstash.com,assisted,https://mylaunchstash.com/,200,yes,https://mylaunchstash.com/,mylaunchstash.com,no,text/html,"New Product Launches Worth Saving, Tracking, and Comparing - My Launch Stash (2026)",3,3,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://mylaunchstash.com/get-started | https://mylaunchstash.com/pricing/freemium | https://mylaunchstash.com/pricing/free | https://mylaunchstash.com/product/checkoutreceipt,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
12,offpagesavvy,Offpagesavvy,offpagesavvy.com,assisted,https://www.offpagesavvy.com/submit-your-site,200,yes,https://www.offpagesavvy.com/submit-your-site,offpagesavvy.com,no,text/html; charset=UTF-8,Submit Your Site | Offpagesavvy,2,16,yes,yes,yes,no,no,no,no,no,no,yes,yes,https://twitter.com/intent/tweet?text=Submit+Your+Site&url=https://www.offpagesavvy.com/?p=1180 | http://www.linkedin.com/shareArticle?mini=true&url=https://www.offpagesavvy.com/?p=1180&title=Submit+Your+Site | http://pinterest.com/pin/create/button/?url=https://www.offpagesavvy.com/?p=1180&amp;description=Submit+Your+Site&amp;media=,freemium,free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found,,2026-05-27T10:29:12.634Z
13,poweruptools-com,https://poweruptools.com,poweruptools.com,assisted,https://poweruptools.com/,200,yes,https://poweruptools.com/,poweruptools.com,no,text/html,"AI Tools That Improve Productivity, Output, and Daily Work - Power Up Tools (2026)",2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://poweruptools.com/get-started | https://poweruptools.com/pricing/freemium,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
14,productlistdir-com,https://productlistdir.com,productlistdir.com,assisted,https://productlistdir.com/,200,yes,https://productlistdir.com/,productlistdir.com,no,text/html,Software Products Organized for Comparison and Discovery - Product List Dir (2026),2,2,yes,yes,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://productlistdir.com/ | https://productlistdir.com/latest | https://productlistdir.com/explore | https://productlistdir.com/get-started,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found,,2026-05-27T10:29:12.634Z
15,productwing-com,https://productwing.com/,productwing.com,assisted,https://productwing.com/,200,yes,https://productwing.com/,productwing.com,no,text/html,Software Products Worth Discovering and Comparing - Product Wing (2026),2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://productwing.com/get-started | https://productwing.com/pricing/freemium | https://productwing.com/pricing/free | https://productwing.com/product/checkoutreceipt,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
16,saasfield-com,https://saasfield.com/,saasfield.com,assisted,https://saasfield.com/,200,yes,https://saasfield.com/,saasfield.com,no,text/html,"Compare AI SaaS Tools by Use Case, Pricing, and Workflow - SaaS Field (2026)",2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://saasfield.com/get-started | https://saasfield.com/pricing/freemium | https://saasfield.com/pricing/free | https://saasfield.com/ai/checkoutreceipt,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
17,saashubdirectory-com,https://saashubdirectory.com,saashubdirectory.com,assisted,https://saashubdirectory.com/,200,yes,https://saashubdirectory.com/,saashubdirectory.com,no,text/html,"Compare SaaS Products by Category, Pricing, and Use Case - SaaS Hub Directory (2026)",2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://saashubdirectory.com/get-started | https://saashubdirectory.com/pricing/freemium | https://saashubdirectory.com/pricing/free | https://saashubdirectory.com/product/checkoutreceipt,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
18,saasroots-com,https://saasroots.com/,saasroots.com,assisted,https://saasroots.com/,200,yes,https://saasroots.com/,saasroots.com,no,text/html,Foundational SaaS Products for Startups and Business Teams - SaaS Roots (2026),2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://saasroots.com/get-started | https://saasroots.com/pricing/freemium | https://saasroots.com/pricing/free | https://saasroots.com/product/checkoutreceipt,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
19,smartkithub-com,https://smartkithub.com,smartkithub.com,assisted,https://smartkithub.com/,200,yes,https://smartkithub.com/,smartkithub.com,no,text/html,Smart Software Products for Building a Better Work Kit - Smart Kit Hub (2026),3,3,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://smartkithub.com/get-started | https://submitsaas.com/ | https://smartkithub.com/pricing/freemium | https://smartkithub.com/pricing/free | https://smartkithub.com/product/checkoutreceipt,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
20,softwarebolt-com,访问官网,softwarebolt.com,assisted,https://softwarebolt.com/,200,yes,https://softwarebolt.com/,softwarebolt.com,no,text/html,Software Products to Compare Quickly by Category and Fit - Software Bolt (2026),2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://softwarebolt.com/get-started | https://softwarebolt.com/pricing/freemium | https://softwarebolt.com/pricing/free | https://softwarebolt.com/product/checkoutreceipt,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
21,solvertools-com,🔗 访问我们的网站,solvertools.com,assisted,https://solvertools.com/,200,yes,https://solvertools.com/,solvertools.com,no,text/html,Software Tools That Solve Workflow and Operations Problems - Solver Tools (2026),3,3,yes,no,yes,yes,no,no,no,yes,no,yes,yes,https://solvertools.com/get-started | https://submitsaas.com/ | https://solvertools.com/pricing/free | https://solvertools.com/tool/checkoutreceipt | https://www.checkoutreceipt.com/,freemium,paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
22,sourcedir-com,https://sourcedir.com/,sourcedir.com,assisted,https://sourcedir.com/,200,yes,https://sourcedir.com/,sourcedir.com,no,text/html,Trusted Software Products to Compare by Category and Use Case - Source Dir (2026),2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://sourcedir.com/get-started | https://sourcedir.com/pricing/free | https://sourcedir.com/product/checkoutreceipt | https://www.checkoutreceipt.com/,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
23,stackdirectory-com,https://stackdirectory.com/,stackdirectory.com,assisted,https://stackdirectory.com/,200,yes,https://stackdirectory.com/,stackdirectory.com,no,text/html,Software Products for Building and Improving Your Stack - Stack Directory (2026),2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://stackdirectory.com/get-started | https://stackdirectory.com/pricing/free | https://stackdirectory.com/product/checkoutreceipt | https://www.checkoutreceipt.com/,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
24,startupvessel-com,https://startupvessel.com/,startupvessel.com,assisted,https://startupvessel.com/,200,yes,https://startupvessel.com/,startupvessel.com,no,text/html,Startup Software for Founders Building Their Operating Stack - Startup Vessel (2026),3,3,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://startupvessel.com/get-started | https://submitsaas.com/ | https://startupvessel.com/pricing/free | https://startupvessel.com/product/checkoutreceipt | https://www.checkoutreceipt.com/,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
25,theapptools-com,https://theapptools.com/,theapptools.com,assisted,https://theapptools.com/,200,yes,https://theapptools.com/,theapptools.com,no,text/html,AI Applications for Practical Work and Daily Output - The App Tools (2026),2,2,yes,no,yes,yes,no,no,no,yes,no,no,yes,https://submitsaas.com/ | https://theapptools.com/get-started | https://theapptools.com/pricing/paid | https://theapptools.com/pricing/freemium,paid,paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
26,thecoretools-com,https://thecoretools.com,thecoretools.com,assisted,https://thecoretools.com/,200,yes,https://thecoretools.com/,thecoretools.com,no,text/html,Core Software Tools for Productive Work and Team Operations - The Core Tools (2026),3,3,yes,no,yes,yes,no,no,no,yes,no,yes,yes,https://thecoretools.com/get-started | https://submitsaas.com/ | https://thecoretools.com/pricing/free | https://thecoretools.com/tool/checkoutreceipt | https://www.checkoutreceipt.com/,freemium,paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
27,tinytoolhub-com,https://tinytoolhub.com,tinytoolhub.com,assisted,https://tinytoolhub.com/,200,yes,https://tinytoolhub.com/,tinytoolhub.com,no,text/html,Useful Lightweight Tools for Focused Work and Small Teams - Tiny Tool Hub (2026),2,2,yes,no,yes,yes,no,no,no,yes,no,yes,yes,https://submitsaas.com/ | https://tinytoolhub.com/get-started | https://tinytoolhub.com/pricing/free | https://tinytoolhub.com/tool/checkoutreceipt | https://www.checkoutreceipt.com/,freemium,paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
28,toolcosmos-com,https://toolcosmos.com,toolcosmos.com,assisted,https://toolcosmos.com/,200,yes,https://toolcosmos.com/,toolcosmos.com,no,text/html,A Wide-Angle Software Tools Directory Across the Landscape - Tool Cosmos (2026),2,2,yes,no,yes,yes,no,no,no,yes,no,yes,yes,https://submitsaas.com/ | https://toolcosmos.com/get-started | https://toolcosmos.com/pricing/free | https://toolcosmos.com/tool/checkoutreceipt | https://www.checkoutreceipt.com/,freemium,paid/payment signal found; free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found,,2026-05-27T10:29:12.634Z
