queue_order,target_id,name,domain,mode,submit_url,current_pricing,suggested_pricing,suggested_review_decision,suggestion_confidence,reviewer_action,suggested_review_notes,suggestion_basis,evidence_matched,http_status,fetch_ok,final_url,final_domain,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,free_signal,freemium_signal,pricing_page_signal,checked_at,automation_policy
1,cooltools,Cooltools,backdata.net,auto_safe,https://backdata.net/submit-site.html,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: submit/add/list button signal found; submit-like URL path found | basis: submit surface signal found; no decisive pricing signal found,submit surface signal found; no decisive pricing signal found,yes,200,yes,https://backdata.net/submit-site.html,backdata.net,yes,yes,yes,no,no,no,no,no,no,no,no,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
2,247webdirectory,247WebDirectory,247webdirectory.com,assisted,https://www.247webdirectory.com/,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found | basis: pricing/plan link or text found; no decisive pricing signal found,pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://www.247webdirectory.com/,247webdirectory.com,no,no,yes,no,no,no,no,no,no,no,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
3,asr,ASR,activesearchresults.com,assisted,https://www.activesearchresults.com/addwebsite.php,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://www.activesearchresults.com/addwebsite.php,activesearchresults.com,yes,no,yes,yes,no,no,no,no,no,no,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
4,ai-ailookme,AI工具箱 (ailookme),ailookme.com,assisted,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found; auth/login signal found | basis: auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,auth/login signal found; submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://www.ailookme.com/%e7%bd%91%e5%9d%80%e6%8f%90%e4%ba%a4,ailookme.com,yes,no,yes,yes,no,no,no,no,no,no,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
5,ai-nav,AI NAV,ainavpro.com,assisted,https://www.ainavpro.com/contribute,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found | basis: submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://www.ainavpro.com/contribute,ainavpro.com,yes,no,yes,no,no,no,no,no,no,no,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
6,appalist-com,https://appalist.com/,appalist.com,assisted,https://appalist.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://appalist.com/,appalist.com,yes,yes,yes,yes,no,no,no,yes,no,no,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
7,ashlist-com,https://ashlist.com,ashlist.com,assisted,https://ashlist.com/,unknown,paid,mark_paid,high,verify_no_free_submission_path_exists_then_mark_paid_or_skip,evidence: paid/payment signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found | basis: auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; payment or paid-listing signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://ashlist.com/,ashlist.com,yes,yes,yes,yes,no,no,no,yes,no,no,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
8,betalist-com,https://betalist.com,betalist.com,assisted,https://betalist.com/,unknown,unknown,needs_manual_check,low,open_manually_without_bypassing_challenge_then_record_pricing,evidence: pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found; CAPTCHA/Cloudflare signal found | basis: CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; submit surface signal found; pricing/plan link or text found,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://betalist.com/,betalist.com,yes,yes,yes,yes,no,yes,no,no,no,no,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
9,changelog,Changelog,changelog.com,assisted,https://changelog.com/news/submit,unknown,freemium,mark_freemium,medium,confirm_free_submission_path_exists_before_any_free_only_plan,evidence: free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; submit-like URL path found; auth/login signal found | basis: auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://changelog.com/news/submit,changelog.com,yes,yes,yes,yes,no,no,no,no,no,yes,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
10,foundr-ai,Foundr.ai,foundr.ai,assisted,https://foundr.ai/,unknown,unknown,needs_manual_check,low,open_manually_without_bypassing_challenge_then_record_pricing,evidence: free plus premium/sponsored signal found; pricing/plan link or text found; submit/add/list button signal found; auth/login signal found; CAPTCHA/Cloudflare signal found | basis: CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,CAPTCHA/Cloudflare signal blocks reliable pricing automation; auth/login signal found; free plus premium/sponsored signal found; submit surface signal found; pricing/plan link or text found,yes,200,yes,https://foundr.ai/,foundr.ai,yes,no,yes,yes,no,yes,no,no,no,yes,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
11,fwol-cn,名站在线,fwol.cn,assisted,http://www.fwol.cn/infos_add.php,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found | basis: submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,http://www.fwol.cn/infos_add.php,fwol.cn,yes,no,no,no,no,no,no,no,no,no,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
12,hhlink-com,海外导航网,hhlink.com,assisted,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,unknown,unknown,keep_unknown,low,open_manually_and_record_pricing_evidence,evidence: pricing/plan link or text found; submit/add/list button signal found | basis: submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,submit surface signal found; pricing/plan link or text found; no decisive pricing signal found,yes,200,yes,https://www.hhlink.com/%E6%8F%90%E4%BA%A4%E6%96%B0%E7%BD%91%E7%AB%99,hhlink.com,yes,no,yes,no,no,no,no,no,no,no,yes,2026-05-23T10:53:31.583Z,non_binding_suggestion_no_registry_write_no_submission
