batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-027,8,290,P2,verify_directory_fit_before_any_approval,http://godchild.keenspot.com/comic/chapter-3-page-05,godchild.keenspot.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,This operation was aborted; evidence: This operation was aborted,,This operation was aborted,yes,review_row:290,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-28T14:32:41.291Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-027,9,291,P2,verify_directory_fit_before_any_approval,http://godchild.keenspot.com/comic/evolution-of-maggie,godchild.keenspot.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; 2 form(s), 11 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:291,200,yes,http://godchild.keenspot.com/comic/evolution-of-maggie/,godchild.keenspot.com,2,11,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T14:32:56.313Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-027,10,296,P2,verify_directory_fit_before_any_approval,https://greenerideal.com/wellness/disconnect-to-reconnect-connecting-with-nature-in-the-digital-age,greenerideal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:296,200,yes,https://greenerideal.com/wellness/disconnect-to-reconnect-connecting-with-nature-in-the-digital-age,greenerideal.com,3,7,yes,no,yes,yes,no,yes,yes,no,no,,2026-05-28T14:33:06.110Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-027,11,299,P2,verify_directory_fit_before_any_approval,https://happyhealthymama.com/air-fryer-apples-healthy.html,happyhealthymama.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; 4 form(s), 35 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:299,200,yes,https://happyhealthymama.com/air-fryer-apples-healthy.html,happyhealthymama.com,4,35,yes,no,yes,no,no,yes,yes,no,no,,2026-05-28T14:33:08.326Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-027,12,300,P2,verify_directory_fit_before_any_approval,https://happyhourprojects.com/snake-bracelet,happyhourprojects.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:300,200,yes,https://happyhourprojects.com/snake-bracelet/,happyhourprojects.com,3,14,yes,no,yes,yes,no,yes,yes,no,no,,2026-05-28T14:33:21.300Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-027,13,302,P2,verify_directory_fit_before_any_approval,https://help.lametric.com/support/discussions/topics/6000067542,help.lametric.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:302,200,yes,https://help.lametric.com/support/discussions/topics/6000067542,help.lametric.com,1,1,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T14:33:25.870Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-027,14,304,P2,verify_directory_fit_before_any_approval,https://holdtoreset.com/where-is-the-shipwreck-today-in-gta-online,holdtoreset.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_submit,high,,reject_unless_manual_review_finds_a_current_submit_url,"HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: CAPTCHA signal found; 3 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; HTTP 404",,HTTP 404 indicates the candidate URL is not a live submit endpoint,yes,review_row:304,404,no,https://holdtoreset.com/where-is-the-shipwreck-today-in-gta-online,holdtoreset.com,3,6,yes,no,no,no,no,yes,no,no,no,HTTP 404,2026-05-28T14:33:29.120Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-027,15,315,P2,verify_directory_fit_before_any_approval,https://iotwreport.com/letitia-james-indicted-for-banking-fraud,iotwreport.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:315,200,yes,https://iotwreport.com/letitia-james-indicted-for-banking-fraud/,iotwreport.com,1,3,yes,no,yes,no,no,yes,yes,yes,no,,2026-05-28T14:33:42.136Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-027,16,317,P2,verify_directory_fit_before_any_approval,https://www.itsfilmedthere.com/2019/01/whats-happening.html,itsfilmedthere.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2019/01/whats-happening.html) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; 2 form(s), 6 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2019/01/whats-happening.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:317,200,yes,https://www.itsfilmedthere.com/2019/01/whats-happening.html,itsfilmedthere.com,2,6,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T14:33:46.994Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-027,17,318,P2,verify_directory_fit_before_any_approval,https://jilliancyork.com/2010/02/20/on-memorability,jilliancyork.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2010/02/20/on-memorability) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/2010/02/20/on-memorability) looks like a source article, profile, forum, comment, or issue page",yes,review_row:318,200,yes,https://jilliancyork.com/2010/02/20/on-memorability/,jilliancyork.com,1,12,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T14:33:50.893Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-027,18,320,P2,verify_directory_fit_before_any_approval,https://joaniesimon.com/94f737822923f4567e1a7ce9681e5b9a-2,joaniesimon.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:320,200,yes,https://joaniesimon.com/94f737822923f4567e1a7ce9681e5b9a-2,joaniesimon.com,0,0,no,no,yes,no,no,yes,no,no,no,,2026-05-28T14:33:54.763Z,,,,,,,,,,,,,,,0,,
