batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-022,8,138,P2,verify_directory_fit_before_any_approval,https://blog.prusa3d.com/make-it-fly-contest-winners_77429,blog.prusa3d.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"host/path (blog.prusa3d.com/make-it-fly-contest-winners_77429) looks like a blog/news content page, not a directory; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"host/path (blog.prusa3d.com/make-it-fly-contest-winners_77429) looks like a blog/news content page, not a directory",yes,review_row:138,200,yes,https://blog.prusa3d.com/make-it-fly-contest-winners_77429/,blog.prusa3d.com,1,2,yes,no,yes,yes,no,yes,yes,yes,no,,2026-05-28T13:22:03.826Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,9,139,P2,verify_directory_fit_before_any_approval,http://blog.setlist.fm/2009/03/setlistfm-hits-blogosphere.html,blog.setlist.fm,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2009/03/setlistfm-hits-blogosphere.html) looks like a source article, profile, forum, comment, or issue page; evidence: fetch failed",,"URL path (/2009/03/setlistfm-hits-blogosphere.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:139,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T13:22:09.357Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,10,140,P2,verify_directory_fit_before_any_approval,https://blog.tallmenshoes.com/2018/10/5-ways-to-elevate-your-fashion.html,blog.tallmenshoes.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2018/10/5-ways-to-elevate-your-fashion.html) looks like a source article, profile, forum, comment, or issue page; evidence: fetch failed",,"URL path (/2018/10/5-ways-to-elevate-your-fashion.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:140,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T13:22:19.854Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,11,141,P2,verify_directory_fit_before_any_approval,http://blog.thefirestore.com/2017/06/aztek-kit-strong-versatile-reliable.html,blog.thefirestore.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/2017/06/aztek-kit-strong-versatile-reliable.html) looks like a source article, profile, forum, comment, or issue page; evidence: fetch failed",,"URL path (/2017/06/aztek-kit-strong-versatile-reliable.html) looks like a source article, profile, forum, comment, or issue page",yes,review_row:141,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T13:22:30.372Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,12,144,P2,verify_directory_fit_before_any_approval,https://blogg.ng.se/michael-gill/2016/01/jag-och-dottern-oppnar-star-wars-lador,blogg.ng.se,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/michael-gill/2016/01/jag-och-dottern-oppnar-star-wars-lador) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 12 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/michael-gill/2016/01/jag-och-dottern-oppnar-star-wars-lador) looks like a source article, profile, forum, comment, or issue page",yes,review_row:144,200,yes,https://blogg.ng.se/michael-gill/2016/01/jag-och-dottern-oppnar-star-wars-lador,blogg.ng.se,2,12,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T13:22:40.896Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,13,145,P2,verify_directory_fit_before_any_approval,https://blogg.ng.se/paparazzibloggen/2021/03/exklusiv-forhandslyssning-av-david-bowies-dotters-nya-musik,blogg.ng.se,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/paparazzibloggen/2021/03/exklusiv-forhandslyssning-av-david-bowies-dotters-nya-musik) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; login/register signal found; 1 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/paparazzibloggen/2021/03/exklusiv-forhandslyssning-av-david-bowies-dotters-nya-musik) looks like a source article, profile, forum, comment, or issue page",yes,review_row:145,200,yes,https://blogg.ng.se/paparazzibloggen/2021/03/exklusiv-forhandslyssning-av-david-bowies-dotters-nya-musik,blogg.ng.se,1,10,yes,no,yes,yes,no,no,no,yes,no,,2026-05-28T13:22:45.442Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,14,147,P2,verify_directory_fit_before_any_approval,https://blogs.city.ac.uk/sustainable-city/sortingchallenge/sorting-challenge-2014-15,blogs.city.ac.uk,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"host/path (blogs.city.ac.uk/sustainable-city/sortingchallenge/sorting-challenge-2014-15) looks like a blog/news content page, not a directory; evidence: login/register signal found; CAPTCHA signal found; 2 form(s), 3 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"host/path (blogs.city.ac.uk/sustainable-city/sortingchallenge/sorting-challenge-2014-15) looks like a blog/news content page, not a directory",yes,review_row:147,200,yes,https://blogs.city.ac.uk/sustainable-city/sortingchallenge/sorting-challenge-2014-15/,blogs.city.ac.uk,2,3,yes,no,yes,yes,no,yes,no,no,no,,2026-05-28T13:22:47.126Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,15,148,P2,verify_directory_fit_before_any_approval,https://blogs.deusto.es/innovandis/exprime-las-naranjas,blogs.deusto.es,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_not_directory,high,,reject_non_directory_source_page,"host/path (blogs.deusto.es/innovandis/exprime-las-naranjas) looks like a blog/news content page, not a directory; evidence: CAPTCHA signal found; 4 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"host/path (blogs.deusto.es/innovandis/exprime-las-naranjas) looks like a blog/news content page, not a directory",yes,review_row:148,200,yes,https://blogs.deusto.es/innovandis/exprime-las-naranjas/,blogs.deusto.es,4,17,yes,no,yes,no,no,yes,no,no,no,,2026-05-28T13:22:51.605Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,16,149,P2,verify_directory_fit_before_any_approval,https://blogs.deusto.es/innovandis/llegando-al-nivel-pro-con-lxs-20g-en-innovandis,blogs.deusto.es,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"host/path (blogs.deusto.es/innovandis/llegando-al-nivel-pro-con-lxs-20g-en-innovandis) looks like a blog/news content page, not a directory; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 17 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"host/path (blogs.deusto.es/innovandis/llegando-al-nivel-pro-con-lxs-20g-en-innovandis) looks like a blog/news content page, not a directory",yes,review_row:149,200,yes,https://blogs.deusto.es/innovandis/llegando-al-nivel-pro-con-lxs-20g-en-innovandis/,blogs.deusto.es,4,17,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T13:23:05.476Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,17,150,P2,verify_directory_fit_before_any_approval,https://blogs.eltiempo.com/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i,blogs.eltiempo.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_not_directory,high,,reject_non_directory_source_page,"URL path (/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i) looks like a source article, profile, forum, comment, or issue page; evidence: payment/pricing signal found; CAPTCHA signal found; 4 form(s), 24 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,"URL path (/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i) looks like a source article, profile, forum, comment, or issue page",yes,review_row:150,200,yes,https://blogs.eltiempo.com/el-tiempo-del-cine/2025/02/10/oscar-2025-analisis-de-cada-categoria-parte-i/,blogs.eltiempo.com,4,24,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T13:23:09.909Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-022,18,151,P2,verify_directory_fit_before_any_approval,http://blogs.evergreen.edu/morisa24/box-2-2,blogs.evergreen.edu,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_not_directory,high,,reject_non_directory_source_page,"host/path (blogs.evergreen.edu/morisa24/box-2-2) looks like a blog/news content page, not a directory; evidence: This operation was aborted",,"host/path (blogs.evergreen.edu/morisa24/box-2-2) looks like a blog/news content page, not a directory",yes,review_row:151,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,This operation was aborted,2026-05-28T13:23:19.656Z,,,,,,,,,,,,,,,0,,
