batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-018,8,507,P2,verify_directory_fit_before_any_approval,https://www.strava.com/,strava.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: login/register signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:507,200,yes,https://www.strava.com/,strava.com,0,1,yes,no,yes,yes,no,no,no,no,no,,2026-05-28T12:36:43.630Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,9,508,P2,verify_directory_fit_before_any_approval,https://www.strikingly.com/,strikingly.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 2 form(s), 22 input/select/textarea fields; submit/add/list/publish button text signal found",,login/register or OAuth signal found,yes,review_row:508,200,yes,https://www.strikingly.com/,strikingly.com,2,22,yes,no,no,yes,no,yes,no,yes,no,,2026-05-28T12:36:45.196Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,10,511,P2,verify_directory_fit_before_any_approval,https://substack.com/,substack.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:511,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:36:47.839Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,11,512,P2,verify_directory_fit_before_any_approval,https://www.sulekha.com/,sulekha.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: login/register signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:512,200,yes,https://www.sulekha.com/,sulekha.com,0,5,yes,no,yes,yes,no,no,no,no,no,,2026-05-28T12:36:58.434Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,12,517,P2,verify_directory_fit_before_any_approval,https://taalk.com/,taalk.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,"CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 3 form(s), 7 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:517,200,yes,https://taalk.com/,taalk.com,3,7,yes,no,yes,no,no,yes,yes,yes,no,,2026-05-28T12:37:00.593Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,13,518,P2,verify_directory_fit_before_any_approval,https://www.teacherspayteachers.com/,teacherspayteachers.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:518,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:37:04.220Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,14,519,P2,verify_directory_fit_before_any_approval,https://tech.co/,tech.co,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 405; evidence: HTTP 405,,HTTP 405,yes,review_row:519,405,no,https://tech.co/,tech.co,0,0,no,no,no,no,no,no,no,no,no,HTTP 405,2026-05-28T12:37:14.744Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,15,528,P2,verify_directory_fit_before_any_approval,https://thesaasdirectory.com/,thesaasdirectory.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; 2 form(s), 14 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:528,200,yes,https://thesaasdirectory.com/,thesaasdirectory.com,2,14,yes,no,yes,yes,yes,yes,no,yes,no,,2026-05-28T12:37:16.493Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,16,532,P2,verify_directory_fit_before_any_approval,https://todaylaunches.com/,todaylaunches.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:532,200,yes,https://todaylaunches.com/,todaylaunches.com,0,0,no,no,yes,yes,no,yes,no,yes,no,,2026-05-28T12:37:18.824Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,17,538,P2,verify_directory_fit_before_any_approval,https://toolsfine.com/,toolsfine.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; Cloudflare/human verification signal found; 1 form(s), 1 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:538,200,yes,https://toolsfine.com/,toolsfine.com,1,1,yes,no,yes,yes,no,no,yes,no,no,,2026-05-28T12:37:20.232Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,18,540,P2,verify_directory_fit_before_any_approval,https://trustmrr.com/,trustmrr.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:540,200,yes,https://trustmrr.com/,trustmrr.com,0,4,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T12:37:23.890Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,19,542,P2,verify_directory_fit_before_any_approval,https://www.tumblr.com/,tumblr.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:542,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:37:25.670Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,20,543,P2,verify_directory_fit_before_any_approval,https://tupalo.com/,tupalo.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,HTTP 403; evidence: HTTP 403,,HTTP 403,yes,review_row:543,403,no,https://tupalo.com/,tupalo.com,0,0,no,no,no,no,no,no,no,no,no,HTTP 403,2026-05-28T12:37:36.296Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,21,549,P2,verify_directory_fit_before_any_approval,https://www.warriorforum.com/,warriorforum.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; 4 form(s), 8 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:549,200,yes,https://www.warriorforum.com/,warriorforum.com,4,8,yes,no,yes,yes,no,yes,no,yes,no,,2026-05-28T12:37:37.935Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-018,22,551,P2,verify_directory_fit_before_any_approval,https://webdesign-inspiration.com/,webdesign-inspiration.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,"login/register or OAuth signal found; evidence: login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 56 form(s), 56 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found",,login/register or OAuth signal found,yes,review_row:551,200,yes,https://www.webdesign-inspiration.com/,webdesign-inspiration.com,56,56,yes,no,yes,yes,no,yes,yes,no,no,,2026-05-28T12:37:41.063Z,,,,,,,,,,,,,,,0,,
