batch_id,batch_order,priority,priority_score,review_row,review_decision,review_decision_options,review_action,review_instruction,review_notes,reviewed_by,submission_url_override,canonical_name,pricing,lang,classification,candidate_import_recommendation,url,domain,occurrence_count,source_files,source_locations,registry_target_ids,registry_submit_urls
p0-001,1,P0,337,75,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,aiscout.net,unknown,unknown,domain_in_registry_only,review_submit_url,https://aiscout.net/submit,aiscout.net,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 20:url; directory-submissions-external-links.md:22,ai-scout; ai-scout-aiscout-net-submit-listing-details,https://aiscout.net/; https://aiscout.net/submit-listing/details
p0-001,2,P0,337,79,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,aitoolsdirectory.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://aitoolsdirectory.com/submit,aitoolsdirectory.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 25:url; directory-submissions-external-links.md:27,aitoolsdirectory,https://aitoolsdirectory.com/submit-tool
p0-001,3,P0,337,117,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; login/register or OAuth signal found; evidence: login/register signal found; Cloudflare/human verification signal found; 2 form(s), 5 input/select/textarea fields; submit/add/list/publish button text signal found; directory/listing marketplace text signal found; same-domain variant must not use generic approved",read_only_evidence,,betalist.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://betalist.com/submit,betalist.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 38:url; directory-submissions-external-links.md:40,betalist-com; beta-list; betalist,https://betalist.com/; https://betalist.com/submissions/new; https://betalist.com/users/sign_in
p0-001,4,P0,337,208,,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,,,,devhunt.org,unknown,unknown,domain_in_registry_only,review_submit_url,https://devhunt.org/submit,devhunt.org,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 49:url; directory-submissions-external-links.md:51,dev-hunt; dev-hunt-devhunt-org-account-tools-new,https://devhunt.org/; https://devhunt.org/account/tools/new
p0-001,5,P0,337,246,reject_paid,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,drafted from read-only evidence suggestion; confidence: high; payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved,read_only_evidence,,fazier.com,paid,unknown,domain_in_registry_only,review_submit_url,https://fazier.com/submit,fazier.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 59:url; directory-submissions-external-links.md:61,fazier,https://fazier.com/
p0-001,6,P0,337,271,reject_paid,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; login/register signal found; CAPTCHA signal found; Cloudflare/human verification signal found; 2 form(s), 2 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved",read_only_evidence,,futurepedia.io,paid,unknown,domain_in_registry_only,review_submit_url,https://www.futurepedia.io/submit-tool,futurepedia.io,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 186:url; directory-submissions-external-links.md:188,futurepedia,https://www.futurepedia.io/basic
p0-001,7,P0,337,363,reject_not_submit,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,drafted from read-only evidence suggestion; confidence: high; HTTP 404 indicates the candidate URL is not a live submit endpoint; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; HTTP 404; same-domain variant must not use generic approved,read_only_evidence,,microlaunch.net,unknown,unknown,domain_in_registry_only,review_submit_url,https://microlaunch.net/submit,microlaunch.net,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 86:url; directory-submissions-external-links.md:88,microlaunch,https://microlaunch.net/
p0-001,8,P0,337,421,reject_paid,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,drafted from read-only evidence suggestion; confidence: high; payment/pricing signal appears on a submit/listing surface; evidence: payment/pricing signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved,read_only_evidence,,pitchwall.co,paid,unknown,domain_in_registry_only,review_submit_url,https://pitchwall.co/submit,pitchwall.co,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 102:url; directory-submissions-external-links.md:104,pitchwall; pitchwall-pitchwall-co-product-submit,https://pitchwall.co/; https://pitchwall.co/product/submit
p0-001,9,P0,337,427,reject_duplicate,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,"drafted from read-only evidence suggestion; confidence: high; normalized URL duplicates an existing registry submit URL; evidence: normalized URL duplicates registry submit URL; CAPTCHA signal found; Cloudflare/human verification signal found; 1 form(s), 10 input/select/textarea fields; submit/add/list/publish button text signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; same-domain variant must not use generic approved",read_only_evidence,,poweredbyai.app,unknown,unknown,domain_in_registry_only,review_submit_url,https://poweredbyai.app/submit,poweredbyai.app,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 105:url; directory-submissions-external-links.md:107,poweredbyai,https://poweredbyai.app/submit-tool
p0-001,10,P0,337,503,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,drafted from read-only evidence suggestion; confidence: high; CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; URL path looks like a submission endpoint; directory/listing marketplace text signal found; HTTP 403; same-domain variant must not use generic approved,read_only_evidence,,startupstash.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://startupstash.com/submit,startupstash.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 118:url; directory-submissions-external-links.md:120,startup-stash,https://startupstash.com/add-listing
p0-001,11,P0,337,527,reject_auth_required,approved_domain_variant | reject_duplicate | reject_not_submit | reject_paid | reject_auth_required,verify_distinct_submit_url_for_existing_domain,use_approved_domain_variant_only_if_this_is_a_distinct_valid_submit_url,drafted from read-only evidence suggestion; confidence: high; CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; URL path looks like a submission endpoint; HTTP 403; same-domain variant must not use generic approved,read_only_evidence,,theresanaiforthat.com,unknown,unknown,domain_in_registry_only,review_submit_url,https://theresanaiforthat.com/submit,theresanaiforthat.com,2,directory-submissions-external-links.csv; directory-submissions-external-links.md,directory-submissions-external-links.csv:row 126:url; directory-submissions-external-links.md:128,there-is-an-ai-for-that; there-s-an-ai-for-that,https://theresanaiforthat.com/get-featured; https://theresanaiforthat.com/launch
