batch_id,batch_order,review_row,priority,review_action,url,domain,current_review_decision,review_decision_options,evidence_suggested_decision,suggested_review_decision,suggestion_confidence,possible_approval_decision,reviewer_action,suggested_review_notes,suggested_pricing,suggestion_basis,evidence_matched,evidence_match_key,http_status,fetch_ok,final_url,final_domain,form_count,input_count,submit_button_signal,submit_path_signal,directory_signal,auth_signal,oauth_signal,captcha_signal,cloudflare_signal,payment_signal,duplicate_registry_url,fetch_error,checked_at,discovery_sources,discovery_source_types,discovery_source_urls,discovery_titles,discovery_platform_types,discovery_methods,discovery_relevance_max,discovery_relevance_values,discovery_pricing_signals,discovery_lang_signals,discovery_queries,discovery_discovered_rounds,discovery_discovered_ats,discovery_notes,discovery_signal_score,discovery_review_hint,discovery_review_flags
coverage-review-p2-8-19,8,316,P2,verify_directory_fit_before_any_approval,https://issuu.com/,issuu.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:316,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:09:39.478Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,9,325,P2,verify_directory_fit_before_any_approval,https://www.justlanded.com/,justlanded.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:325,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:09:50.192Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,10,326,P2,verify_directory_fit_before_any_approval,https://www.kaggle.com/,kaggle.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:326,200,yes,https://www.kaggle.com/,kaggle.com,0,0,no,no,no,no,no,yes,no,no,no,,2026-05-28T12:09:51.069Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,11,331,P2,verify_directory_fit_before_any_approval,https://land-book.com/,land-book.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:331,403,no,https://land-book.com/,land-book.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T12:09:52.221Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,12,333,P2,verify_directory_fit_before_any_approval,https://www.lawyers.com/,lawyers.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:333,403,no,https://www.lawyers.com/,lawyers.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T12:09:54.229Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,13,338,P2,verify_directory_fit_before_any_approval,https://www.livejournal.com/,livejournal.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,needs_manual_check,low,,manual_browser_check_required_before_decision,fetch failed; evidence: fetch failed,,fetch failed,yes,review_row:338,,no,,,0,0,no,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,fetch failed,2026-05-28T12:09:55.574Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,14,339,P2,verify_directory_fit_before_any_approval,https://www.llmrelevance.com/,llmrelevance.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: payment/pricing signal found; CAPTCHA signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:339,200,yes,https://www.llmrelevance.com/,llmrelevance.com,0,0,yes,no,yes,no,no,yes,no,yes,no,,2026-05-28T12:09:56.521Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,15,340,P2,verify_directory_fit_before_any_approval,https://www.locanto.com/,locanto.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:340,403,no,https://www.locanto.com/,locanto.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T12:09:58.165Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,16,350,P2,verify_directory_fit_before_any_approval,https://www.make.com/en/partners,make.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,review_fetch_failed,reject_auth_required,high,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; HTTP 403,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:350,403,no,https://www.make.com/en/partners,make.com,0,0,no,no,no,no,no,yes,yes,no,no,HTTP 403,2026-05-28T12:09:59.748Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,17,351,P2,verify_directory_fit_before_any_approval,https://www.makerpad.co/,makerpad.co,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_paid,reject_auth_required,high,,reject_or_route_to_assisted_manual_flow,login/register or OAuth signal found; evidence: payment/pricing signal found; login/register signal found; OAuth signal found; CAPTCHA signal found; Cloudflare/human verification signal found; submit/add/list/publish button text signal found; directory/listing marketplace text signal found,,login/register or OAuth signal found,yes,review_row:351,200,yes,https://www.makerpad.co/,makerpad.co,0,0,yes,no,yes,yes,yes,yes,yes,yes,no,,2026-05-28T12:10:01.105Z,,,,,,,,,,,,,,,0,,
coverage-review-p2-8-19,18,352,P2,verify_directory_fit_before_any_approval,https://makerthrive.com/,makerthrive.com,,approved | reject_not_directory | reject_not_submit | reject_paid | reject_auth_required,reject_auth_required,reject_auth_required,medium,,reject_for_automation_unless_human_assisted_flow_is_explicitly_planned,CAPTCHA or Cloudflare/human-verification signal found; evidence: CAPTCHA signal found; Cloudflare/human verification signal found; directory/listing marketplace text signal found,,CAPTCHA or Cloudflare/human-verification signal found,yes,review_row:352,200,yes,https://www.makerthrive.com/,makerthrive.com,0,0,no,no,yes,no,no,yes,yes,no,no,,2026-05-28T12:10:04.056Z,,,,,,,,,,,,,,,0,,
